cohort	patient	ligand	mean_high	mean_low	frac_high	frac_low
GSE131907	P0006	A2M	0.23753352463245392	0.20547479391098022	0.35714285714285715	0.25862068965517243
GSE131907	P0006	AANAT	0.0	0.0	0.0	0.0
GSE131907	P0006	ABCA1	0.2133694589138031	0.2978101074695587	0.21428571428571427	0.29310344827586204
GSE131907	P0006	ACE	0.02428176812827587	0.01407121866941452	0.023809523809523808	0.034482758620689655
GSE131907	P0006	ACE2	0.034238651394844055	0.007501282263547182	0.07142857142857142	0.017241379310344827
GSE131907	P0006	ADAM10	0.2792384624481201	0.19983884692192078	0.40476190476190477	0.2413793103448276
GSE131907	P0006	ADAM11	0.0	0.0	0.0	0.0
GSE131907	P0006	ADAM12	0.012121387757360935	0.04288443550467491	0.023809523809523808	0.05172413793103448
GSE131907	P0006	ADAM15	0.5081915855407715	0.2593570649623871	0.5476190476190477	0.29310344827586204
GSE131907	P0006	ADAM17	0.17597118020057678	0.16121532022953033	0.2857142857142857	0.22413793103448276
GSE131907	P0006	ADAM2	0.0	0.0	0.0	0.0
GSE131907	P0006	ADAM20	0.0	0.0	0.0	0.0
GSE131907	P0006	ADAM21	0.0	0.0	0.0	0.0
GSE131907	P0006	ADAM23	0.0	0.0	0.0	0.0
GSE131907	P0006	ADAM28	0.06608425080776215	0.018440047279000282	0.14285714285714285	0.034482758620689655
GSE131907	P0006	ADAM29	0.0	0.0	0.0	0.0
GSE131907	P0006	ADAM9	0.2930128574371338	0.16415050625801086	0.40476190476190477	0.22413793103448276
GSE131907	P0006	ADAMTS3	0.0	0.0	0.0	0.0
GSE131907	P0006	ADCYAP1	0.008533894084393978	0.0	0.023809523809523808	0.0
GSE131907	P0006	ADGRB1	0.0	0.0	0.0	0.0
GSE131907	P0006	ADGRE5	0.09597243368625641	0.11529498547315598	0.14285714285714285	0.15517241379310345
GSE131907	P0006	ADGRF5	0.9972880482673645	0.9847007393836975	0.7857142857142857	0.7241379310344828
GSE131907	P0006	ADIPOQ	0.0	0.0	0.0	0.0
GSE131907	P0006	ADM	0.02774151973426342	0.026135029271245003	0.047619047619047616	0.034482758620689655
GSE131907	P0006	ADM2	0.02215556614100933	0.0	0.023809523809523808	0.0
GSE131907	P0006	AGRN	0.47903934121131897	0.30937570333480835	0.5238095238095238	0.3620689655172414
GSE131907	P0006	AGRP	0.0	0.0	0.0	0.0
GSE131907	P0006	AGT	0.04238222539424896	0.0	0.09523809523809523	0.0
GSE131907	P0006	AHSG	0.0	0.0	0.0	0.0
GSE131907	P0006	AIMP1	0.4476408362388611	0.4726451635360718	0.5238095238095238	0.5344827586206896
GSE131907	P0006	ALB	0.0	0.0	0.0	0.0
GSE131907	P0006	ALCAM	0.7549442052841187	0.5988996028900146	0.7142857142857143	0.5689655172413793
GSE131907	P0006	ALOX5AP	0.1753818690776825	0.10346602648496628	0.23809523809523808	0.13793103448275862
GSE131907	P0006	AMBN	0.0	0.0	0.0	0.0
GSE131907	P0006	AMELX	0.0	0.0	0.0	0.0
GSE131907	P0006	AMELY	0.0	0.0	0.0	0.0
GSE131907	P0006	AMH	0.0	0.0	0.0	0.0
GSE131907	P0006	ANG	0.0814611092209816	0.13716784119606018	0.14285714285714285	0.1896551724137931
GSE131907	P0006	ANGPT1	0.0	0.02759174257516861	0.0	0.034482758620689655
GSE131907	P0006	ANGPT2	0.0	0.010396053083240986	0.0	0.017241379310344827
GSE131907	P0006	ANGPT4	0.0	0.0	0.0	0.0
GSE131907	P0006	ANGPTL1	0.0	0.0	0.0	0.0
GSE131907	P0006	ANGPTL2	0.0	0.008504772558808327	0.0	0.017241379310344827
GSE131907	P0006	ANGPTL3	0.0	0.0	0.0	0.0
GSE131907	P0006	ANGPTL4	0.05536922812461853	0.10266096889972687	0.09523809523809523	0.1724137931034483
GSE131907	P0006	ANGPTL5	0.0	0.0	0.0	0.0
GSE131907	P0006	ANGPTL6	0.01184186153113842	0.0	0.023809523809523808	0.0
GSE131907	P0006	ANGPTL7	0.0	0.0	0.0	0.0
GSE131907	P0006	ANOS1	0.008533894084393978	0.10246849060058594	0.023809523809523808	0.1206896551724138
GSE131907	P0006	ANPEP	0.7332304120063782	0.5936648845672607	0.6666666666666666	0.5172413793103449
GSE131907	P0006	ANTXR1	0.023157266899943352	0.1117924153804779	0.047619047619047616	0.15517241379310345
GSE131907	P0006	ANXA1	1.4096230268478394	1.1530205011367798	0.8333333333333334	0.7586206896551724
GSE131907	P0006	ANXA2	2.0514349937438965	1.521734595298767	0.9523809523809523	0.8448275862068966
GSE131907	P0006	APELA	0.0	0.03599119558930397	0.0	0.017241379310344827
GSE131907	P0006	APLN	0.0	0.0	0.0	0.0
GSE131907	P0006	APOA1	0.0	0.0	0.0	0.0
GSE131907	P0006	APOA2	0.0	0.0	0.0	0.0
GSE131907	P0006	APOA4	0.0	0.0	0.0	0.0
GSE131907	P0006	APOA5	0.0	0.0	0.0	0.0
GSE131907	P0006	APOB	0.0	0.0	0.0	0.0
GSE131907	P0006	APOC1	0.48310989141464233	0.5644416213035583	0.5952380952380952	0.5344827586206896
GSE131907	P0006	APOC2	0.0	0.0	0.0	0.0
GSE131907	P0006	APOC3	0.0	0.0	0.0	0.0
GSE131907	P0006	APOC4	0.0	0.0	0.0	0.0
GSE131907	P0006	APOD	0.026124954223632812	0.03526156395673752	0.07142857142857142	0.05172413793103448
GSE131907	P0006	APOE	0.7118438482284546	0.5385500192642212	0.7380952380952381	0.5517241379310345
GSE131907	P0006	APOO	0.12101437151432037	0.10476001352071762	0.19047619047619047	0.13793103448275862
GSE131907	P0006	APP	1.0560393333435059	0.6450580954551697	0.8095238095238095	0.5344827586206896
GSE131907	P0006	AREG	0.5270670652389526	0.6123911738395691	0.5	0.39655172413793105
GSE131907	P0006	ARF1	0.8522562384605408	0.8005247712135315	0.7857142857142857	0.7068965517241379
GSE131907	P0006	ARTN	0.0	0.0	0.0	0.0
GSE131907	P0006	ASIP	0.0	0.0	0.0	0.0
GSE131907	P0006	ATP1B1	1.4012072086334229	1.1437166929244995	0.9761904761904762	0.7413793103448276
GSE131907	P0006	AVP	0.0	0.008504772558808327	0.0	0.017241379310344827
GSE131907	P0006	AZGP1	0.73954838514328	0.8738540410995483	0.5476190476190477	0.5689655172413793
GSE131907	P0006	B2M	4.015035152435303	3.706449031829834	1.0	1.0
GSE131907	P0006	BACE1	0.08387351781129837	0.02729039266705513	0.11904761904761904	0.034482758620689655
GSE131907	P0006	BACE2	0.40208858251571655	0.2827901244163513	0.5	0.3275862068965517
GSE131907	P0006	BCAN	0.0	0.0	0.0	0.0
GSE131907	P0006	BDNF	0.0	0.04112524911761284	0.0	0.017241379310344827
