ligand	pearson	pearson_p	auroc	aupr	n_background	n_geneset
LIF	0.5376484622862479	6.251503371548386e-19	0.9574115044247787	0.5206901325084966	234	8
IFITM1	0.4539448814932177	2.690531427186192e-13	0.956858407079646	0.5914285714285714	234	8
VSIG10	0.43312084828274305	4.056233151375303e-12	0.9314159292035399	0.4234354600426029	234	8
BST2	0.4096486113267381	6.97013409989049e-11	0.9419247787610621	0.472279102010345	234	8
HLA-F	0.40633583641235194	1.0232455207045183e-10	0.9103982300884956	0.4156344183242917	234	8
CLCF1	0.4020075533581169	1.6791384794514243e-10	0.9319690265486725	0.49129689754689754	234	8
HLA-DRB5	0.3851642189908104	1.0794799679604552e-09	0.9065265486725663	0.358327665807174	234	8
HLA-DRA	0.3801538393923629	1.84044066934109e-09	0.8799778761061946	0.36222739176751684	234	8
EFEMP2	0.3734474559306175	3.7066385079269585e-09	0.8296460176991151	0.22992947551453863	234	8
LRPAP1	0.3729883662105124	3.886357698490778e-09	0.8169247787610621	0.24564271150786804	234	8
CRLF1	0.3631739507415062	1.0507853644772686e-08	0.8832964601769911	0.4162830225330225	234	8
HLA-B	0.3560199208270236	2.124975678689794e-08	0.8982300884955753	0.35450239616906287	234	8
ADAM9	0.35465174937261984	2.426549241764472e-08	0.8456858407079646	0.25626561974159756	234	8
HLA-DRB1	0.34980649967288074	3.8629044837627046e-08	0.8445796460176991	0.26154667968074596	234	8
HLA-E	0.3455567310058022	5.7708620015076924e-08	0.8893805309734513	0.3300452147482442	234	8
CD58	0.3443804385530899	6.442240046356256e-08	0.8351769911504425	0.23623890318102697	234	8
HLA-C	0.34199383487761936	8.042818659206654e-08	0.8849557522123894	0.3352448907681466	234	8
AREG	0.3372546407838908	1.2427870391636143e-07	0.9153761061946903	0.24352785372522215	234	8
EPCAM	0.31790472723369617	6.820519159784869e-07	0.834070796460177	0.2440605279468109	234	8
VTCN1	0.3109349863915012	1.2239556168022164e-06	0.8357300884955752	0.2480548914211195	234	8
CLEC2B	0.3076333043714347	1.6062902354495539e-06	0.8301991150442477	0.2165738460753302	234	8
MUC4	0.3017588125399449	2.584382044973943e-06	0.9131637168141593	0.22707342662333727	234	8
CMTM8	0.2993713254547222	3.1261991706606776e-06	0.8213495575221239	0.23913506797011289	234	8
HLA-DPB1	0.29560125541090937	4.20777747685104e-06	0.8285398230088495	0.25548815938160196	234	8
MDK	0.2911488820990548	5.944375811765281e-06	0.8904867256637167	0.23168290043290043	234	8
HLA-DRB3	0.28781384659809056	7.671133899202647e-06	0.8501106194690267	0.27578600963259947	234	8
IL1B	0.2871010138045987	8.097491052520519e-06	0.877212389380531	0.1919720230627277	234	8
CLEC2D	0.2800176268810134	1.3750845759056775e-05	0.851216814159292	0.28067993499344923	234	8
FGF13	0.27559504457664497	1.900056380533462e-05	0.8766592920353983	0.2105973759696186	234	8
SDC2	0.273199833625901	2.2585144818342507e-05	0.8805309734513275	0.18855566263551454	234	8
SFTPD	0.269908718699337	2.8563545647523327e-05	0.81858407079646	0.2671432953011901	234	8
CD40	0.26948615680480814	2.9431451658105637e-05	0.8478982300884956	0.37158439200331594	234	8
EREG	0.26926373428883293	2.9898233654566202e-05	0.8932522123893805	0.18747712485412715	234	8
IGFBP3	0.26299533187433743	4.632183696028298e-05	0.8655973451327433	0.18524643800428287	234	8
CDCP1	0.26269414831116505	4.729364516243688e-05	0.8766592920353982	0.16748949579831932	234	8
MICA	0.2616266460463592	5.0894986100225283e-05	0.8423672566371682	0.19727836620667413	234	8
GAS6	0.2616197870582114	5.091893922723988e-05	0.8108407079646018	0.22083731018590175	234	8
TNFSF15	0.2602513407412555	5.591609152691869e-05	0.879424778761062	0.3041021426591679	234	8
SCGB1A1	0.25990287207285306	5.726040520621633e-05	0.7411504424778761	0.16466388258466405	234	8
FGF11	0.25907178062311975	6.059034777118984e-05	0.875	0.17304510733987402	234	8
FLRT3	0.25899082031499027	6.092429165223091e-05	0.889933628318584	0.17509220903617453	234	8
CD38	0.2583637643289287	6.357001766162439e-05	0.7798672566371683	0.22823845033549459	234	8
LTBP3	0.25719913318104526	6.877297664716527e-05	0.8617256637168141	0.1749746892892054	234	8
CEACAM1	0.2568931783752771	7.020477341293162e-05	0.8611725663716814	0.18071339214151097	234	8
NTN4	0.25350006635907557	8.80786041619805e-05	0.8755530973451328	0.17026642562794525	234	8
HLA-DOA	0.2521577557258975	9.626411477738398e-05	0.8462389380530975	0.25349811007705747	234	8
SERPING1	0.2511753020813558	0.00010270177489188142	0.8622787610619469	0.18705839195443635	234	8
FGF12	0.24876054086970129	0.00012028136859496526	0.8661504424778761	0.17113991276719362	234	8
MELTF	0.24762346888699424	0.00012950162059836967	0.8943584070796461	0.17480061787842108	234	8
SPP1	0.2461025331948825	0.00014287161804445834	0.8174778761061947	0.20027564292689737	234	8
CXCL14	0.24578548445635132	0.00014581666416476293	0.8429203539823009	0.19183222669475866	234	8
CD320	0.24572096666006527	0.000146422878584815	0.8113938053097345	0.21674884337566483	234	8
CADM4	0.2436618230756278	0.00016705577557421693	0.7776548672566372	0.20298375803955052	234	8
SERPINE1	0.2412183710358332	0.0001950584642787257	0.8550884955752213	0.18745879120879122	234	8
PTPRZ1	0.23687595027993633	0.00025590777751291607	0.8506637168141594	0.15850097194444004	234	8
BTC	0.2364184156890243	0.0002632585156557097	0.8888274336283186	0.19063513563320064	234	8
ICAM3	0.23545723856826334	0.00027934578610476447	0.8268805309734513	0.18333327032763902	234	8
ZDHHC5	0.232134811603637	0.00034227562197751665	0.8501106194690266	0.17634408129280418	234	8
SERPINF1	0.23121281786644943	0.00036194284736376425	0.8445796460176991	0.156729053683127	234	8
COL27A1	0.23091688849181363	0.00036847464689685665	0.8296460176991151	0.17459714464592213	234	8
C4BPA	0.22968508326539558	0.000396857193686027	0.735066371681416	0.20651844004767667	234	8
COL17A1	0.2295559720702035	0.00039994676769737923	0.8429203539823009	0.16117563935159046	234	8
TYROBP	0.22904698525475634	0.00041234537152351594	0.8252212389380531	0.24446591567914	234	8
ITGB1	0.22787207900968603	0.0004423397072648677	0.8467920353982301	0.15166464745858516	234	8
