ligand	pearson	pearson_p	auroc	aupr	n_background	n_geneset
PDGFA	0.12950596006137594	0.04783937599229636	0.45614035087719296	0.08738199891024939	234	6
COL6A1	0.11183263872648865	0.08783917974173396	0.3698830409356725	0.10166149834856529	234	6
CALR	0.1072115754379435	0.10184839148994902	0.4057017543859649	0.061478743613193734	234	6
ADM	0.10659005789389671	0.10386043853122913	0.469298245614035	0.06727571253365938	234	6
CD274	0.10548470267543407	0.10751621834066137	0.5350877192982456	0.05318221365245214	234	6
NMU	0.07614460166316904	0.24595267942075638	0.3676900584795322	0.05165019067206596	234	6
RARRES1	0.07367832837245698	0.26162754543351324	0.41812865497076024	0.04077976200639237	234	6
IL32	0.07065603815875354	0.2817539944928635	0.4078947368421053	0.07514310503494308	234	6
CXCL8	0.03974836408764418	0.5451682571396104	0.39766081871345027	0.04707412168159941	234	6
TNFSF9	0.03439523670841168	0.6006379435131428	0.4437134502923976	0.046784197865993506	234	6
PDGFC	0.03268965866876218	0.6188288937544022	0.34283625730994155	0.029064523156411642	234	6
CCL2	0.010176640925022868	0.8769450551842992	0.41666666666666663	0.030090603403282692	234	6
IL7	0.006685087845181163	0.918982342878794	0.4722222222222222	0.039604724476439125	234	6
CD40	0.0026207942236739492	0.9681921252347842	0.3830409356725146	0.027034038936501515	234	6
TGM2	9.189027183825598e-05	0.9988844591936216	0.34576023391812866	0.030686679260458028	234	6
PDGFB	-0.01584012874213714	0.8095357944009443	0.36257309941520466	0.0249415548891838	234	6
TGFB1	-0.01942834310752601	0.7675104410687652	0.40204678362573093	0.030726870063939704	234	6
HMGB1	-0.02221562536043296	0.7353212726297674	0.375	0.029261726835256244	234	6
EXOC3-AS1	-0.024545989844191304	0.7087562471021458	0.41081871345029236	0.03386598781737278	234	6
HEBP1	-0.031242132040454302	0.6344523198820922	0.3399122807017544	0.021277523643207976	234	6
CSF1	-0.031466006343549194	0.6320251660491648	0.3384502923976608	0.024822270947209485	234	6
CXCL16	-0.032087477783807966	0.6253081074120357	0.3260233918128655	0.020847341766620703	234	6
CCL20	-0.03277013559589281	0.6179652063647858	0.33260233918128657	0.02194495655155754	234	6
PIGA	-0.03410194028887436	0.6037489845027184	0.31140350877192985	0.020494415705846283	234	6
GDF11	-0.03605491958436643	0.5831707223746195	0.2741228070175439	0.01960644479248884	234	6
CD99	-0.03743224294317753	0.5688563536632414	0.3114035087719298	0.020405381162361708	234	6
VEGFA	-0.038445512494185555	0.5584331967652156	0.29239766081871343	0.022035707356708033	234	6
IFITM1	-0.038829139075243456	0.5545111723024748	0.4758771929824561	0.02745550920906371	234	6
DEFB1	-0.039097756186603536	0.551772944103218	0.35891812865497075	0.021985557165521925	234	6
ZNRF3	-0.039474595661266036	0.5479426776870694	0.45687134502923976	0.025889146514604305	234	6
SCGB1A1	-0.04036792262843315	0.5389152292643775	0.38377192982456143	0.024051912812459216	234	6
IL15	-0.04077720246816388	0.5348041674793083	0.3640350877192982	0.0267004628683757	234	6
EFEMP2	-0.04089540834341409	0.5336197658692402	0.36622807017543857	0.022137101593668763	234	6
TYROBP	-0.0410753576547278	0.5318192380239313	0.24488304093567254	0.018888127014901144	234	6
