cohort	ligand	n_patients	median_delta	mean_delta	paired_p	frac_patients_expressed_high	median_frac_high	median_frac_low	paired_fdr
GSE131907	A2M	29	0.000500726280733943	0.0002175789880405726	0.7818621210753918	0.27586206896551724	0.0392156862745098	0.030612244897959183	0.9196332282346718
GSE131907	AANAT	29	0.0	-0.0003729620717610393	0.3634879469815159	0.0	0.0	0.0	0.6420488035467897
GSE131907	ABCA1	29	0.013056181371212006	0.029233050789555598	0.0029922761023044586	0.7241379310344828	0.1935483870967742	0.16049382716049382	0.029002060683873985
GSE131907	ACE	29	-0.0034285166766494513	0.0016924234243623655	0.5847125558503574	0.20689655172413793	0.05	0.0438871473354232	0.8305112229601987
GSE131907	ACE2	29	0.0002317439648322761	-0.0015681166631362304	0.4691625250282967	0.0	0.011848341232227487	0.010471204188481676	0.727644012224316
GSE131907	ADAM10	29	0.04238422214984894	0.052751330979939164	6.0480087995529175e-05	0.9655172413793104	0.36951833213515456	0.2808349146110057	0.0012700818479061127
GSE131907	ADAM11	29	0.0	-1.3708988513701179e-05	0.7332713908212207	0.0	0.0	0.0	0.8895888304122409
GSE131907	ADAM12	29	0.0009146726224571466	0.0050500814305168805	0.08646199403769568	0.10344827586206896	0.009549795361527967	0.007326007326007326	0.28922684731193776
GSE131907	ADAM15	29	0.054343730211257935	0.07531089489829951	1.3809651136398315e-05	1.0	0.5695770804911323	0.5054945054945055	0.0003728605806827545
GSE131907	ADAM17	29	0.032569803297519684	0.045720934354025744	5.336105823516846e-05	1.0	0.3404255319148936	0.2683246073298429	0.0011417252837486987
GSE131907	ADAM2	29	0.0	3.643045181826014e-05	1.0	0.0	0.0	0.0	1.0
GSE131907	ADAM20	29	0.0	0.0002977952907054589	0.6496440323317323	0.0	0.0	0.0	0.8569682574005325
GSE131907	ADAM21	29	0.0	0.0007267634029066639	0.08583095844428565	0.0	0.0	0.0	0.28881990170866445
GSE131907	ADAM23	29	0.0	-7.334103554904718e-06	0.8588630128278887	0.0	0.0	0.0	0.953918370760848
GSE131907	ADAM28	29	0.012223400175571442	0.01722655853192354	0.004747923962975725	0.5172413793103449	0.1276595744680851	0.10024449877750612	0.040519029180060576
GSE131907	ADAM29	29	0.0	0.0014172469211565651	0.15485982528200376	0.0	0.0	0.0	0.4141769855419629
GSE131907	ADAM9	29	0.024280179291963577	0.04930149237143582	0.008593697100877762	0.9655172413793104	0.4626865671641791	0.35185185185185186	0.062071672053473775
GSE131907	ADAMTS3	29	0.0	0.001967243831163144	0.7172177958043885	0.034482758620689655	0.0	0.0024449877750611247	0.8813758694061108
GSE131907	ADCYAP1	29	0.0	-0.00214473308407268	0.875329249147922	0.0	0.0	0.0	0.9641315436901895
GSE131907	ADGRB1	29	0.0	0.0024331444713833004	0.16178664110148655	0.0	0.009705248023005032	0.0064516129032258064	0.4240725041185924
GSE131907	ADGRE5	29	0.01505240797996521	0.025330842247810858	0.006938289850950241	0.9310344827586207	0.25306957708049116	0.23543123543123542	0.05316230196606469
GSE131907	ADGRF5	29	0.004335880279541016	-0.005501300995719844	0.6818898536170435	0.896551724137931	0.41229331416247306	0.4058469475494411	0.867036468972264
