CCLE,n_replicates,plex,TACSTD2,CLDN4,EPCAM,VIM,CDH1,CLDN4_peptides,CellLine,S1_Tissue,ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,Sex,PrimaryOrMetastasis
IALM_LUNG,1,TenPx34,-1.25170740133634,1.44201520116742,-0.181113612134546,1.59786801297452,-0.879767189744543,1.0,IA-LM,Lung,ACH-000672,IA-LM,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,Male,Metastatic
NCIH1299_LUNG,1,TenPx06,-0.834182839388835,-1.26831048249319,-1.34664181959371,1.37281453797485,-1.61150599422187,3.0,NCI-H1299,Lung,ACH-000510,NCI-H1299,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,Male,Metastatic
A549_LUNG,1,TenPx12,-2.79992187142195,-5.30030757200522,-3.68760010805884,3.06768320576715,-1.44992148723269,2.0,A549,Lung,ACH-000681,A549,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Primary
ABC1_LUNG,1,TenPx04,2.42004783204824,1.35907839420605,1.8388421249794,-1.46984586978162,1.74434098454311,2.0,ABC-1,Lung,ACH-000528,ABC-1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Metastatic
NCIH1568_LUNG,1,TenPx15,-0.253640981085358,0.644483123861004,2.19510493805093,-1.14242699109241,1.57049044303225,3.0,CNI-H1568,Lung,ACH-000869,NCI-H1568,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Metastatic
CORL105_LUNG,1,TenPx13,-2.92509722976601,-2.08255300509259,0.331118259555896,-2.17109461187915,-1.72463659476308,5.0,CORL105,Lung,ACH-000161,COR-L105,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Metastatic
DV90_LUNG,1,TenPx12,1.92830661848231,2.5333035825933,2.12062905675159,-1.77420898559171,-0.440951634681146,2.0,DV90,Lung,ACH-000925,DV-90,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Metastatic
HCC1833_LUNG,1,TenPx40,-2.04417774770678,0.301393242144924,4.05542038047999,-0.348286014434577,2.21188040734606,1.0,HCC-1833,Lung,ACH-000712,HCC-1833,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
HCC44_LUNG,1,TenPx21,-0.78931032834856,-0.55894243942282,-2.43959845497658,1.84358354452732,-1.55162712875515,1.0,HCC44,Lung,ACH-000667,HCC-44,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
HCC827_LUNG,1,TenPx10,2.5252116126129,1.80847161075187,1.78701978754308,-1.87056897571394,2.38002943963856,2.0,HCC827,Lung,ACH-000012,HCC-827,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
NCIH1435_LUNG,1,TenPx15,1.483328582339,0.401149343110885,0.810570082401638,-1.75283780287399,1.18363416949795,3.0,NCI-H1435,Lung,ACH-000852,NCI-H1435,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
NCIH1666_LUNG,1,TenPx16,1.12307829490342,0.0919837283122551,1.2313976641836,-1.96046887677669,1.48135412425328,2.0,NCI-H1666,Lung,ACH-000448,NCI-H1666,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Metastatic
NCIH1693_LUNG,1,TenPx08,0.832171497546333,1.85390699585657,1.63114496719049,-1.02144869576075,1.3875444039131,1.0,NCI-H1693,Lung,ACH-000021,NCI-H1693,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Metastatic
NCIH1944_LUNG,1,TenPx15,-2.86837669411355,-1.49837294805964,-1.5507706608673,0.0649485584531737,-0.310102942688263,3.0,NCI-H1944,Lung,ACH-000414,NCI-H1944,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Metastatic
NCIH2291_LUNG,1,TenPx16,1.15732875736606,1.62027705011321,0.949676880483241,0.75854560163789,1.07444381708082,2.0,NCI-H2291,Lung,ACH-000718,NCI-H2291,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Metastatic
NCIH23_LUNG,1,TenPx20,-1.66944521320683,-3.00559581288356,-3.22577244337992,2.41094736598453,-0.743226679200881,1.0,NCI-H23,Lung,ACH-000900,NCI-H23,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Primary
NCIH358_LUNG,1,TenPx06,2.02092051722455,2.27815904368953,2.60957472940885,-1.58103609513193,1.91247559598807,3.0,NCI-H358,Lung,ACH-000860,NCI-H358,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Primary
NCIH441_LUNG,1,TenPx15,3.83551995512968,0.865934200455243,0.872103767632922,-1.70672336590264,1.24759815315472,3.0,NCI-H441,Lung,ACH-000638,NCI-H441,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Metastatic
NCIH838_LUNG,1,TenPx16,-1.89744275080729,-2.52590355835083,-2.93006848375667,1.65019971758157,-1.82043247727501,2.0,NCI-H838,Lung,ACH-000416,NCI-H838,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Metastatic
NCIH1573_LUNG,1,TenPx12,0.538564421516332,0.904895344446136,1.53478598845498,-1.74042148398295,1.22695558060174,2.0,NCIH1573,Lung,ACH-000916,NCI-H1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Metastatic
NCIH1975_LUNG,1,TenPx13,0.0336846436092726,1.05156867095784,0.985449418820517,2.16130028543772,0.164007561385716,5.0,NCIH1975,Lung,ACH-000587,NCI-H1975,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
NCIH3255_LUNG,1,TenPx13,0.0984662090825736,0.94867281700122,0.206762116273402,-1.65264365956832,1.50982923951728,5.0,NCIH3255,Lung,ACH-000109,NCI-H3255,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
PC14_LUNG,1,TenPx05,3.32487029580832,3.62802327698463,2.96600649434298,-1.46773685619719,2.62603060341136,1.0,PC-14,Lung,ACH-000030,PC-14,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Primary
SW1573_LUNG,1,TenPx33,-0.83930017148715,0.831708353025961,-0.417446428676658,2.79234676627365,-1.14459466147692,1.0,SW 1573,Lung,ACH-000677,SW 1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
NCIH647_LUNG,1,TenPx35,1.03568725879343,-0.390832839409234,-0.457934990495095,1.1538878025657,-0.578051172165819,1.0,NCI-H647,Lung,ACH-000378,NCI-H647,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,Male,Metastatic
EBC1_LUNG,1,TenPx05,2.35288341451137,3.70914297576777,3.0012582249412,-1.02002320484136,3.4980340333318,1.0,EBC-1,Lung,ACH-000563,EBC-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Male,Metastatic
HCC95_LUNG,1,TenPx11,1.65996246468271,0.159743518456201,0.833939265213573,-1.30233312240181,0.443557635361936,1.0,HCC-95,Lung,ACH-000454,HCC-95,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Male,Metastatic
LK2_LUNG,1,TenPx11,-0.552712789456478,-2.24264941636874,0.754655255609451,-1.33546527978068,-0.402525725412627,1.0,LK-2,Lung,ACH-000769,LK-2,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Male,Primary
LUDLU1_LUNG,1,TenPx09,1.6576758653625,1.09732336115942,1.191043288523,-1.47060948237012,1.4042398870689,2.0,LUDLU-1,Lung,ACH-000390,LUDLU-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Male,Primary
