CCLE,n_replicates,plex,TACSTD2,CLDN4,EPCAM,VIM,CDH1,CLDN4_peptides,CellLine,S1_Tissue,ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,Sex,PrimaryOrMetastasis
A549_LUNG,1,TenPx12,-2.79992187142195,-5.30030757200522,-3.68760010805884,3.06768320576715,-1.44992148723269,2.0,A549,Lung,ACH-000681,A549,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Primary
NCIH520_LUNG,1,TenPx10,-2.61515514580385,-1.89315199122283,1.12306115234028,-1.62493815170538,-1.08153449208915,2.0,NCI-H520,Lung,ACH-000395,NCI-H520,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Male,Primary
RERFLCSQ1_LUNG,1,TenPx16,-2.3115335708691,-1.47787413312702,-3.37560521687676,3.49799889324395,-1.69940510254009,2.0,RERF-LC-Sq1,Lung,ACH-000442,RERF-LC-Sq1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Female,Primary
HCC1833_LUNG,1,TenPx40,-2.04417774770678,0.301393242144924,4.05542038047999,-0.348286014434577,2.21188040734606,1.0,HCC-1833,Lung,ACH-000712,HCC-1833,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
NCIH23_LUNG,1,TenPx20,-1.66944521320683,-3.00559581288356,-3.22577244337992,2.41094736598453,-0.743226679200881,1.0,NCI-H23,Lung,ACH-000900,NCI-H23,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Primary
SW1573_LUNG,1,TenPx33,-0.83930017148715,0.831708353025961,-0.417446428676658,2.79234676627365,-1.14459466147692,1.0,SW 1573,Lung,ACH-000677,SW 1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
HCC44_LUNG,1,TenPx21,-0.78931032834856,-0.55894243942282,-2.43959845497658,1.84358354452732,-1.55162712875515,1.0,HCC44,Lung,ACH-000667,HCC-44,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
LK2_LUNG,1,TenPx11,-0.552712789456478,-2.24264941636874,0.754655255609451,-1.33546527978068,-0.402525725412627,1.0,LK-2,Lung,ACH-000769,LK-2,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Male,Primary
NCIH2172_LUNG,1,TenPx21,-0.414957089414946,-2.02076147165257,-2.0384387522882,1.36494840273326,-1.38136653995853,1.0,NCI-H2172,Lung,ACH-000924,NCI-H2172,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,Female,Primary
NCIH2170_LUNG,1,TenPx12,-0.116836720531755,1.43351888686291,0.0402768693279025,-0.986555241822051,0.322162376913389,2.0,NCIH2170,Lung,ACH-000481,NCI-H2170,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Male,Primary
NCIH1975_LUNG,1,TenPx13,0.0336846436092726,1.05156867095784,0.985449418820517,2.16130028543772,0.164007561385716,5.0,NCIH1975,Lung,ACH-000587,NCI-H1975,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
NCIH3255_LUNG,1,TenPx13,0.0984662090825736,0.94867281700122,0.206762116273402,-1.65264365956832,1.50982923951728,5.0,NCIH3255,Lung,ACH-000109,NCI-H3255,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
NCIH1435_LUNG,1,TenPx15,1.483328582339,0.401149343110885,0.810570082401638,-1.75283780287399,1.18363416949795,3.0,NCI-H1435,Lung,ACH-000852,NCI-H1435,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
LUDLU1_LUNG,1,TenPx09,1.6576758653625,1.09732336115942,1.191043288523,-1.47060948237012,1.4042398870689,2.0,LUDLU-1,Lung,ACH-000390,LUDLU-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Male,Primary
NCIH358_LUNG,1,TenPx06,2.02092051722455,2.27815904368953,2.60957472940885,-1.58103609513193,1.91247559598807,3.0,NCI-H358,Lung,ACH-000860,NCI-H358,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Primary
HCC827_LUNG,1,TenPx10,2.5252116126129,1.80847161075187,1.78701978754308,-1.87056897571394,2.38002943963856,2.0,HCC827,Lung,ACH-000012,HCC-827,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,Primary
PC14_LUNG,1,TenPx05,3.32487029580832,3.62802327698463,2.96600649434298,-1.46773685619719,2.62603060341136,1.0,PC-14,Lung,ACH-000030,PC-14,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,Primary
