layer,analysis_id,family,cohort,partner,label,definition,adjustment,n,spearman_rho,spearman_p,pearson_r,pearson_p,ci95_lo,ci95_hi,resid_df,n_adjusters,unadjusted_spearman_same_n,null_p_same_size_from_parent,partial_status,eligible_for_max,is_layer_max,q_bh_within_eligible,n_equals_118,rounds_to_0.69,delta_vs_0.69
protein,partial::S1_Lung::EPCAM,partial_epithelial,S1_Lung,CLDN4,S1 Lung | EPCAM,Epithelial-program partial. Not eligible for the maximum.,EPCAM,45,0.5530866962259663,9.876251602725452e-05,0.6871878120527255,1.8535570143264805e-07,,,42.0,1,0.6931488801054019,,ok,False,False,,False,False,-0.13691330377403366
protein,partial::S1_Lung::CDH1,partial_epithelial,S1_Lung,CLDN4,S1 Lung | CDH1,Epithelial-program partial. Not eligible for the maximum.,CDH1,45,0.3887434776483317,0.009110999876901218,0.6871878120527255,1.8535570143264805e-07,,,42.0,1,0.6931488801054019,,ok,False,False,,False,False,-0.3012565223516682
protein,partial::S1_Lung::VIM,partial_epithelial,S1_Lung,CLDN4,S1 Lung | VIM,Epithelial-program partial. Not eligible for the maximum.,VIM,45,0.6401557141295107,2.8786607043033587e-06,0.6871878120527255,1.8535570143264805e-07,,,42.0,1,0.6931488801054019,,ok,False,False,,False,False,-0.04984428587048928
protein,partial::Oncotree_NSCLC::OncotreeSubtype,partial_histology,Oncotree_NSCLC,CLDN4,Oncotree NSCLC | OncotreeSubtype,Rank partial within Oncotree_NSCLC.,OncotreeSubtype,35,0.7506100772272868,7.505717594977341e-07,0.7437063817000543,3.0686191982928465e-07,0.5520587481582324,0.8684516843548826,30.0,3,0.7266106442577032,,ok,True,False,1.9878086102227535e-06,False,False,0.06061007722728684
protein,partial::Oncotree_NSCLC::PrimaryOrMetastasis,partial_histology,Oncotree_NSCLC,CLDN4,Oncotree NSCLC | PrimaryOrMetastasis,Rank partial within Oncotree_NSCLC.,PrimaryOrMetastasis,35,0.7215676498734507,1.4686008670145472e-06,0.7437063817000543,3.0686191982928465e-07,0.485803795303232,0.8412423210261714,32.0,1,0.7266106442577032,,ok,True,False,3.1631085272920167e-06,False,False,0.03156764987345073
protein,partial::Oncotree_NSCLC::OncotreeSubtype + PrimaryOrMetastasis,partial_histology,Oncotree_NSCLC,CLDN4,Oncotree NSCLC | OncotreeSubtype + PrimaryOrMetastasis,Rank partial within Oncotree_NSCLC.,OncotreeSubtype + PrimaryOrMetastasis,35,0.7443511625059659,1.5815542636460083e-06,0.7437063817000543,3.0686191982928465e-07,0.5342154872614462,0.8700362007877213,29.0,4,0.7266106442577032,,ok,True,False,3.1631085272920167e-06,False,False,0.054351162505965944
protein,partial::Oncotree_NSCLC::EPCAM,partial_epithelial,Oncotree_NSCLC,CLDN4,Oncotree NSCLC | EPCAM,Epithelial-program partial. Not eligible for the maximum.,EPCAM,35,0.5597856802255726,0.000576725341256945,0.7437063817000543,3.0686191982928465e-07,,,32.0,1,0.7266106442577032,,ok,False,False,,False,False,-0.13021431977442732
protein,partial::Oncotree_NSCLC::CDH1,partial_epithelial,Oncotree_NSCLC,CLDN4,Oncotree NSCLC | CDH1,Epithelial-program partial. Not eligible for the maximum.,CDH1,35,0.45651369137972114,0.0066508958478314825,0.7437063817000543,3.0686191982928465e-07,,,32.0,1,0.7266106442577032,,ok,False,False,,False,False,-0.2334863086202788
protein,partial::Oncotree_NSCLC::VIM,partial_epithelial,Oncotree_NSCLC,CLDN4,Oncotree NSCLC | VIM,Epithelial-program partial. Not eligible for the maximum.,VIM,35,0.7030743615987005,3.538507372819132e-06,0.7437063817000543,3.0686191982928465e-07,,,32.0,1,0.7266106442577032,,ok,False,False,,False,False,0.013074361598700568
protein,partial::Oncotree_LUAD::PrimaryOrMetastasis,partial_histology,Oncotree_LUAD,CLDN4,Oncotree LUAD | PrimaryOrMetastasis,Rank partial within Oncotree_LUAD.,PrimaryOrMetastasis,22,0.782309579477907,2.7859156244056954e-05,0.7932845666934566,1.0611960424713108e-05,0.5158083850086747,0.9069477610211696,19.0,1,0.7820440429136083,,ok,True,False,4.5587710217547746e-05,False,False,0.09230957947790708
protein,partial::Oncotree_LUAD::EPCAM,partial_epithelial,Oncotree_LUAD,CLDN4,Oncotree LUAD | EPCAM,Epithelial-program partial. Not eligible for the maximum.,EPCAM,22,0.6617832449174285,0.001084808716645307,0.7932845666934566,1.0611960424713108e-05,,,19.0,1,0.7820440429136083,,ok,False,False,,False,False,-0.028216755082571487
protein,partial::Oncotree_LUAD::CDH1,partial_epithelial,Oncotree_LUAD,CLDN4,Oncotree LUAD | CDH1,Epithelial-program partial. Not eligible for the maximum.,CDH1,22,0.6447601723024594,0.0016024829137451767,0.7932845666934566,1.0611960424713108e-05,,,19.0,1,0.7820440429136083,,ok,False,False,,False,False,-0.045239827697540536
