Sample	lineage	n
BD_immune01	B	38
BD_immune02	B	1977
BD_immune03	B	1053
BD_immune04	B	463
BD_immune05	B	240
BD_immune06	B	98
BD_immune07	B	76
BD_immune08	B	236
BD_immune09	B	143
BD_immune10	B	91
BD_immune11	B	255
BD_immune12	B	1229
BD_immune13	B	118
BD_immune14	B	1725
BD_immune15	B	378
BD_immune01	endothelial	21
BD_immune02	endothelial	40
BD_immune03	endothelial	27
BD_immune04	endothelial	39
BD_immune05	endothelial	8
BD_immune06	endothelial	50
BD_immune07	endothelial	146
BD_immune08	endothelial	88
BD_immune09	endothelial	8
BD_immune10	endothelial	22
BD_immune11	endothelial	39
BD_immune12	endothelial	16
BD_immune13	endothelial	30
BD_immune14	endothelial	60
BD_immune15	endothelial	68
BD_immune01	epithelial	646
BD_immune02	epithelial	98
BD_immune03	epithelial	1024
BD_immune04	epithelial	128
BD_immune05	epithelial	1473
BD_immune06	epithelial	42
BD_immune07	epithelial	5295
BD_immune08	epithelial	180
BD_immune09	epithelial	275
BD_immune10	epithelial	242
BD_immune11	epithelial	424
BD_immune12	epithelial	437
BD_immune13	epithelial	28
BD_immune14	epithelial	173
BD_immune15	epithelial	522
BD_immune01	fibroblast	24
BD_immune02	fibroblast	14
BD_immune03	fibroblast	31
BD_immune04	fibroblast	34
BD_immune05	fibroblast	21
BD_immune06	fibroblast	5
BD_immune07	fibroblast	304
BD_immune08	fibroblast	503
BD_immune09	fibroblast	24
BD_immune10	fibroblast	82
BD_immune11	fibroblast	5
BD_immune12	fibroblast	4
BD_immune13	fibroblast	10
BD_immune14	fibroblast	19
BD_immune15	fibroblast	15
BD_immune01	mast	42
BD_immune02	mast	17
BD_immune03	mast	75
BD_immune04	mast	65
BD_immune05	mast	12
BD_immune06	mast	87
BD_immune07	mast	152
BD_immune08	mast	188
BD_immune09	mast	12
BD_immune10	mast	27
BD_immune11	mast	31
BD_immune12	mast	77
BD_immune13	mast	14
BD_immune14	mast	64
BD_immune15	mast	58
BD_immune01	myeloid	950
BD_immune02	myeloid	110
BD_immune03	myeloid	594
BD_immune04	myeloid	1309
BD_immune05	myeloid	217
BD_immune06	myeloid	819
BD_immune07	myeloid	1685
BD_immune08	myeloid	563
BD_immune09	myeloid	870
BD_immune10	myeloid	1249
BD_immune11	myeloid	947
BD_immune12	myeloid	691
BD_immune13	myeloid	3095
BD_immune14	myeloid	366
BD_immune15	myeloid	3728
BD_immune01	neutrophil	2060
BD_immune02	neutrophil	259
BD_immune03	neutrophil	177
BD_immune04	neutrophil	618
BD_immune05	neutrophil	96
BD_immune06	neutrophil	624
BD_immune07	neutrophil	226
BD_immune08	neutrophil	213
BD_immune09	neutrophil	89
BD_immune10	neutrophil	458
BD_immune11	neutrophil	355
BD_immune12	neutrophil	2193
BD_immune13	neutrophil	1940
BD_immune14	neutrophil	211
BD_immune15	neutrophil	1716
BD_immune01	NK	403
BD_immune02	NK	168
BD_immune03	NK	1071
BD_immune04	NK	764
BD_immune05	NK	117
BD_immune06	NK	469
BD_immune07	NK	214
BD_immune08	NK	217
BD_immune09	NK	817
BD_immune10	NK	1406
BD_immune11	NK	376
BD_immune12	NK	126
BD_immune13	NK	108
BD_immune14	NK	321
BD_immune15	NK	520
BD_immune01	other	87
BD_immune02	other	188
BD_immune03	other	364
BD_immune04	other	180
BD_immune05	other	32
BD_immune06	other	81
BD_immune07	other	200
BD_immune08	other	178
BD_immune09	other	139
BD_immune10	other	306
BD_immune11	other	60
BD_immune12	other	106
BD_immune13	other	183
BD_immune14	other	152
BD_immune15	other	151
BD_immune01	plasma	248
BD_immune02	plasma	50
BD_immune03	plasma	919
BD_immune04	plasma	161
BD_immune05	plasma	227
BD_immune06	plasma	16
BD_immune07	plasma	59
BD_immune08	plasma	681
BD_immune09	plasma	136
BD_immune10	plasma	288
BD_immune11	plasma	4
BD_immune12	plasma	215
BD_immune13	plasma	47
BD_immune14	plasma	97
BD_immune15	plasma	17
BD_immune01	T	222
BD_immune02	T	2424
BD_immune03	T	3924
BD_immune04	T	4637
BD_immune05	T	670
BD_immune06	T	2358
BD_immune07	T	774
BD_immune08	T	2778
BD_immune09	T	2336
BD_immune10	T	2472
BD_immune11	T	1263
BD_immune12	T	1139
BD_immune13	T	1180
BD_immune14	T	2358
BD_immune15	T	913
