test	pair	note	n	rho	p	mwu_n_high	mwu_n_low	mwu_median_high	mwu_median_low	mwu_U	mwu_p	mwu_delta
spearman	CLDN4 vs TNK	mean-z 16/16	29	-0.5783251231527092	0.0010158497077647473							
spearman	CLDN4 vs IFN	Ayers mean-z 5/6; IFNG absent	29	-0.27044334975369455	0.15592226252623015							
spearman	CLDN4 vs CD8A		29	-0.46403940886699496	0.011222659676377032							
spearman	CLDN4 vs NKG7		29	-0.5546798029556649	0.001792064167504252							
spearman	CLDN4 vs MHC	HLA-A/B/C 3/3	29	0.04876847290640393	0.8016414303708648							
spearman	CLDN4 vs TACSTD2	companion	29	0.7655172413793102	1.3107275570875238e-06							
spearman	CLDN4 vs EPCAM	epithelial content	29	0.6645320197044333	8.436032971903652e-05							
spearman	TACSTD2 vs TNK	companion	29	-0.8374384236453201	1.4747707958742766e-08							
spearman	TACSTD2 vs IFN	companion	29	-0.5123152709359605	0.004492807118898387							
spearman	CD8A vs TNK	positive-control; CD8A is in TNK	29	0.8940886699507388	6.438702516502996e-11							
spearman	TNK vs IFN	immune-axis sanity	29	0.7866995073891624	4.1851199794345896e-07							
partial_spearman_|EPCAM	CLDN4 vs TNK	rank residual on EPCAM	29	-0.43438051372654357	0.018544445603139077							
partial_spearman_|EPCAM	CLDN4 vs IFN	rank residual on EPCAM	29	-0.13265339940127327	0.49272645664634024							
partial_spearman_|EPCAM	CLDN4 vs CD8A	rank residual on EPCAM	29	-0.3126712858197119	0.0986518921005912							
partial_spearman_|EPCAM	CLDN4 vs NKG7	rank residual on EPCAM	29	-0.3593202203749535	0.05557239650451867							
partial_spearman_|EPCAM	CLDN4 vs MHC	rank residual on EPCAM	29	0.3276623896840235	0.08271113303810822							
median_split_MWU	CLDN4-high vs low, TNK	high n=15 (>= median 5.744); low n=14	29	-0.6476190476190476	0.00321973269092177	15.0	14.0	-0.3946522445517841	0.7224921513300899	37.0	0.00321973269092177	-0.6476190476190476
median_split_MWU	CLDN4-high vs low, IFN	high n=15 (>= median 5.744); low n=14	29	-0.3142857142857143	0.15606926343164354	15.0	14.0	-0.011745742862716133	0.4821818290477306	72.0	0.15606926343164354	-0.3142857142857143
median_split_MWU	CLDN4-high vs low, CD8A	high n=15 (>= median 5.744); low n=14	29	-0.49523809523809526	0.02459888231933607	15.0	14.0	3.7570232465074596	5.010862974206434	53.0	0.02459888231933607	-0.49523809523809526
median_split_MWU	CLDN4-high vs low, NKG7	high n=15 (>= median 5.744); low n=14	29	-0.5904761904761905	0.007272968992721652	15.0	14.0	3.920293300211007	5.4668931944503605	43.0	0.007272968992721652	-0.5904761904761905
median_split_MWU	CLDN4-high vs low, MHC	high n=15 (>= median 5.744); low n=14	29	-0.06666666666666667	0.7766531265771661	15.0	14.0	0.015035599620301016	0.11241812453820463	98.0	0.7766531265771661	-0.06666666666666667
spearman_histology	CLDN4 vs TNK | Adenocarcinoma	GEO cell type; n=20	20	-0.7999999999999999	2.2928871994400038e-05							
spearman_histology	CLDN4 vs IFN | Adenocarcinoma	GEO cell type; n=20	20	-0.3398496240601503	0.14263670537136694							
spearman_histology	CLDN4 vs CD8A | Adenocarcinoma	GEO cell type; n=20	20	-0.6812030075187969	0.0009435725086737295							
spearman_histology	CLDN4 vs TNK | Squamous	GEO cell type; n=7	7	-0.8571428571428573	0.013697326615325618							
spearman_histology	CLDN4 vs IFN | Squamous	GEO cell type; n=7	7	-0.5714285714285715	0.18020198891152767							
spearman_histology	CLDN4 vs CD8A | Squamous	GEO cell type; n=7	7	-0.7142857142857144	0.07134356146753766							
spearman_arm	CLDN4 vs TNK | Arm1	GEO treatment; Arm1=durva, Arm2=durva+SBRT (paper)	18	-0.6057791537667698	0.0077106082493158725							
spearman_arm	CLDN4 vs IFN | Arm1	GEO treatment; Arm1=durva, Arm2=durva+SBRT (paper)	18	-0.3931888544891641	0.10648479569520816							
spearman_arm	CLDN4 vs TNK | Arm2	GEO treatment; Arm1=durva, Arm2=durva+SBRT (paper)	11	-0.4727272727272727	0.1419985202063199							
spearman_arm	CLDN4 vs IFN | Arm2	GEO treatment; Arm1=durva, Arm2=durva+SBRT (paper)	11	-0.05454545454545456	0.8734465775233149							
