library	tissue	treatment	lineage	n
PB anti-LILRB2	PB	anti-LILRB2	B	48
PB anti-LILRB2	PB	anti-LILRB2	NK	49
PB anti-LILRB2	PB	anti-LILRB2	T	1153
PB anti-LILRB2	PB	anti-LILRB2	epithelial	5
PB anti-LILRB2	PB	anti-LILRB2	melanoma	5
PB anti-LILRB2	PB	anti-LILRB2	myeloid	69
PB anti-LILRB2	PB	anti-LILRB2	other	78
PB anti-LILRB2	PB	anti-LILRB2	pDC	42
PB isotype	PB	isotype	B	85
PB isotype	PB	isotype	NK	126
PB isotype	PB	isotype	T	2651
PB isotype	PB	isotype	myeloid	9
PB isotype	PB	isotype	other	41
PB isotype	PB	isotype	pDC	4
Tumor anti-LILRB2	tumor	anti-LILRB2	B	2173
Tumor anti-LILRB2	tumor	anti-LILRB2	NK	253
Tumor anti-LILRB2	tumor	anti-LILRB2	T	3911
Tumor anti-LILRB2	tumor	anti-LILRB2	epithelial	7
Tumor anti-LILRB2	tumor	anti-LILRB2	melanoma	153
Tumor anti-LILRB2	tumor	anti-LILRB2	myeloid	50
Tumor anti-LILRB2	tumor	anti-LILRB2	other	385
Tumor anti-LILRB2	tumor	anti-LILRB2	pDC	8
Tumor isotype	tumor	isotype	B	2768
Tumor isotype	tumor	isotype	NK	70
Tumor isotype	tumor	isotype	T	1158
Tumor isotype	tumor	isotype	epithelial	2
Tumor isotype	tumor	isotype	melanoma	157
Tumor isotype	tumor	isotype	myeloid	22
Tumor isotype	tumor	isotype	other	79
Tumor isotype	tumor	isotype	pDC	5
