library	tissue	treatment	n_cells	program	gene	n_detected	pct_detected	mean_log1p_cp10k
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	NHEJ	XRCC6	1793	25.835734870317	0.4566211402416229
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	NHEJ	XRCC5	2555	36.81556195965418	0.7301421761512756
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	NHEJ	PRKDC	1271	18.314121037463977	0.31314972043037415
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	NHEJ	XRCC4	114	1.6426512968299711	0.0215898547321558
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	NHEJ	LIG4	84	1.2103746397694526	0.0188460573554039
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	NHEJ	NHEJ1	106	1.527377521613833	0.020698165521025658
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	NHEJ	PAXX	730	10.518731988472622	0.17330187559127808
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	NHEJ	DCLRE1C	538	7.752161383285302	0.12774255871772766
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	STING	CGAS	464	6.685878962536022	0.10739897191524506
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	STING	STING1	522	7.521613832853026	0.13162633776664734
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	STING	TBK1	350	5.043227665706052	0.07461308687925339
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	STING	IKBKE	499	7.1902017291066285	0.12529289722442627
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	STING	IRF3	884	12.737752161383284	0.20632271468639374
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	STING	TREX1	0	0.0	0.0
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	STING	ENPP1	13	0.18731988472622477	0.0021413108333945274
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	STING	IFI16	2423	34.913544668587896	0.6877389550209045
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	STING	DDX41	302	4.351585014409222	0.05832172557711601
