symbol	present_libraries	matrix_symbol	role	present
XRCC6	4	XRCC6	NHEJ	True
XRCC5	4	XRCC5	NHEJ	True
PRKDC	4	PRKDC	NHEJ	True
XRCC4	4	XRCC4	NHEJ	True
LIG4	4	LIG4	NHEJ	True
NHEJ1	4	NHEJ1	NHEJ	True
PAXX	4	PAXX	NHEJ	True
DCLRE1C	4	DCLRE1C	NHEJ	True
CGAS	4	CGAS	STING	True
STING1	4	TMEM173	STING	True
TBK1	4	TBK1	STING	True
IKBKE	4	IKBKE	STING	True
IRF3	4	IRF3	STING	True
TREX1	4	TREX1	STING	True
ENPP1	4	ENPP1	STING	True
IFI16	4	IFI16	STING	True
DDX41	4	DDX41	STING	True
ZBP1	4	ZBP1	STING	True
ISG15	4	ISG15	IFN	True
IFI6	4	IFI6	IFN	True
IFI27	4	IFI27	IFN	True
IFI44	4	IFI44	IFN	True
IFI44L	4	IFI44L	IFN	True
IFIT1	4	IFIT1	IFN	True
IFIT2	4	IFIT2	IFN	True
IFIT3	4	IFIT3	IFN	True
IFIT5	4	IFIT5	IFN	True
IFITM1	4	IFITM1	IFN	True
IFITM2	4	IFITM2	IFN	True
IFITM3	4	IFITM3	IFN	True
MX1	4	MX1	IFN	True
MX2	4	MX2	IFN	True
OAS1	4	OAS1	IFN	True
OAS2	4	OAS2	IFN	True
OAS3	4	OAS3	IFN	True
OASL	4	OASL	IFN	True
RSAD2	4	RSAD2	IFN	True
USP18	4	USP18	IFN	True
BST2	4	BST2	IFN	True
XAF1	4	XAF1	IFN	True
STAT1	4	STAT1	IFN	True
STAT2	4	STAT2	IFN	True
IRF7	4	IRF7	IFN	True
IRF9	4	IRF9	IFN	True
DDX58	4	DDX58	IFN	True
IFIH1	4	IFIH1	IFN	True
SAMD9	4	SAMD9	IFN	True
SAMD9L	4	SAMD9L	IFN	True
HERC5	4	HERC5	IFN	True
HERC6	4	HERC6	IFN	True
EPSTI1	4	EPSTI1	IFN	True
CMPK2	4	CMPK2	IFN	True
PARP9	4	PARP9	IFN	True
DTX3L	4	DTX3L	IFN	True
LY6E	4	LY6E	IFN	True
SP100	4	SP100	IFN	True
SP110	4	SP110	IFN	True
PLSCR1	4	PLSCR1	IFN	True
HLA-A	4	HLA-A	APM	True
HLA-B	4	HLA-B	APM	True
HLA-C	4	HLA-C	APM	True
HLA-E	4	HLA-E	APM	True
HLA-F	4	HLA-F	APM	True
B2M	4	B2M	APM	True
TAP1	4	TAP1	APM	True
TAP2	4	TAP2	APM	True
TAPBP	4	TAPBP	APM	True
PSMB8	4	PSMB8	APM	True
PSMB9	4	PSMB9	APM	True
PSMB10	4	PSMB10	APM	True
PSME1	4	PSME1	APM	True
PSME2	4	PSME2	APM	True
NLRC5	4	NLRC5	APM	True
ERAP1	4	ERAP1	APM	True
ERAP2	4	ERAP2	APM	True
CALR	4	CALR	APM	True
PDIA3	4	PDIA3	APM	True
CANX	4	CANX	APM	True
IRF1	4	IRF1	APM	True
CLDN4	4	CLDN4	anchor	True
CLDN18	4	CLDN18	anchor	True
LILRB2	4	LILRB2	anchor	True
PTPRC	4	PTPRC	anchor	True
LYZ	4	LYZ	lineage	True
CD14	4	CD14	lineage	True
CD68	4	CD68	lineage	True
CSF1R	4	CSF1R	lineage	True
FCGR3A	4	FCGR3A	lineage	True
S100A8	4	S100A8	lineage	True
S100A9	4	S100A9	lineage	True
CST3	4	CST3	lineage	True
CD3D	4	CD3D	lineage	True
CD3E	4	CD3E	lineage	True
CD3G	4	CD3G	lineage	True
CD2	4	CD2	lineage	True
TRAC	4	TRAC	lineage	True
NKG7	4	NKG7	lineage	True
GNLY	4	GNLY	lineage	True
KLRD1	4	KLRD1	lineage	True
KLRF1	4	KLRF1	lineage	True
FGFBP2	4	FGFBP2	lineage	True
CD79A	4	CD79A	lineage	True
MS4A1	4	MS4A1	lineage	True
CD19	4	CD19	lineage	True
IGHM	4	IGHM	lineage	True
IL3RA	4	IL3RA	lineage	True
CLEC4C	4	CLEC4C	lineage	True
LILRA4	4	LILRA4	lineage	True
MLANA	4	MLANA	lineage	True
PMEL	4	PMEL	lineage	True
TYR	4	TYR	lineage	True
MITF	4	MITF	lineage	True
DCT	4	DCT	lineage	True
EPCAM	4	EPCAM	lineage	True
KRT8	4	KRT8	lineage	True
KRT18	4	KRT18	lineage	True
KRT19	4	KRT19	lineage	True
