gsm	library	tissue	treatment	n_barcodes	n_qc	n_cldn4_pos	cldn4_umi_sum	n_cldn18_pos	n_mouse_cldn4_pos	mean_NHEJ	mean_STING	mean_IFN	mean_APM	n_myeloid	n_T	n_NK	n_B	n_pDC	n_melanoma	n_epithelial	n_other
GSM9457798	Tumor anti-LILRB2	tumor	anti-LILRB2	13779	6940	3	3.0	0	0	0.2327614277601242	0.16052742302417755	0.2580193281173706	1.1098542213439941	50	3911	253	2173	8	153	7	385
GSM9457799	Tumor isotype	tumor	isotype	9086	4261	2	2.0	0	0	0.25249266624450684	0.1672314703464508	0.2577732503414154	1.040801763534546	22	1158	70	2768	5	157	2	79
GSM9457800	PB anti-LILRB2	PB	anti-LILRB2	2596	1449	0	0.0	0	0	0.3263804316520691	0.2679993212223053	0.43883830308914185	1.3014785051345825	69	1153	49	48	42	5	5	78
GSM9457801	PB isotype	PB	isotype	4835	2916	1	1.0	0	0	0.36204496026039124	0.2791798412799835	0.4994886517524719	1.3991737365722656	9	2651	126	85	4	0	0	41
