compartment	program	n_anti	n_iso	n_libraries_per_arm	mean_anti	mean_iso	median_anti	median_iso	delta_mean_anti_minus_iso	note
tumor_QC	NHEJ	6940	4261	1	0.2327614277601242	0.25249266624450684	0.23151786625385284	0.2358073741197586	-0.01973123848438263	one library per arm; cell-level contrast is not a replicate test
tumor_QC	STING	6940	4261	1	0.16052742302417755	0.1672314703464508	0.16501712799072266	0.16931459307670593	-0.006704047322273254	one library per arm; cell-level contrast is not a replicate test
tumor_QC	IFN	6940	4261	1	0.2580193281173706	0.2577732503414154	0.23282551765441895	0.23358340561389923	0.0002460777759552002	one library per arm; cell-level contrast is not a replicate test
tumor_QC	APM	6940	4261	1	1.1098542213439941	1.040801763534546	1.1176722049713135	1.043664813041687	0.06905245780944824	one library per arm; cell-level contrast is not a replicate test
tumor_myeloid	NHEJ	50	22	1	0.23066145181655884	0.22206874191761017	0.21740412712097168	0.24910564720630646	0.00859270989894867	one library per arm; cell-level contrast is not a replicate test
tumor_myeloid	STING	50	22	1	0.1450568437576294	0.10732178390026093	0.049691252410411835	0.0	0.03773505985736847	one library per arm; cell-level contrast is not a replicate test
tumor_myeloid	IFN	50	22	1	0.2573966681957245	0.3906831741333008	0.20355308055877686	0.3765553832054138	-0.1332865059375763	one library per arm; cell-level contrast is not a replicate test
tumor_myeloid	APM	50	22	1	1.0204914808273315	1.1333950757980347	1.0279264450073242	1.2135891914367676	-0.11290359497070312	one library per arm; cell-level contrast is not a replicate test
tumor_T	NHEJ	3911	1158	1	0.2702051103115082	0.29134631156921387	0.262535035610199	0.2793394923210144	-0.02114120125770569	one library per arm; cell-level contrast is not a replicate test
tumor_T	STING	3911	1158	1	0.17587780952453613	0.1751907467842102	0.1879371851682663	0.1918478012084961	0.0006870627403259277	one library per arm; cell-level contrast is not a replicate test
tumor_T	IFN	3911	1158	1	0.29278185963630676	0.33054184913635254	0.2735041379928589	0.3008020520210266	-0.037759989500045776	one library per arm; cell-level contrast is not a replicate test
tumor_T	APM	3911	1158	1	1.2087758779525757	1.2150604724884033	1.204412579536438	1.2219748497009277	-0.006284594535827637	one library per arm; cell-level contrast is not a replicate test
tumor_NK	NHEJ	253	70	1	0.23345939815044403	0.2535039186477661	0.2445768415927887	0.30710482597351074	-0.020044520497322083	one library per arm; cell-level contrast is not a replicate test
tumor_NK	STING	253	70	1	0.1436985284090042	0.16502752900123596	0.0	0.0	-0.02132900059223175	one library per arm; cell-level contrast is not a replicate test
