sample,patient,unit,cut,metric,usable,n_high,n_low,n_fov_in_section,mean_high,mean_low,cyto,radius_um
LUAD-5 R1,Lung5,section,detected_absent,0,True,12611,5226,25,7.929585282689715e-05,0.0003827018752391887,cd8,10
LUAD-5 R1,Lung5,section,detected_absent,1,True,12611,5226,25,0.0025374672904607087,0.005549177190968236,cd8,20
LUAD-5 R1,Lung5,section,detected_absent,2,True,12611,5226,25,0.006819443343113155,0.009567546880979716,cd8,25
LUAD-5 R1,Lung5,section,detected_absent,3,True,12611,5226,25,0.03259059551185473,0.0371220818982013,cd8,40
LUAD-5 R1,Lung5,section,detected_absent,4,True,12611,5226,25,0.06597414955197843,0.07060849598163031,cd8,50
LUAD-5 R1,Lung5,section,detected_absent,5,True,12611,5226,25,0.26009039727222266,0.25832376578645233,cd8,80
LUAD-5 R1,Lung5,section,detected_absent,6,True,12611,5226,25,0.49060344144001267,0.4707233065442021,cd8,100
LUAD-5 R1,Lung5,section,detected_absent,7,True,12611,5226,25,0.0013480294980572516,0.0019135093761959434,nk,10
LUAD-5 R1,Lung5,section,detected_absent,8,True,12611,5226,25,0.011101419395765602,0.013777267508610792,nk,20
LUAD-5 R1,Lung5,section,detected_absent,9,True,12611,5226,25,0.020220442470858774,0.025066972828166858,nk,25
LUAD-5 R1,Lung5,section,detected_absent,10,True,12611,5226,25,0.07453810165728332,0.07386146192116341,nk,40
LUAD-5 R1,Lung5,section,detected_absent,11,True,12611,5226,25,0.1343271746887638,0.12476081132797551,nk,50
LUAD-5 R1,Lung5,section,detected_absent,12,True,12611,5226,25,0.4746649750218064,0.42058936088786836,nk,80
LUAD-5 R1,Lung5,section,detected_absent,13,True,12611,5226,25,0.846562524779954,0.7345962495216226,nk,100
LUAD-5 R1,Lung5,section,detected_absent,14,True,12611,5226,25,0.0014273253508841487,0.002296211251435132,cd8nk,10
LUAD-5 R1,Lung5,section,detected_absent,15,True,12611,5226,25,0.01363888668622631,0.01932644469957903,cd8nk,20
LUAD-5 R1,Lung5,section,detected_absent,16,True,12611,5226,25,0.027039885813971928,0.03463451970914658,cd8nk,25
LUAD-5 R1,Lung5,section,detected_absent,17,True,12611,5226,25,0.10712869716913806,0.11098354381936472,cd8nk,40
LUAD-5 R1,Lung5,section,detected_absent,18,True,12611,5226,25,0.2003013242407422,0.1953693073096058,cd8nk,50
LUAD-5 R1,Lung5,section,detected_absent,19,True,12611,5226,25,0.734755372294029,0.6789131266743207,cd8nk,80
LUAD-5 R1,Lung5,section,detected_absent,20,True,12611,5226,25,1.3371659662199666,1.2053195560658247,cd8nk,100
LUAD-5 R1,Lung5,section,detected_absent,21,True,12611,5226,25,0.003647609230037269,0.004592422502870264,gzmb,10
LUAD-5 R1,Lung5,section,detected_absent,22,True,12611,5226,25,0.040282293236063756,0.04477611940298507,gzmb,20
LUAD-5 R1,Lung5,section,detected_absent,23,True,12611,5226,25,0.07850289429862818,0.07864523536165327,gzmb,25
LUAD-5 R1,Lung5,section,detected_absent,24,True,12611,5226,25,0.2874474664975022,0.27898966704936856,gzmb,40
LUAD-5 R1,Lung5,section,detected_absent,25,True,12611,5226,25,0.512013321703275,0.48851894374282434,gzmb,50
LUAD-5 R1,Lung5,section,detected_absent,26,True,12611,5226,25,1.706288161129173,1.574052812858783,gzmb,80
LUAD-5 R1,Lung5,section,detected_absent,27,True,12611,5226,25,2.9580524938545714,2.671259089169537,gzmb,100
LUAD-5 R2,Lung5,section,detected_absent,0,True,12377,5537,26,0.00016159004605316313,0.0,cd8,10
LUAD-5 R2,Lung5,section,detected_absent,1,True,12377,5537,26,0.0029894158519835176,0.0036120642947444466,cd8,20
LUAD-5 R2,Lung5,section,detected_absent,2,True,12377,5537,26,0.006140421750020199,0.007946541448437781,cd8,25
LUAD-5 R2,Lung5,section,detected_absent,3,True,12377,5537,26,0.03409549971721742,0.036843055806393354,cd8,40
LUAD-5 R2,Lung5,section,detected_absent,4,True,12377,5537,26,0.0692413347337804,0.07025465053277949,cd8,50
LUAD-5 R2,Lung5,section,detected_absent,5,True,12377,5537,26,0.2737335380140583,0.25772078743001625,cd8,80
LUAD-5 R2,Lung5,section,detected_absent,6,True,12377,5537,26,0.5058576391694272,0.451688640057793,cd8,100
LUAD-5 R2,Lung5,section,detected_absent,7,True,12377,5537,26,0.0007271552072392341,0.0028896514357955572,nk,10
LUAD-5 R2,Lung5,section,detected_absent,8,True,12377,5537,26,0.01042255797042902,0.011378002528445006,nk,20
LUAD-5 R2,Lung5,section,detected_absent,9,True,12377,5537,26,0.01922921548032641,0.021491782553729456,nk,25
LUAD-5 R2,Lung5,section,detected_absent,10,True,12377,5537,26,0.07166518542457785,0.07260249232436337,nk,40
LUAD-5 R2,Lung5,section,detected_absent,11,True,12377,5537,26,0.13048396218792924,0.12985371139606286,nk,50
LUAD-5 R2,Lung5,section,detected_absent,12,True,12377,5537,26,0.47539791548840593,0.432183492866173,nk,80
LUAD-5 R2,Lung5,section,detected_absent,13,True,12377,5537,26,0.8456815060192292,0.7590753115405454,nk,100
LUAD-5 R2,Lung5,section,detected_absent,14,True,12377,5537,26,0.0008887452532923972,0.0028896514357955572,cd8nk,10
LUAD-5 R2,Lung5,section,detected_absent,15,True,12377,5537,26,0.01341197382241254,0.014990066823189452,cd8nk,20
