genotype,B,Endothelial,Epithelial/Tumor,Fibroblast,Myeloid,T/NK
K,0.0691,0.162,0.003,0.017,0.3441,0.4047
KL,0.1859,0.1334,0.0305,0.019,0.2637,0.3674
