contrast,group_a,n_a,group_b,n_b,mean_a,mean_b,pct_pos_a,pct_pos_b,log2FC_mean(a/b),mannwhitney_U,mannwhitney_p,rank_biserial
KL: Epithelial/Tumor vs Immune,KL Epithelial/Tumor,231,KL Immune,6180,0.5773835182189941,0.038514021784067154,62.77056277056276,3.6245954692556634,3.9060742026051045,1133372.5,0.0,-0.5878233909606934
K: Epithelial/Tumor vs Immune,K Epithelial/Tumor,20,K Immune,5477,0.26910191774368286,0.0270554106682539,40.0,2.1727222932262187,3.3141635794022823,75170.0,1.8510110288093293e-28,-0.37246668338775635
Epithelial/Tumor: KL vs K (CONFOUNDED w/ sample),KL Epithelial/Tumor,231,K Epithelial/Tumor,20,0.5773835182189941,0.26910191774368286,62.77056277056276,40.0,1.101377250327072,3084.0,0.010447070933878422,-0.3350648880004883
