genotype,cell_type,n_cells,pct_expressing,mean_lognorm,mean_lognorm_in_pos
K,B,463.0,2.375809935205184,0.03014698438346386,1.268913984298706
K,Endothelial,1085.0,0.7373271889400922,0.009791437536478043,1.3279638290405273
K,Epithelial/Tumor,20.0,40.0,0.26910191774368286,0.6727547645568848
K,Fibroblast,114.0,0.0,0.0,
K,Myeloid,2304.0,2.430555555555556,0.030982600525021553,1.2747126817703247
K,T/NK,2710.0,1.918819188191882,0.023188382387161255,1.208471417427063
KL,B,1406.0,2.275960170697013,0.02740270458161831,1.2040061950683594
KL,Endothelial,1009.0,2.4777006937561943,0.025898480787873268,1.0452628135681152
KL,Epithelial/Tumor,231.0,62.77056277056276,0.5773835182189941,0.9198316931724548
KL,Fibroblast,144.0,1.3888888888888888,0.005258041899651289,0.3785790205001831
KL,Myeloid,1995.0,6.065162907268171,0.05578592047095299,0.9197759628295898
KL,T/NK,2779.0,2.5548758546239654,0.031736429780721664,1.2421907186508179
