gsm,label,patient,n_spots,rho_CLDN4_CD8A,p_CLDN4_CD8A,rho_CLDN4_CD8A_epi,p_perm_rho_CLDN4_CD8A_epi,rho_resid_CLDN4_lagCD8A,p_perm_rho_resid_CLDN4_lagCD8A,I_biv_CLDN4_CD8A,LeeL_CLDN4_CD8A,p_perm_LeeL_CLDN4_CD8A,delta_nn_um_Q4_minus_Q1,p_perm_delta_nn_um_Q4_minus_Q1,delta_kNN_CD8A_Q4_minus_Q1,crossL_at_2nn,n_Gi_overlap_hotCLDN4_coldCD8A,expected_overlap_indep,gi_overlap_minus_expected,frac_CLDN4hot_that_are_CD8cold,n_Gi_CD8A_cold,delta_CD8A_core_minus_margin,rho_CD8A_vs_hopdepth_tumor,p_perm_rho_CD8A_vs_hopdepth_tumor
GSM9226169,P1_LUAD,P1,6603,0.1198970252006098,1.4255479762008711e-22,0.0414122912548994,0.94,0.0760316989892991,1.0,0.0185227814502321,0.1016051628190078,0.625,-35.66307992418483,1.0,0.178250673260808,65.30642267600209,0,0.0,0.0,0.0,0,-0.0892263062109684,0.0446907138594087,0.83
GSM9226171,P2_LUAD,P2,10995,0.0383032082904905,5.884909228735796e-05,0.0394570003898608,0.98,0.1493975790749233,1.0,0.000512405097068,-0.001822679599987,0.755,-51.80578368372372,1.0,-0.0386020979954069,35.44996014511062,0,0.0,0.0,0.0,0,0.0280143400371425,0.0636708906149705,0.99
GSM9226173,P3_LUAD,P3,14336,0.0948991058951524,4.8389697334511896e-30,-0.037650176754094,0.005,-0.028663465727326,0.005,0.0070267055860248,0.161116453908106,0.045,-11.455364902716823,0.585,-0.2312494531914407,4.815969360810612,0,0.0,0.0,0.0,0,-0.0526752679309303,-0.0610514142066538,0.005
GSM9226177,P4_LUAD,P4,12978,-0.0104619796233606,0.2333564398352875,-0.0232191639561832,0.095,0.065393302951008,0.01,-0.0207065211207778,-0.3653288173731236,0.005,-0.5323060618430873,0.31,-0.0884850077180924,-9.081263562293174,0,0.0,0.0,0.0,0,0.0021645326768951,-0.0525885605494759,0.16
GSM9226179,P5_LUAD,P5,12084,-0.0966717968137874,1.7302611854739984e-26,0.1380453464766648,1.0,0.18472566560904,1.0,-0.0694941529305086,-0.7579752123437349,0.98,-45.24009197662588,1.0,0.2586957021587382,-16.28886242854469,0,0.0,0.0,0.0,0,0.0233644726657364,0.0542754893293419,0.905
GSM9226181,P6_LUAD,P6,11724,0.0366675870029764,7.151637435807924e-05,-0.0345802396219142,0.025,-0.018360540229775,0.005,-0.0189945129356541,-0.1674939033779678,0.005,-10.090977598624065,0.87,-0.3078160218946176,11.07471728868643,0,0.0,0.0,0.0,0,-0.0628676335346327,-0.066249165266553,0.025
GSM9226182,P7_LUAD,P7,13616,0.2233252860397724,1.743699020099951e-153,0.0921042126830944,1.0,0.1391454153959606,1.0,3.655099753115792,11.999382896324494,1.0,-17.338380906760086,1.0,0.7022178882387884,41.20905850897054,32,149.91186839012926,-117.91186839012926,0.0228571428571428,1458,0.1301021727796349,0.1504027492030137,1.0
GSM9226183,P7_LUAD-1,P7,13074,0.0124465470510002,0.154713815575084,0.067945795709398,1.0,0.0699551658079938,1.0,0.5228092191158469,0.9646922357820976,1.0,-0.224194247147949,0.14,1.2333135985936927,-6.7476208363968055,127,214.68945999694049,-87.68945999694049,0.0695890410958904,1538,0.1185674836642309,-0.0919499628984742,0.005
GSM9226185,P8_LUAD,P8,12642,-0.3250028723144929,8.656566108505963e-309,-0.4907957058504641,0.005,-0.0474384991216605,0.01,-3.836130852390188,-11.33636137721282,0.005,301.5075521240067,0.005,-3.623551872193136,-137.50281553341688,1145,287.45206454674894,857.5479354532511,0.6531660011409013,2073,-0.433147878078171,-0.3195532391546021,0.005
GSM9226188,P9_LUAD,P9,12127,-0.0698149807697111,1.3950394031080842e-14,-0.2997404666275385,0.005,-0.0711677027370688,0.005,-1.8490548652693712,-3.143506429184926,0.005,56.62585467087379,0.005,-2.0116119578586837,-42.285082593792566,222,168.59280943349552,53.40719056650448,0.1812244897959183,1669,-0.3370985663908046,-0.3799043104808406,0.005
GSM9226190,P10_LUAD,P10,13441,-0.108014193456804,3.581611093848682e-36,-0.178629830225308,0.005,-0.1364924620590764,0.005,-0.3438681863728376,-0.6339410064255124,0.005,21.44733418112688,0.005,-0.2590326427542351,-16.26744148686504,713,373.48433896287474,339.51566103712526,0.3069306930693069,2161,-0.2467151940618857,-0.0679450071861269,0.025
GSM9226192,P11_LUAD,P11,11794,0.0670889905504968,3.024040913785503e-13,0.4577254478336976,1.0,-0.0306981199581923,0.005,0.7241168507837253,1.28257760402724,1.0,-362.2037793490948,1.0,4.371960991950402,-38.71137854840208,82,321.8528065117856,-239.85280651178562,0.0547396528704939,2534,0.3035251611794773,0.2392575470331465,1.0
GSM9226194,P12_LUAD,P12,14177,-0.1076263371842125,8.492871551634674e-38,0.1285454451869869,1.0,-0.0398241172071428,0.375,-0.975375117335048,-3.914236479490589,1.0,-39.92036749829785,1.0,0.8082482225632432,-25.895446323017325,473,346.7546730620018,126.24532693799819,0.2011909825606125,2091,0.0595945008349536,0.0644058826795403,1.0
GSM9226196,P13_LUAD,P13,4880,0.1055323007660916,1.4580874644173254e-13,0.3229426255482661,1.0,-0.0135911335378661,0.28,2.7087613081297746,5.739945932512743,1.0,-57.32944973902228,1.0,2.812387594021761,45.03328792907533,48,96.02643442622951,-48.026434426229514,0.0883977900552486,863,0.2009664017705272,0.011100878676651,0.595
GSM9226198,P14_LUAD,P14,11488,0.2191585889323779,5.787106719585491e-125,0.0698992059023587,1.0,0.0385516822471894,0.98,1.8962118189575148,8.80661574520357,0.985,-13.0504991586064,0.995,0.3713989810545861,20.0896154572672,45,188.83356545961,-143.83356545961,0.0291450777202072,1405,-0.074476630825865,-0.0592007349972453,0.01
GSM9226200,P15_LUAD,P15,14231,-0.1521186043562977,2.012572167177784e-74,-0.4171661517996509,0.005,0.0299565536804734,1.0,-1.3244965950445748,-4.810151245275016,0.005,91.34155352870332,0.005,-2.835552085461007,-76.23990096960256,974,279.84962406015035,694.1503759398497,0.523374529822676,2140,-0.3585775061592438,-0.2366980904493662,0.005
GSM9226202,P16_LUAD,P16,7736,-0.0197961795215066,0.0816742934607137,-0.1705137719323823,0.005,-0.0338785397423463,0.005,-0.0144345655310215,0.0298289432841849,0.005,5.024972905746054,0.03,-0.1464913223673605,42.62771336884137,143,238.7052740434333,-95.70527404343329,0.0926165803108808,1196,-0.6753897010757379,-0.3264746612873497,0.005
GSM9226204,P17_LUAD,P17,13515,0.0759194018976136,9.755490408576316e-19,0.1132823143200802,1.0,-0.0551556864751496,0.005,1.2084807182716335,2.8457608360885858,1.0,-76.11927189324132,1.0,1.7586478247309856,-10.871486313688308,101,215.0110987791343,-114.0110987791343,0.0897777777777777,2583,-0.1312147164482793,-0.103294975057929,0.015
GSM9226206,P18_LUAD,P18,11971,0.0899519948008564,6.15569339743874e-23,-0.0366836316471282,0.03,-0.0017932605771992,0.53,0.6680435793928196,1.9698393163753276,0.005,0.3761720605958913,0.485,-0.2062138498474652,20.45783814585687,87,159.23815888396962,-72.23815888396962,0.0776785714285714,1702,-0.1423372816121055,-0.1568009633595014,0.005
GSM9226208,P19_LUAD,P19,12572,-0.0817168453649453,4.435372180656416e-20,0.1175176660772699,1.0,-0.0405255665558252,0.97,-0.3320142857243133,-2.006151046353087,1.0,-24.30674881331015,1.0,0.6448346184010205,-13.684480891418788,531,391.3124403436207,139.68755965637928,0.195364238410596,1810,-0.0360364043224752,0.0002906665795003,0.57
GSM9226210,P20_LUAD,P20,13604,-0.1420647369923635,2.883309807021726e-62,-0.1670129416345425,0.005,-0.050438307821013,0.395,-0.6278003119850294,-2.658900097776716,0.005,27.91524568327988,0.005,-0.7723220930715087,-32.009784671360705,560,254.7467656571597,305.2532343428403,0.2706621556307395,1675,-0.0412176412923255,-0.0474650394325418,0.05
GSM9226213,P21_LUAD,P21,13348,-0.2129465563399018,1.0517746775863578e-136,0.0402221967662661,0.99,-0.0425695830125336,0.02,-1.1557175855069646,-5.060574995001374,0.495,-28.943036751718097,1.0,0.4043232420222153,-48.142334831790805,552,307.6710368594546,244.3289631405454,0.2783661119515885,2071,0.0861673429830514,0.0448471999780765,0.89
GSM9226216,P22_LUAD,P22,12229,0.238959875387094,2.343663570533276e-158,0.1968466766229888,1.0,0.0505417332926638,0.985,1.6374052069039358,6.027171666156665,1.0,-43.53036395129828,1.0,1.508782013489988,54.27982101604741,40,113.59228064436996,-73.59228064436996,0.0416666666666666,1447,0.1544298908496868,0.0640545007278048,0.91
GSM9226219,P23_LUAD,P23,10894,-0.3571339971825951,0.0,0.0571148763449203,0.995,-0.082226029868222,0.15,-1.1378491063302438,-7.340747085500559,0.005,32.45901013123981,0.005,-0.3040971853088337,-71.31083778491607,698,360.8674499724619,337.1325500275381,0.3036102653327533,1710,-0.0082892974454491,-0.0512342299787071,0.02
GSM9226221,P24_LUAD,P24,6276,0.1661542673431801,4.362135723873755e-40,-0.348531782489286,0.005,-0.0784221691832254,0.02,0.4909092262186822,1.4512373729265002,0.005,36.20564747985625,0.005,-0.9836355945742064,-29.796229243598333,112,206.65981516889732,-94.65981516889732,0.0999107939339875,1157,-0.4553678211149687,-0.3600587065492944,0.005
GSM9226223,P25_LUAD,P25,3791,-0.2262652733856591,3.287368685543034e-45,-0.2067120291752179,0.005,-0.0632124037837591,0.005,-2.5728616551359407,-4.797180357126697,0.005,23.41552397448825,0.01,-0.5372257119916526,-47.03416898299,207,130.53442363492482,76.46557636507518,0.2974137931034483,711,-0.3095413280166346,-0.2052114298347096,0.005
