ligand	receptor	lr_class	axis	expect
F11R	F11R	barrier_exclusion	F11R-F11R	high>low
F11R	ITGAL_ITGB2	barrier_exclusion	F11R-LFA1	high>low
NECTIN2	TIGIT	barrier_exclusion	NECTIN2-TIGIT	high>low
NECTIN2	CD96	barrier_exclusion	NECTIN2-CD96	high>low
PVR	TIGIT	barrier_exclusion	PVR-TIGIT	high>low
PVR	CD96	barrier_exclusion	PVR-CD96	high>low
CDH1	CDH1	barrier_exclusion	CDH1-CDH1	high>low
CDH1	ITGAE_ITGB7	barrier_exclusion	CDH1-integrin	high>low
CDH1	KLRG1	barrier_exclusion	CDH1-KLRG1	high>low
LGALS9	HAVCR2	barrier_exclusion	LGALS9-TIM3	high>low
LGALS9	CD44	barrier_exclusion	LGALS9-CD44	high>low
LGALS9	PTPRC	barrier_exclusion	LGALS9-CD45	high>low
CD274	PDCD1	barrier_exclusion	PDL1-PD1	high>low
PDCD1LG2	PDCD1	barrier_exclusion	PDL2-PD1	high>low
HLA-E	KLRC1_KLRD1	barrier_exclusion	HLA-E-NKG2A	high>low
CD47	SIRPA	barrier_exclusion	CD47-SIRPA	high>low
CD24	SIGLEC10	barrier_exclusion	CD24-SIGLEC10	high>low
TGFB1	TGFBR1_TGFBR2	barrier_exclusion	TGFB-TGFBR	high>low
MIF	CD74	barrier_exclusion	MIF-CD74	high>low
CXCL9	CXCR3	recruit_effector	CXCL9-CXCR3	low>high
CXCL10	CXCR3	recruit_effector	CXCL10-CXCR3	low>high
CXCL11	CXCR3	recruit_effector	CXCL11-CXCR3	low>high
CXCL16	CXCR6	recruit_effector	CXCL16-CXCR6	low>high
CCL5	CCR5	recruit_effector	CCL5-CCR5	low>high
CCL5	CCR1	recruit_effector	CCL5-CCR1	low>high
CX3CL1	CX3CR1	recruit_effector	CX3CL1-CX3CR1	low>high
CCL2	CCR2	recruit_myeloid	CCL2-CCR2	observed
CXCL8	CXCR2	recruit_myeloid	CXCL8-CXCR2	observed
CXCL8	CXCR1	recruit_myeloid	CXCL8-CXCR1	observed
CXCL1	CXCR2	recruit_myeloid	CXCL1-CXCR2	observed
CXCL2	CXCR2	recruit_myeloid	CXCL2-CXCR2	observed
CCL7	CCR2	recruit_myeloid	CCL7-CCR2	observed
CCL3	CCR1	recruit_myeloid	CCL3-CCR1	observed
CSF1	CSF1R	recruit_myeloid	CSF1-CSF1R	observed
HLA-A	CD8A	mhc_cd8	HLA-A-CD8A	low>high
HLA-B	CD8A	mhc_cd8	HLA-B-CD8A	low>high
HLA-C	CD8A	mhc_cd8	HLA-C-CD8A	low>high
CXCL12	CXCR4	ambiguous	CXCL12-CXCR4	observed
