gene	named_probe	probe	gpl96_symbol	entrez	title	in_matrix	is_named	chosen_for_collapse	note
CLDN4	201428_at	201428_at	CLDN4	1364	claudin 4	True	True	True	
CD274						False	False	False	no GPL96 hit for locked aliases
HLA-A		213932_x_at	HLA-A	3105	major histocompatibility complex, class I, A	True	False	False	
HLA-A		215313_x_at	HLA-A	3105	major histocompatibility complex, class I, A	True	False	True	
HLA-B		208729_x_at	HLA-B	3106	major histocompatibility complex, class I, B	True	False	False	
HLA-B		209140_x_at	HLA-B	3106	major histocompatibility complex, class I, B	True	False	True	
HLA-B		211911_x_at	HLA-B	3106	major histocompatibility complex, class I, B	True	False	False	
HLA-C		208812_x_at	HLA-C	3107	major histocompatibility complex, class I, C	True	False	False	
HLA-C		211799_x_at	HLA-C	3107	major histocompatibility complex, class I, C	True	False	False	
HLA-C		214459_x_at	HLA-C	3107	major histocompatibility complex, class I, C	True	False	False	
HLA-C		216526_x_at	HLA-C	3107	major histocompatibility complex, class I, C	True	False	True	
CD8A	205758_at	205758_at	CD8A	925	CD8a molecule	True	True	True	
TACSTD2	202286_s_at	202285_s_at	TACSTD2	4070	tumor-associated calcium signal transducer 2	True	False	False	
TACSTD2	202286_s_at	202286_s_at	TACSTD2	4070	tumor-associated calcium signal transducer 2	True	True	True	
TACSTD2	202286_s_at	202287_s_at	TACSTD2	4070	tumor-associated calcium signal transducer 2	True	False	False	
PDCD1LG2		220049_s_at	PDCD1LG2	80380	programmed cell death 1 ligand 2	True	False	False	PD-L2; related ligand, not CD274; not used as a substitute
