endpoint	present	n_Q4	n_Q1	median_Q4	median_Q1	U	p	rank_biserial_Q4_minus_Q1	verdict
CD274	False	0	0						ABSENT
HLA-A	True	33	33	24633.0	25352.4	516.0	0.7195314720640542	-0.052341597796143224	NO_EVIDENCE
HLA-B	True	33	33	25574.8	26090.3	554.0	0.908112075264814	0.017447199265381075	NO_EVIDENCE
HLA-C	True	33	33	26164.7	27076.4	532.0	0.877693639191445	-0.022956841138659367	NO_EVIDENCE
MHC-I_HLAABC	True	33	33	-0.07632801354559642	-0.01128651556349497	542.0	0.9795373572095899	-0.0045913682277318735	NO_EVIDENCE
