	geo_accession	title	source_name_ch1	characteristics_ch1	description	data_processing	cldn4_mas5	cd8a_mas5	cd274_mas5	hlaa_mas5	hlab_mas5	hlac_mas5	mhci_meanz	epithelial_meanz
GSM102114	GSM102114	LS-1	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	756.1	931.9		24475.8	27732.4	27811.4	0.04532745542264779	0.20595541537823156
GSM102115	GSM102115	LS-5	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	2190.1	450.7		27368.4	29141.4	25976.7	0.1771456020899732	1.9025043145090779
GSM102116	GSM102116	LS-9	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	817.7	582.9		19943.9	22022.9	20472.1	-0.7502026078746781	0.48316746668625554
GSM102117	GSM102117	LS-13	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	859.6	315.9		23402.2	23354.3	22444.5	-0.42888798336551653	-0.5234064413396295
GSM102118	GSM102118	LS-15	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1050.2	481.8		24421.4	23841.7	22845.4	-0.3378574076673579	0.2879084957408827
GSM102119	GSM102119	LS-17	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1039.6	517.4		26024.5	27436.2	23199.6	-0.08507592240481203	0.10026754480924704
GSM102120	GSM102120	LS-19	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	395.5	608.8		25352.4	26090.3	27076.4	-0.01128651556349497	-0.26687924262196233
GSM102121	GSM102121	LS-21	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1193.9	323.9		18587.8	14776.2	17893.2	-1.2425737934345757	0.6075770855323291
GSM102122	GSM102122	LS-23	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	163.1	705.3		33829.2	33618.0	38131.9	1.226594437268014	-1.1057953483913219
GSM102123	GSM102123	LS-25	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	587.9	791.1		32339.0	32013.9	33647.1	0.8877953421220278	-0.9559112508725436
GSM102124	GSM102124	LS-27	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	895.7	350.5		29300.1	23527.1	24823.1	-0.013320901346939537	-0.4522790985211363
GSM102125	GSM102125	LS-29	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	746.9	403.9		17987.6	19186.8	17423.5	-1.1044324680296551	0.5219903177109145
GSM102126	GSM102126	LS-31	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	352.7	348.4		22712.4	23370.5	25247.1	-0.3436365231342617	-0.4208312322692058
GSM102127	GSM102127	LS-33	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	906.1	543.6		32827.3	31520.3	33061.0	0.8667609151420544	-0.5268763903145232
GSM102128	GSM102128	LS-35	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	219.4	226.7		17064.4	19734.9	20868.5	-0.9808586867775956	-0.04119018123302007
GSM102129	GSM102129	LS-37	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	802.9	347.8		23804.4	24887.3	25037.8	-0.23081465605052295	-0.326694252914562
GSM102130	GSM102130	LS-39	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	359.5	308.7		17235.5	17983.8	18422.2	-1.1522428730061562	0.04108742153084991
GSM102131	GSM102131	LS-41	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	894.4	601.1		24892.4	29819.3	28498.0	0.18606519447275174	0.0756190696868594
GSM102132	GSM102132	LS-43	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	728.2	768.8		25261.9	28826.2	30418.6	0.24505067283143236	-0.44921712696444516
GSM102133	GSM102133	LS-45	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	642.2	235.9		13219.8	11574.6	13102.5	-1.8643223770683814	-0.08119347346733763
GSM102134	GSM102134	LS-47	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	318.0	574.7		23187.3	21669.7	22006.8	-0.5311925881694343	-0.20529675221075597
GSM102135	GSM102135	LS-49	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	862.8	521.9		17527.6	21809.3	19710.4	-0.9174524904868755	0.03206980385415962
GSM102136	GSM102136	LS-51	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	899.4	921.8		35686.0	39378.8	42517.0	1.7586783326269257	0.4931661415741126
GSM102137	GSM102137	LS-53	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	235.1	974.4		31853.5	30794.6	29370.6	0.6265971158834689	-0.1409729245531932
GSM102138	GSM102138	LS-55	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1208.2	332.8		23724.2	21901.3	18400.7	-0.6482359204708522	0.4899257718229108
GSM102139	GSM102139	LS-57	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	534.0	519.4		28155.6	29258.0	30480.5	0.4163926416162755	0.9466522347244912
GSM102140	GSM102140	LS-59	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	478.4	376.5		22346.0	23264.5	19390.8	-0.6186725701685439	0.4489468985092564
GSM102141	GSM102141	LS-61	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	689.2	413.6		29096.4	33704.7	26467.4	0.4838822442226481	-0.4402495978610827
GSM102142	GSM102142	LS-63	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	871.0	776.3		31131.2	34107.0	36505.7	1.0377859642698504	-0.4993559973268469
GSM102143	GSM102143	LS-65	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	685.3	780.7		35886.9	38512.6	39184.6	1.5888003347980317	-0.40472984529134554
GSM102144	GSM102144	LS-67	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	846.0	292.4		23415.0	34299.2	31926.8	0.4490743037791101	0.7355385805403186
GSM102145	GSM102145	LS-69	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	348.8	506.3		17853.6	24156.8	22145.5	-0.6951401888566671	0.010579068882679362
GSM102146	GSM102146	LS-71	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	273.7	992.5		34191.4	33503.4	34946.2	1.103668638939414	-0.85813293333659
GSM102147	GSM102147	LS-73	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	840.9	329.0		14939.6	21006.0	17505.8	-1.1808995024966096	-0.20599488356981757
GSM102148	GSM102148	LS-75	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1064.5	356.9		33096.9	36304.7	36583.6	1.237518479141576	-0.0751079423007081
GSM102149	GSM102149	LS-77	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	373.1	738.9		32683.5	39509.6	38761.5	1.4472519187083535	1.3659924349509225
GSM102150	GSM102150	LS-79	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1145.7	566.0		36567.4	33214.2	33160.0	1.1378223155404037	0.656898426757733
GSM102151	GSM102151	LS-81	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1317.7	438.2		23998.4	25524.2	22457.6	-0.30418719076468154	-0.16029717119309972
GSM102152	GSM102152	LS-83	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	496.0	446.2		34003.8	43592.4	44238.2	1.9262977940362997	-0.051321465296419046
GSM102153	GSM102153	LS-85	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1850.9	746.7		38478.1	43498.7	42706.7	2.088653943897986	0.009657705889528245
GSM102154	GSM102154	LS-87	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	413.5	428.8		27765.8	26771.4	29841.4	0.2619165055859612	-0.854970482003011
GSM102155	GSM102155	LS-89	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	920.5	346.8		22629.3	24204.4	24690.9	-0.3360125827734109	0.01606156992380407
GSM102156	GSM102156	LS-91	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	61.8	531.5		23755.5	23245.3	23179.0	-0.38369950308077017	-0.7716891198973682
GSM102157	GSM102157	LS-95	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	551.9	241.2		20324.4	15854.8	15592.5	-1.20493565696548	-0.11422909717523312
GSM102158	GSM102158	LS-97	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	646.6	583.6		25049.5	21963.9	26630.9	-0.22337599615204554	-0.1916570344666543
GSM102159	GSM102159	LS-99	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	982.7	402.5		21336.1	22602.0	24143.7	-0.4954348484658208	-0.38701169040142935
GSM102160	GSM102160	LS-101	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	604.1	441.1		16978.5	20304.3	17524.9	-1.1044337158653394	-0.09351702221757496
GSM102161	GSM102161	LS-103	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	463.0	483.2		18046.9	21594.0	21601.1	-0.8185693925244107	1.7975894580135618
GSM102162	GSM102162	LS-105	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	500.5	594.2		15955.1	16819.9	16613.4	-1.3463396467217308	0.5645047008223801
GSM102163	GSM102163	LS-107	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	457.1	724.5		24745.8	20727.0	24183.8	-0.39734228053537884	0.4398915989229109
GSM102164	GSM102164	LS-109	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	322.9	363.1		20240.2	16881.7	18073.5	-1.0586597315370188	-0.20332771707402256
GSM102165	GSM102165	LS-111	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	719.5	445.9		18868.9	17951.9	17446.5	-1.1107629404818267	-0.4195981197288889
GSM102166	GSM102166	LS-113	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1342.7	537.6		22263.5	24565.4	26514.3	-0.2611876922169255	1.8114774576389872
GSM102167	GSM102167	LS-115	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	636.5	400.1		16089.1	17711.5	15936.6	-1.330151906793297	0.36767124422106034
GSM102168	GSM102168	LS-117	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	935.0	365.9		24567.1	25134.7	26164.7	-0.1322263495552771	-0.5706247790059751
GSM102169	GSM102169	LS-119	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	886.7	537.9		21816.0	22990.7	19436.4	-0.6559736746214052	0.22130073904469325
GSM102170	GSM102170	LS-121	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	425.7	167.7		14486.6	14171.6	12579.2	-1.7095160241185263	0.10398396762768174
GSM102171	GSM102171	LS-123	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	875.1	608.6		21654.4	24728.7	24331.5	-0.37950648864468634	-0.02532978585230089
GSM102172	GSM102172	LS-125	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1438.7	840.3		18912.3	22483.7	24313.4	-0.6189855614874918	0.5171559128408216
GSM102173	GSM102173	LS-127	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	825.5	394.5		20703.6	21531.8	23099.4	-0.6190632160611775	0.05565132309140752
GSM102174	GSM102174	LS-129	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	863.0	562.2		19801.8	23766.2	20236.9	-0.6927938838317879	1.4560282274287077
GSM102175	GSM102175	LS-131	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1924.9	543.3		24090.8	23997.7	24653.7	-0.2706600967030896	0.5435573151242282
GSM102176	GSM102176	LS-133	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1088.9	500.5		21809.8	24188.8	21681.6	-0.5084225207861292	0.18142388709390644
GSM102177	GSM102177	LS-135	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	688.2	664.3		24680.3	27516.3	27228.3	0.0216168159614587	0.0392102624715984
GSM102178	GSM102178	LS-139	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	578.6	524.0		22516.0	22779.0	21778.0	-0.5281986249581905	-0.6578175134663984
GSM102179	GSM102179	LS-2	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	503.3	386.0		24902.7	25112.9	22774.5	-0.2613275052679335	0.06949713576857545
GSM102180	GSM102180	LS-6	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	793.6	460.8		21711.3	19034.9	20736.0	-0.7755163326544597	0.2715962856071515
GSM102181	GSM102181	LS-8	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	333.2	699.7		39826.0	44545.1	47942.8	2.428375946725233	-0.21234008561629558
GSM102182	GSM102182	LS-10	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	67.8	478.8		27838.6	33420.6	34578.4	0.7547102137251706	-0.9443260509207813
GSM102183	GSM102183	LS-12	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	275.5	746.8		24446.5	28872.6	27365.8	0.07364867001833446	0.6909821115997037
GSM102184	GSM102184	LS-14	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	435.2	317.7		26356.3	26035.7	28712.7	0.10871811634417235	-0.525588642803157
GSM102185	GSM102185	LS-16	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	728.1	776.3		34899.8	40941.6	41108.2	1.7245204602529378	-0.09127092493618749
GSM102186	GSM102186	LS-18	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	247.4	396.3		12864.3	10619.3	9800.0	-2.065611848176592	-0.24143283615263686
GSM102187	GSM102187	LS-20	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1186.3	478.2		20530.7	23851.1	22438.2	-0.5568039018461678	-0.1558657257272227
GSM102188	GSM102188	LS-22	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	544.6	401.5		30428.6	31933.3	29434.9	0.6043400458636973	-0.4434573393749388
GSM102189	GSM102189	LS-24	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	434.0	276.6		21350.9	23791.2	27336.2	-0.30649884531010746	-0.34453820118735856
GSM102190	GSM102190	LS-26	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1042.9	384.4		30409.6	29207.2	30926.3	0.5502999056470467	-0.6410729699062044
GSM102191	GSM102191	LS-28	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	921.1	464.9		26173.1	27560.5	26627.9	0.07518622091065018	0.41550683043098807
GSM102192	GSM102192	LS-30	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	555.6	642.9		19939.6	28817.6	24575.1	-0.2823837025649791	-0.6481878768876516
GSM102193	GSM102193	LS-32	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	514.6	312.4		15596.0	10412.1	12489.9	-1.8172747031785248	0.9216557123097403
GSM102194	GSM102194	LS-34	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1085.4	260.1		17634.2	17663.0	16662.9	-1.220881557530043	0.9256655462681552
GSM102195	GSM102195	LS-36	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	252.8	404.7		19731.2	22332.8	21168.8	-0.7180103217439084	-0.17617381669024543
GSM102196	GSM102196	LS-38	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	395.9	811.4		33308.8	39393.7	39393.5	1.5018550470641605	-0.19930780421797847
GSM102197	GSM102197	LS-40	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1721.8	478.6		32496.5	28780.2	27077.6	0.47497006029986705	-0.16303121627190048
GSM102198	GSM102198	LS-42	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	939.2	581.9		27958.5	25574.8	26606.8	0.08162076777212302	0.07928103042640128
GSM102199	GSM102199	LS-44	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1508.2	872.4		22255.2	29981.0	29928.8	0.11762177640009143	0.34666648641134507
GSM102200	GSM102200	LS-46	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	255.6	596.9		35105.7	37525.5	37387.6	1.4287049257320656	-0.19026081872821712
