field	public	n	note
arrays_in_matrix	yes	130	22283 probes x 130 GSM; 0 missing MAS5 values
unique_GSM	yes	130	all unique
unique_title	yes	130	LS-* titles; all unique
GEO_overall_design_patients	yes (text only)	129	Series says '130 samples from 129 patients'; duplicate pair is not identified in sample metadata; not dropped
histology	series-level only	130	all described as lung squamous carcinoma; no LUAD rows
stage	no	0	not a GEO sample characteristic
OS / DSS time or event	no	0	prognosis paper; labels not deposited on GEO. No suppl folder.
ICI / treatment	no	0	resected LUSC atlas, not an ICI series
tumor_percent / purity	no	0	epithelial RNA score is the only public purity proxy
CLDN4 finite	yes	130	named probe 201428_at
CD274 finite	no	0	U133A / GPL96 official first-symbol + aliases CD274/PDCD1LG1/PD-L1/B7-H1
HLA-A/B/C finite (all three)	yes	130	classical MHC-I; MHC-I mean-z uses these three only (not B2M/TAP)
pairwise CLDN4+CD274	no	0	primary CD274 n; 0 means ABSENT on U133A
pairwise CLDN4+HLA-A/B/C	yes	130	primary MHC-I n
CLDN4 vs CD8A (PR 313, not this claim)	yes	130	already NS (ρ=−0.054, p=0.54); do not headline
