set	n_listed	n_present	resolved_symbol	aliases_tried	missing
gene:CLDN4	1	1	CLDN4	CLDN4	
gene:CD274	1	0		CD274,PDCD1LG1	CD274
gene:HLA-A	1	1	HLA-A	HLA-A	
gene:HLA-B	1	1	HLA-B	HLA-B	
gene:HLA-C	1	1	HLA-C	HLA-C	
gene:CD8A	1	1	CD8A	CD8A	
gene:TACSTD2	1	1	TACSTD2	TACSTD2	
Epithelial	6	6	EPCAM,KRT8,KRT18,KRT19,CDH1,KRT7		
MHC-I_HLAABC	3	3	HLA-A,HLA-B,HLA-C	HLA-A,HLA-B,HLA-C	
