cohort	n_matrix	layer	gene	endpoint	endpoint_column	n_complete	n_q1	n_q4	median_q1	median_q4	delta_median	rank_biserial	rb_lo	rb_hi	p	hr	hr_lo	hr_hi	events_q1	events_q4
GSE218989	355	RNA	CLDN4	CD8A	CD8A_log2tpm1	355	89	89	3.3202	2.46413	-0.856064	-0.306906	-0.467504	-0.14656	0.000408254					
GSE218989	355	RNA	CLDN4	ImmuneScore	ESTIMATE_Immune_ssgsea	355	89	89	0.701728	0.568086	-0.133642	-0.372049	-0.512189	-0.211444	1.82528e-05					
GSE218989	355	RNA	CLDN4	IFN	IFNG_Ayers6_meanz	355	89	89	-0.00995636	0.00282823	0.0127846	0.0185583	-0.157209	0.185229	0.831817					
GSE218989	355	RNA	CLDN4	MHC-I	MHCI_meanz	355	89	89	-0.133169	-0.0983486	0.0348206	0.0917813	-0.080962	0.255422	0.29095					
GSE218989	355	RNA	CLDN4	OS	os_days+death	355	89	89	471	379	-92				0.117431	1.31533	0.933293	1.85374	64	69
GSE218989	355	RNA	TACSTD2	CD8A	CD8A_log2tpm1	355	89	89	3.39439	2.49482	-0.899565	-0.365232	-0.518501	-0.213969	2.59117e-05					
GSE218989	355	RNA	TACSTD2	ImmuneScore	ESTIMATE_Immune_ssgsea	355	89	89	0.705584	0.558574	-0.14701	-0.384169	-0.540216	-0.218779	9.64876e-06					
GSE218989	355	RNA	TACSTD2	IFN	IFNG_Ayers6_meanz	355	89	89	0.0014679	-0.0843776	-0.0858455	-0.0152758	-0.182679	0.149893	0.861432					
GSE218989	355	RNA	TACSTD2	MHC-I	MHCI_meanz	355	89	89	-0.0588869	0.0368257	0.0957126	0.0205782	-0.14911	0.189269	0.813708					
GSE218989	355	RNA	TACSTD2	OS	os_days+death	355	89	89	470	348	-122				0.149147	1.28026	0.915191	1.79094	66	72
GSE285029	234	RNA	CLDN4	CD8A	CD8A	234	59	59	2.18365	2.53754	0.353899	0.175812	-0.0284976	0.380099	0.100013					
GSE285029	234	RNA	CLDN4	ImmuneScore	immune8	234	59	59	-0.217624	0.174409	0.392033	0.197932	-0.00259983	0.405947	0.0640977					
GSE285029	234	RNA	CLDN4	GEP18	GEP18	234	59	59	-0.181898	0.236051	0.417949	0.333525	0.134703	0.525438	0.00179801					
GSE285029	234	RNA	CLDN4	IFN	IFN_compact	234	59	59	-0.53937	0.256236	0.795606	0.355932	0.158862	0.544398	0.000863413					
GSE285029	234	RNA	CLDN4	MHC-I	MHC1	234	59	59	-0.146575	0.425355	0.57193	0.410514	0.2157	0.597285	0.00012157					
GSE285029	234	RNA	TACSTD2	CD8A	CD8A	234	59	59	2.0844	1.81147	-0.272933	-0.116633	-0.318874	0.100007	0.275702					
GSE285029	234	RNA	TACSTD2	ImmuneScore	immune8	234	59	59	-0.217624	-0.352889	-0.135265	-0.0726803	-0.271488	0.133597	0.497667					
GSE285029	234	RNA	TACSTD2	GEP18	GEP18	234	59	59	-0.167269	-0.148755	0.0185146	-0.0066073	-0.213444	0.219764	0.952789					
GSE285029	234	RNA	TACSTD2	IFN	IFN_compact	234	59	59	-0.416032	-0.224197	0.191835	0.136455	-0.0727234	0.333554	0.202098					
GSE285029	234	RNA	TACSTD2	MHC-I	MHC1	234	59	59	-0.0582196	0.00266944	0.060889	0.104855	-0.114637	0.301939	0.327297					
TCGA-LUAD	502	RNA	CLDN4	CD8A	CD8A	502	126	126	3.90172	3.74584	-0.155871	-0.153187	-0.297811	-0.00728143	0.0356458					
TCGA-LUAD	502	RNA	CLDN4	ImmuneScore	ESTIMATE_Immune_score	502	126	126	1144.19	834.46	-309.735	-0.195137	-0.340139	-0.0434461	0.00743904					
TCGA-LUAD	502	RNA	CLDN4	GEP18	GEP18	502	126	126	5.03577	4.97657	-0.0591992	-0.0449735	-0.19024	0.0970207	0.537765					
TCGA-LUAD	502	RNA	CLDN4	IFN	Wolf_IFNgamma	444	111	111	0.1952	0.193	-0.0022	0.003003	-0.148628	0.159729	0.969993					
