ligand	receptor	family	axis	n	n_GSE123902	n_GSE131907	n_GSE205335	n_GSE189357	mean_d_cpdb	mean_d_conn	frac_pos	p_cpdb	frac_low_zero	frac_both	cohort_cpdb	cohorts_pos	q_cpdb
CDH1	KLRG1	CDH1	CDH1-KLRG1	32	2	10	16	4	0.329562199855702	0.14256347351001986	1.0	4.656612873077393e-10	0.46875	0.53125	GSE123902:+;GSE131907:+;GSE205335:+;GSE189357:+	4	7.450580596923829e-10
CDH1	ITGAE_ITGB7	CDH1	CDH1-integrin	42	6	15	17	4	0.31297539157834764	0.12590099620910603	1.0	4.547473508864641e-13	0.5	0.5	GSE123902:+;GSE131907:+;GSE205335:+;GSE189357:+	4	3.637978807091713e-12
LGALS9	PTPRC	LGALS9	LGALS9-CD45	60	12	19	20	9	0.2948813375190889	0.14445848063344552	0.6833333333333333	1.2912932533435346e-06	0.4	0.36666666666666664	GSE123902:+;GSE131907:+;GSE205335:+;GSE189357:+	4	1.4886705609603303e-06
F11R	ITGAL_ITGB2	F11R	F11R-LFA1	41	5	12	15	9	0.27765708390007887	0.16322570205410697	1.0	9.094947017729282e-13	0.3902439024390244	0.6097560975609756	GSE123902:+;GSE131907:+;GSE205335:+;GSE189357:+	4	3.637978807091713e-12
NECTIN2	TIGIT	NECTIN2	NECTIN2-TIGIT	52	9	17	18	8	0.24872719160093498	0.1540706759627556	1.0	3.503864964208263e-10	0.40384615384615385	0.5961538461538461	GSE123902:+;GSE131907:+;GSE205335:+;GSE189357:+	4	7.007729928416526e-10
NECTIN2	CD96	NECTIN2	NECTIN2-CD96	58	11	18	20	9	0.24613759263260515	0.15328113905623483	0.9655172413793104	6.034571117940267e-11	0.41379310344827586	0.5689655172413793	GSE123902:+;GSE131907:+;GSE205335:+;GSE189357:+	4	1.6092189647840713e-10
LGALS9	CD44	LGALS9	LGALS9-CD44	61	12	19	21	9	0.22400538614315588	0.0989976620004799	0.6885245901639344	1.302586740840289e-06	0.39344262295081966	0.3770491803278688	GSE123902:+;GSE131907:+;GSE205335:+;GSE189357:+	4	1.4886705609603303e-06
F11R	F11R	F11R	F11R-F11R	7	1	0	6	0	0.16978737875294497	0.04955488882223063	1.0		0.0	1.0	GSE123902:+;GSE131907:NA;GSE205335:+;GSE189357:NA	2	
LGALS9	HAVCR2	LGALS9	LGALS9-TIM3	29	7	9	9	4	0.11478718196134276	0.034496253910347274	0.7931034482758621	0.00021953596001063257	0.3793103448275862	0.4827586206896552	GSE123902:+;GSE131907:+;GSE205335:+;GSE189357:+	4	0.00021953596001063257
CDH1	CDH1	CDH1	CDH1-CDH1	4	1	1	2	0	0.1059906312396867	0.041590641110002456	1.0		0.0	1.0	GSE123902:+;GSE131907:+;GSE205335:+;GSE189357:NA	3	
