cohort	patient	receiver	gate	frac	expr_prop	family	ligand	receptor	axis	n_mal	n_high	n_low	n_recv	cldn_high	cldn_low	receptor_detected	cpdb_high	cpdb_low	d_cpdb	conn_high	conn_low	d_conn	both_pos	low_zero_high_pos
GSE123902	LX255B	TNK	median	0.5	0.05	F11R	F11R	F11R	F11R-F11R	228	114	114	1583	1.2592417162239178	0.0	False	0.0	0.0	0.0	0.0	0.0	0.0	False	False
GSE123902	LX255B	TNK	median	0.5	0.05	F11R	F11R	ITGAL_ITGB2	F11R-LFA1	228	114	114	1583	1.2592417162239178	0.0	False	0.0	0.0	0.0	0.0	0.0	0.0	False	False
GSE123902	LX255B	TNK	median	0.5	0.05	NECTIN2	NECTIN2	TIGIT	NECTIN2-TIGIT	228	114	114	1583	1.2592417162239178	0.0	True	0.17679818180540274	0.12053447097508742	0.056263710830315325	0.0311726337561425	0.012315217983103198	0.0188574157730393	True	False
GSE123902	LX255B	TNK	median	0.5	0.05	NECTIN2	NECTIN2	CD96	NECTIN2-CD96	228	114	114	1583	1.2592417162239178	0.0	True	0.1992208236478898	0.14295711281757445	0.05626371083031534	0.03951456227558806	0.015610822355839079	0.023903739919748986	True	False
GSE123902	LX255B	TNK	median	0.5	0.05	CDH1	CDH1	CDH1	CDH1-CDH1	228	114	114	1583	1.2592417162239178	0.0	False	0.0	0.0	0.0	0.0	0.0	0.0	False	False
GSE123902	LX255B	TNK	median	0.5	0.05	CDH1	CDH1	ITGAE_ITGB7	CDH1-integrin	228	114	114	1583	1.2592417162239178	0.0	False	0.0	0.0	0.0	0.0	0.0	0.0	False	False
GSE123902	LX255B	TNK	median	0.5	0.05	CDH1	CDH1	KLRG1	CDH1-KLRG1	228	114	114	1583	1.2592417162239178	0.0	False	0.0	0.0	0.0	0.0	0.0	0.0	False	False
GSE123902	LX255B	TNK	median	0.5	0.05	LGALS9	LGALS9	HAVCR2	LGALS9-TIM3	228	114	114	1583	1.2592417162239178	0.0	False	0.0	0.0	0.0	0.0	0.0	0.0	False	False
GSE123902	LX255B	TNK	median	0.5	0.05	LGALS9	LGALS9	CD44	LGALS9-CD44	228	114	114	1583	1.2592417162239178	0.0	True	0.21787344947384246	0.2586114513357216	-0.04073800186187915	0.02105902834914169	0.05205122979065586	-0.030992201441514166	True	False
GSE123902	LX255B	TNK	median	0.5	0.05	LGALS9	LGALS9	PTPRC	LGALS9-CD45	228	114	114	1583	1.2592417162239178	0.0	True	0.34639091220758794	0.38712891406946703	-0.04073800186187909	0.035289122087213264	0.08722350207325265	-0.051934379986039385	True	False
GSE123902	LX255B	MYE	median	0.5	0.05	F11R	F11R	F11R	F11R-F11R	228	114	114	702	1.2592417162239178	0.0	False	0.0	0.0	0.0	0.0	0.0	0.0	False	False
