accession	bioproject	title	organization	is_controlled	access	openaccess_data_type	release_time_string	url
HRA020275	PRJCA071401	Pharmacogenomic Analysis of Genetic Variants Associated with Lipid Response to Rosuvastatin Therapy	Beijing E-Seq Medical Technology Co.  Ltd.,	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020275
HRA008365	PRJCA029170	Dynamic Changes in Tumor Microenvironment and TP53 Mutation in EGFR-Mutated Lung Cancer Post-TKI Treatment: Implications for Immunotherapy Prediction	Nanfang Hospital, Southern Medical University	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008365
HRA008307	PRJCA028784	Single-cell RNA/TCR/BCR sequencing reveals immune cell phenotypes in anti-NMDAR encephalitis	West China Hospital of Sichuan University	1	Controlled	0	2024-08-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008307
HRA008310	PRJCA029198	Vitamin D enhances anti-tumor activity of CD8 T cells	Jinan University	1	Controlled	0	2026-07-18	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008310
HRA020277	PRJCA071454	Ribosome profiling and RNA-seq analysis of RPL4-knockdown human LX-2 hepatic stellate cells	Southwest Hospital of AMU	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020277
HRA018200	PRJCA063017	Transcriptome of human umbilical cord mesenchymal stem cells	Guangxi University	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018200
HRA013884	PRJCA048108	Cranial bone marrow-derived monocytes fuel neuroinflammation in chronic traumatic brain injury_homo sapiens	Affiliated Hospital of Nantong University	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013884
HRA007746	PRJCA017273	scRNAseq data for HCC patients	The First Affiliated Hospital, Zhejiang University School of Medicine	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007746
HRA008292	PRJCA029153	Ancient genomes and proteomes reveal continuous connection throughout the Yellow River during the Middle Neolithic to Tang Dynasty	Institute of Anthropology	0	Open	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008292
HRA008294	PRJCA029145	Bioarchaeological Perspectives on the Ancient Han-Xiongnu War: Insights from the 2,000-Year-Old Bayanbulag Site	Jilin University	1	Controlled	0	2026-07-27	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008294
HRA019133	PRJCA066778	HEK 293T single cell atac sequence.	China Agricultural University	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019133
HRA020344	PRJCA017273	Raw Visium spatial transcriptomics data from eight HCC samples after combined TACE and ICB treatment	The First Affiliated Hospital, Zhejiang University School of Medicine	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020344
HRA005724	PRJCA020343	Pan-cancer long-reads transcriptome	The First People' s Hospital of Foshann Yat-sen University	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005724
HRA005890	PRJCA020826	Transcriptome of Tumor neoadjuvant chemotherapy	The First People' s Hospital of Foshann Yat-sen University	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005890
HRA011552	PRJCA028615	Homo sapiens metagenome of Tumor neoadjuvant chemotherapy	The First People' s Hospital of Foshann Yat-sen University	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011552
HRA006998	PRJCA024463	APA regulation	Tongji University	0	Open	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006998
HRA020329	PRJCA071767	CDKN2A-ISG15 Axis Mediates Immune Escape in Lung Adenocarcinoma Brain Metastasis	Hunan Normal University	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020329
HRA002863	PRJCA011206	Single-cell analysis of human colorectal cancer and distant metastasis reveals the heterogeneity of metastasis associated epithelial cell states	Sun Yat-sen University Cancer Center	1	Controlled	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002863
HRA008335	PRJCA029098	Sequencing analysis of CD4 positive CAR T cells pre treated with dexamethasone	the First Medical Center, Chinese PLA General Hospital	1	Controlled	0	2026-05-23	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008335
HRA008278	PRJCA029106	DSG2 homozygous variants induced cardiomyopathy	West China Second University Hospital, Sichuan University	1	Controlled	0	2026-04-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008278
HRA008280	PRJCA029109	CHKB and cardiomyopathy	West China Second University Hospital, Sichuan University	1	Controlled	0	2026-04-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008280
HRA008281	PRJCA028742	RNAseq for tendinopathy cell model	Zhejiang University	1	Controlled	0	2026-08-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008281
HRA019922	PRJCA069807	Targeted NGS dataset of 40 angioimmunoblastic T-cell lymphoma Homo sapiens patients	Xinjiang Medical University Affiliated Tumor Hospital	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019922
HRA015604	PRJCA053983	METTL3 Suppresses Cardiac Differentiation via the PRC2/SMARCA2 Axis	Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015604
HRA018399	PRJCA063964	The RNA-sequencing data of SNHG26-knockdown fibroblasts	Peking Union Medical College	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018399
HRA018418	PRJCA064010	Full-Length Transcriptome Analysis of Keloid Fibroblasts with SNHG26 or PTBP1 Knockdow	Peking Union Medical College	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018418
HRA018419	PRJCA064061	CUTTag-based profiling of STAT3-DNA interactions in keloid fibroblasts	Peking Union Medical College	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018419
HRA020225	PRJCA071111	Bulk BCR repertoire sequencing of Omicron BF.7 and JN.1 breakthrough infections	Mengchao Hepatobiliary Hospital of Fujian Medical University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020225
HRA004852	PRJCA017629	Proteogenomic Characterization of Large Cell Neuroendocrine Carcinoma	Shanghai Pulmonary Hospital Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004852
HRA015134	PRJCA052201	Single-cell analysis of gastric premalignant lesions and gastric cancer reveals cell lineage diversity and microenvironment heterogeneity	Nanjing Medical University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015134
