query	sig_class	gene	n_sig	n_cell	median_spearman	median_cosine	median_wtcs
GSE207704_MCF7	IFN_ligand	IFNA	66	6	-0.0031058147909829997	0.00018710636730140005	0.0
GSE207704_MCF7	IFN_ligand	IFNA1	18	9	-0.00053395799886925	-0.0017804648578078	0.0
GSE207704_MCF7	IFN_ligand	IFNA2	15	9	0.0119052954432259	0.0121677691716275	0.0
GSE207704_MCF7	IFN_ligand	IFNB1	18	9	0.0035723255474801	0.00191865060291165	0.0
GSE207704_MCF7	IFN_ligand	IFNG	84	14	0.00314134694886935	0.00306938745814405	0.0
GSE207704_MCF7	NHEJ_CRISPR	DCLRE1C	20	10	-0.00587236791121625	-0.011647440665046499	0.0
GSE207704_MCF7	NHEJ_CRISPR	LIG4	20	10	0.017115085135429198	0.01708526211407965	0.0
GSE207704_MCF7	NHEJ_CRISPR	NHEJ1	20	10	-0.0158846082276371	-0.00496027229571225	0.0
GSE207704_MCF7	NHEJ_CRISPR	PRKDC	20	10	-0.012765195095691951	-0.00759080086580555	0.0
GSE207704_MCF7	NHEJ_CRISPR	XRCC6	32	19	0.0035779504743831	0.0045496656909053	0.0
GSE207704_MCF7	NHEJ_shRNA	PRKDC	45	10	-0.0003895050846511	-0.0009758036946937	0.0
GSE207704_MCF7	NHEJ_shRNA	XRCC4	56	8	0.0012711647251994	-0.0023015407682090002	0.0
GSE207704_MCF7	NHEJ_shRNA	XRCC5	88	9	-0.0021104375509978	0.0019118450305861002	0.0
GSE207704_MCF7	NHEJ_shRNA	XRCC6	56	8	0.00219081658884265	0.00248298416416915	0.0
GSE207704_MCF7	STING_cGAS_KO	MB21D1	20	10	-0.0023940656596789997	0.00863553007011655	0.0
GSE207704_MCF7	STING_cGAS_KO	TMEM173	20	10	-0.01046172125947915	0.00715114060861915	0.0
GSE207704_T47D	IFN_ligand	IFNA	66	6	-0.01683823476610435	-0.02315449701594745	0.0
GSE207704_T47D	IFN_ligand	IFNA1	18	9	0.0028580188578532003	0.00173523190524825	0.0
GSE207704_T47D	IFN_ligand	IFNA2	15	9	0.0060548906549668	0.0024507718437289	-0.0886708865465351
GSE207704_T47D	IFN_ligand	IFNB1	18	9	-0.0072922740997357505	-0.0023971764565703	0.0
GSE207704_T47D	IFN_ligand	IFNG	84	14	-0.0028487303273313502	-0.0017937209211775001	0.0
GSE207704_T47D	NHEJ_CRISPR	DCLRE1C	20	10	0.0033613512304374	0.010095350250220299	0.0
GSE207704_T47D	NHEJ_CRISPR	LIG4	20	10	0.017249541430030102	0.022145008287243903	0.0
GSE207704_T47D	NHEJ_CRISPR	NHEJ1	20	10	-0.00144664681300105	9.756708922260002e-05	0.0
GSE207704_T47D	NHEJ_CRISPR	PRKDC	20	10	-0.011779694928231901	-0.010167858663310051	0.0
GSE207704_T47D	NHEJ_CRISPR	XRCC6	32	19	0.0017856835654421	0.0018847694550484999	0.0
GSE207704_T47D	NHEJ_shRNA	PRKDC	45	10	-0.0043156305831889	0.0030256630439587	0.0
GSE207704_T47D	NHEJ_shRNA	XRCC4	56	8	-0.0028032059484796	-0.0033729866919745	0.0
GSE207704_T47D	NHEJ_shRNA	XRCC5	88	9	0.0017143110110579	0.0009470468527944501	0.0
GSE207704_T47D	NHEJ_shRNA	XRCC6	56	8	-0.0009451901745706	0.00212949741844735	0.0
GSE207704_T47D	STING_cGAS_KO	MB21D1	20	10	0.012674437544028149	-0.00183239534217785	0.0
GSE207704_T47D	STING_cGAS_KO	TMEM173	20	10	-0.0097809742941441	0.00195235375181185	0.0
GSE22493_SKOV3	IFN_ligand	IFNA	66	6	-0.00447935946965285	-0.00250762085948515	0.0
GSE22493_SKOV3	IFN_ligand	IFNA1	18	9	0.00975914243835215	0.0085924480988084	0.0
GSE22493_SKOV3	IFN_ligand	IFNA2	15	9	0.0028142141025377	0.0018706074066173	0.0
GSE22493_SKOV3	IFN_ligand	IFNB1	18	9	0.00245040561591265	0.0014136643934064001	0.0
GSE22493_SKOV3	IFN_ligand	IFNG	84	14	0.00114678881538095	0.0016369083885204	0.0
GSE22493_SKOV3	NHEJ_CRISPR	DCLRE1C	20	10	-0.00127192996413385	-0.00373019197156635	0.0
GSE22493_SKOV3	NHEJ_CRISPR	LIG4	20	10	0.02011016693280985	0.0146864589689157	0.0
GSE22493_SKOV3	NHEJ_CRISPR	NHEJ1	20	10	0.0033017222834786503	0.0030918029524498	0.0
GSE22493_SKOV3	NHEJ_CRISPR	PRKDC	20	10	0.0006473277581652999	0.0030438043533465003	0.0
GSE22493_SKOV3	NHEJ_CRISPR	XRCC6	32	19	-0.0029092111615361	-0.00189963415091655	0.0
GSE22493_SKOV3	NHEJ_shRNA	PRKDC	45	10	-0.0013318067412409	0.0018008842190017	0.0
GSE22493_SKOV3	NHEJ_shRNA	XRCC4	56	8	0.0020220077905444504	0.00365304997579095	0.0
GSE22493_SKOV3	NHEJ_shRNA	XRCC5	88	9	-0.00128765076111395	-0.00268337144045865	0.0
GSE22493_SKOV3	NHEJ_shRNA	XRCC6	56	8	-0.0010777607402025998	-0.0014476621517068	0.0
GSE22493_SKOV3	STING_cGAS_KO	MB21D1	20	10	-0.00329162650109465	-0.0028105681664218002	0.0
GSE22493_SKOV3	STING_cGAS_KO	TMEM173	20	10	0.0010939334842452997	0.00253155028904935	0.0
GSE50927_naive_lung	IFN_ligand	IFNA	66	6	-0.003229276758172	0.001330390590683	0.0
GSE50927_naive_lung	IFN_ligand	IFNA1	18	9	0.0031911920069936	-0.00105417278879785	0.0
GSE50927_naive_lung	IFN_ligand	IFNA2	15	9	0.0013114503663506	0.0038599629328847	0.0
GSE50927_naive_lung	IFN_ligand	IFNB1	18	9	0.0028204970080111	0.00044942927773859996	0.0
GSE50927_naive_lung	IFN_ligand	IFNG	84	14	0.016027326988690298	0.01646036578695945	0.0
GSE50927_naive_lung	NHEJ_CRISPR	DCLRE1C	20	10	-0.00797968303458165	0.00076792397722665	0.0
GSE50927_naive_lung	NHEJ_CRISPR	LIG4	20	10	0.0024329737468988	0.00288743440365705	0.0
GSE50927_naive_lung	NHEJ_CRISPR	NHEJ1	20	10	0.0016843745499503001	0.004339640442997	0.0
GSE50927_naive_lung	NHEJ_CRISPR	PRKDC	20	10	0.005863251465514601	0.00505250165194375	0.0
GSE50927_naive_lung	NHEJ_CRISPR	XRCC6	32	19	-0.009850591012724251	-0.0054072515193313	0.0
GSE50927_naive_lung	NHEJ_shRNA	PRKDC	45	10	-0.0007254616045657	-0.0021153857557116	0.0
