gse	gene	n	mean	median	p10	p90	n_probes	note
GSE248249	TACSTD2	42	5.536669047619047	5.023540000000001	3.568661	8.416151	1	NSCLC FFPE tumor, no RECIST in GEO
GSE248249	CLDN4	42	5.275060952380953	5.13613	3.913311	6.807729	1	NSCLC FFPE tumor, no RECIST in GEO
GSE141479	TACSTD2	74	17.74299466137838	16.358221225	11.841227362000001	24.880730221	1	NSCLC blood CD8, no RECIST in GEO
GSE141479	CLDN4	74	10.534673726540541	10.087623505	8.7084166733	12.822408932	1	NSCLC blood CD8, no RECIST in GEO
GSE305086	TACSTD2	173	3.613458943289017	3.630352702	3.1770119784	4.034173716	3	whole blood under ICI, no RECIST in GEO
GSE305086	CLDN4	173	4.788088431268786	4.772991212	4.5559421125	5.049868522700001	2	whole blood under ICI, no RECIST in GEO
GSE99070	TACSTD2	22	8.193318181818183	7.7315000000000005	6.6547	10.0016	1	mesothelioma, nivo/pembro vs naive, no RECIST
GSE99070	CLDN4	22	6.569545454545454	6.558999999999999	6.4171	6.6846	1	mesothelioma, nivo/pembro vs naive, no RECIST
GSE202417	TACSTD2	28	10.062972565571428	9.9882772025	7.5303527152	12.069202231	1	NSCLC blood CD8, R/NR (pre-tx used in analysis)
GSE202417	CLDN4	28	8.811155513107142	8.7455151405	7.4575844361	9.8597863011	1	NSCLC blood CD8, R/NR (pre-tx used in analysis)
GSE67501	TACSTD2	11	9.887609090909091	9.587	7.5643	11.6109	1	RCC tumor, anti-PD-1 response
GSE67501	CLDN4	11	6.602609090909092	6.4945	6.3692	7.032	1	RCC tumor, anti-PD-1 response
