platform	used_by	platform_title	technology	organism	table_rows	table_columns	source_file	n_probes_TACSTD2	n_probes_CLDN4	n_probes_CD274	n_probes_PDCD1	n_probes_CD8A	n_probes_GZMB	n_probes_IFNG	n_probes_CXCL9	n_probes_STAT1	n_probes_HLA-DRA	targets_measurable
GPL19965	GSE93157, GSE140901 (NanoString nCounter PanCancer Immune 730-gene panel)	nCounter PanCancer Immune Profiling Panel	other	Homo sapiens	784	ID;GB_ACC;Alias;Code_Class;SEQUENCE;Official Full Name;SPOT_ID	GPL19965_soft.gz	0	0	1	1	3	2	0	1	1	1	0
GPL30173	GSE261345, GSE261348 (ES-SCLC chemo-immunotherapy multi-region transcriptomics)	NextSeq 2000 (Homo sapiens)	high-throughput sequencing	Homo sapiens	4321	GEO Series;GEO Sample;SRA Experiment;BioSample;BioProject;Sample title	GPL30173_soft.gz	0	0	0	0	0	0	0	0	0	0	0
GPL23126	GSE202417, GSE248249, GSE141479 (Affymetrix Clariom D Human)	[Clariom_D_Human] Affymetrix Human Clariom D Assay [transcript (gene) version]	in situ oligonucleotide	Homo sapiens	138745	ID;probeset_id;seqname;strand;start;stop;total_probes;gene_assignment;mrna_assignment;swissprot;unigene;GO_biological_process;GO_cellular_component;GO_molecular_function;pathway;protein_domains;category;locus type;SPOT_ID	GPL23126_soft.gz	1	1	1	1	4	1	1	1	1	1	1
GPL570	GSE305086 (Affymetrix HG-U133 Plus 2.0, whole blood under ICI)	[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array	in situ oligonucleotide	Homo sapiens	54675	ID;Gene title;Gene symbol;Gene ID;UniGene title;UniGene symbol;UniGene ID;Nucleotide Title;GI;GenBank Accession;Platform_CLONEID;Platform_ORF;Platform_SPOTID;Chromosome location;Chromosome annotation;GO:Function;GO:Process;GO:Component;GO:Function ID;GO:Process ID;GO:Component ID	GPL570_annot.gz	4	2	2	1	4	1	1	1	6	2	1
GPL29738	GSE180347 (PD-L1 +/- 'hot' lung adenocarcinoma, no ICI treatment)	Nanostring Cancer Immune Panel [NS_CancerImmune_V1.1]	other	Homo sapiens	784	ID;GB_ACC;Analyte Type;CodeClass;SPOT_ID	GPL29738_soft.gz	0	0	0	0	0	0	0	0	0	0	0
GPL14951	GSE67501 (Illumina HumanHT-12 WG-DASL, renal cell carcinoma anti-PD-1)	Illumina HumanHT-12 WG-DASL V4.0 R2 expression beadchip	oligonucleotide beads	Homo sapiens	29377	ID;Transcript;Species;Source;Search_Key;ILMN_Gene;Source_Reference_ID;RefSeq_ID;Entrez_Gene_ID;GI;Accession;Symbol;Protein_Product;Array_Address_Id;Probe_Type;Probe_Start;SEQUENCE;Chromosome;Probe_Chr_Orientation;Probe_Coordinates;Cytoband;Definition;Ontology_Component;Ontology_Process;Ontology_Function;Synonyms;Obsolete_Probe_Id;GB_ACC	GPL14951_soft.gz	1	1	1	4	14	7	1	3	4	2	1
GPL10558	GSE99070 (Illumina HumanHT-12 v4, malignant pleural mesothelioma)	Illumina HumanHT-12 V4.0 expression beadchip	oligonucleotide beads	Homo sapiens	48107	ID;Gene title;Gene symbol;Gene ID;UniGene title;UniGene symbol;UniGene ID;Nucleotide Title;GI;GenBank Accession;Platform_CLONEID;Platform_ORF;Platform_SPOTID;Chromosome location;Chromosome annotation;GO:Function;GO:Process;GO:Component;GO:Function ID;GO:Process ID;GO:Component ID;Platform_SEQUENCE	GPL10558_annot.gz	1	1	1	1	7	1	1	1	3	2	1
