gse	n_samples	pdat	gds_type	is_array_type	lung_mention	ici_mention	response_mention	platforms	platform_titles	pubmed	found_by	title	summary
GSE84797	29	2016/10/11	Expression profiling by array	1	1	1	1	GPL19965			array_ici_lung,panel_ici_lung	Multi-parametric profiling of non-small cell lung cancers reveals distinct immunophenotypes [Nanostring]	Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking. Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited. Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC). Results: Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers. The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC. There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster. Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10. Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer. Background: Immune checkpoint blockade improves s
GSE101929	66	2017/07/28	Expression profiling by array	1	1	1	1	GPL570			array_ici_lung	Gene expression data from African Americans and European Americans with non-small cell lung cancer	Translational Relevance Historically, African Americans have been underrepresented in clinical cancer research. Diversity helps to ensure equal access to new cancer therapies and better treatment for everyone. Cancer research is increasingly focused on classifying patients according to molecular profiles for particular groups. We provide a detailed molecular analysis from paired NSCLC tissues that identified differential coding and noncoding RNA expression in NSCLC from African Americans (AA) and European Americans (EA). Similar to other tumor types, we determined that race-enriched gene and microRNA expression signatures suggest a more aggressive disease in African Americans. Based on predicted drug resistance to adjuvant chemotherapies, AA may not equally benefit from the same range of clinical drugs as EA. Our findings provide a rationale for integrating coding and noncoding transcriptome profiles, along with clinical, demographic, and genomic data, when determining treatment options. Abstract Purpose: To determine if racial differences in gene and microRNA expression translates to differences in lung tumor biology with clinical relevance in African Americans (AA) and European Americans (EA). Experimental Design: The NCI-Maryland Case Control Study includes seven Baltimore City hospitals and is overrepresented with AA patients (~40%). Patients that underwent curative NSCLC surgery between 1998 and 2014 were enrolled. Comparative molecular profiling used mRNA (n = 22 AAs an
GSE121682	12	2018/12/11	Expression profiling by array	1	1	1	1	GPL25714			array_ici_lung,panel_ici_lung	Immunotherapy Utilizing NK cells and ADCC Mediating Agents with Poly (ADP-ribose) polymerase (PARP) Inhibition	Background: Poly (ADP-ribose) polymerase inhibitors (PARPi) prevent single-stranded DNA repair. Olaparib is a PARPi approved for the treatment of BRCA mutant ovarian and breast carcinoma. Emerging clinical data suggest a benefit of combining olaparib with immunotherapy in prostate cancer patients both with and without somatic BRCA mutations. Methods: We examined if olaparib, when combined with IgG1 antibody-dependent cellular cytotoxicity (ADCC)-mediating monoclonal antibodies (mAbs) cetuximab (anti-EGFR), or avelumab (anti-PD-L1), would increase tumor cell sensitivity to killing by natural killer (NK) cells independently of BRCA status or mAb target upregulation. BRCA mutant and BRCA wildtype (WT) prostate carcinoma cell lines were pretreated with olaparib and then exposed to NK cells in the presence or absence of cetuximab or avelumab. Results: NK-mediated killing was significantly increased in both cell lines and was further increased using the ADCC-mediating mAbs. Pre-exposure of NK cells to recombinant IL-15/IL-15RA further increased the lysis of olaparib treated tumor cells. In addition, olaparib treated tumor cells were killed to a significantly greater degree by engineered high-affinity NK cells (haNK). We show here for the first time that (a) olaparib significantly increased tumor cell sensitivity to NK killing and ADCC in both BRCA WT and BRCA mutant prostate carcinoma cells, independent of PD-L1 or EGFR modulation; (b) mechanistically, treatment with olaparib upreg
GSE136932	24	2019/12/17	Expression profiling by array	1	1	1	1	GPL13497			array_ici_lung,broad_ici_lung	Effect of Pirfenidone on NSCLC [A549/H1975 0.75 mg/ml Pirf]	Investigating the effect of Pirfenidone on NSCLC cells Although immune checkpoint and targeted therapies offer remarkable benefits for lung cancer treatment, some patients do not qualify for these regimens or do not exhibit consistent benefit. Provided that lung cancer appears to be driven by transforming growth factor beta signaling, we investigated the single drug potency of Pirfenidone, an approved drug for the treatment of lung fibrosis which is known to inhibit TGFB1 mRNA. Human A549 and H1975 lung adenocarcinoma cell lines were stimulated for 6h and 25h with 0.75 mg/ml or 1.5 mg/ml Pirfenidone or the respective volume of PBS as vehicle control. Total RNA was extracted and subjected to transcriptome analysis by microarrays.
GSE136933	6	2019/12/17	Expression profiling by array	1	1	1	1	GPL13497			array_ici_lung,broad_ici_lung	Effect of Pirfenidone on NSCLC [A549 1.5 mg/ml Pirf 6hrs]	Investigating the effect of Pirfenidone on NSCLC cells Although immune checkpoint and targeted therapies offer remarkable benefits for lung cancer treatment, some patients do not qualify for these regimens or do not exhibit consistent benefit. Provided that lung cancer appears to be driven by transforming growth factor beta signaling, we investigated the single drug potency of Pirfenidone, an approved drug for the treatment of lung fibrosis which is known to inhibit TGFB1 mRNA. Human A549 and H1975 lung adenocarcinoma cell lines were stimulated for 6h and 25h with 0.75 mg/ml or 1.5 mg/ml Pirfenidone or the respective volume of PBS as vehicle control. Total RNA was extracted and subjected to transcriptome analysis by microarrays.
GSE136934	8	2019/12/17	Expression profiling by array	1	1	1	1	GPL13497			array_ici_lung,broad_ici_lung	Effect of Pirfenidone on NSCLC [A549 1.5 mg/ml Pirf 24hrs]	Investigating the effect of Pirfenidone on NSCLC cells Although immune checkpoint and targeted therapies offer remarkable benefits for lung cancer treatment, some patients do not qualify for these regimens or do not exhibit consistent benefit. Provided that lung cancer appears to be driven by transforming growth factor beta signaling, we investigated the single drug potency of Pirfenidone, an approved drug for the treatment of lung fibrosis which is known to inhibit TGFB1 mRNA. Human A549 and H1975 lung adenocarcinoma cell lines were stimulated for 6h and 25h with 0.75 mg/ml or 1.5 mg/ml Pirfenidone or the respective volume of PBS as vehicle control. Total RNA was extracted and subjected to transcriptome analysis by microarrays.
GSE141479	74	2020/04/07	Expression profiling by array	1	1	1	1	GPL23126			array_ici_lung,array_response,broad_ici_lung	Combination of host immune metabolic biomarkers for the PD-1 blockade cancer immunotherapy	Background. Current clinical biomarkers for the PD-1 blockade therapy are insufficient because they rely only on the tumor properties such as PD-L1 expression frequency and the amount of tumor mutation burden. Identifying reliable responsive biomarkers based on the host immunity is necessary to improve the predictive values. Methods. We investigated the levels of plasma metabolites and T cell properties including energy metabolism markers in the blood of patients with non-small cell lung cancer before and after treatment with nivolumab (N=53). Predictive value of combination markers statistically selected were evaluated by cross validation and linear discriminant analysis on discovery and validation cohorts, respectively. Correlation between plasma metabolites and T cell markers were investigated. Results. The four metabolites derived from microbiome (hippuric acid), fatty acid oxidation (butyrylcarnitine) and redox (cystine and glutathione disulfide) provided high response probability (AUC=0.91). Similarly, a combination of four T cell markers, those related to mitochondrial activation (PGC-1 expression and reactive oxygen species), and the frequencies of CD8+ PD-1high and CD4+ T cells demonstrated even higher prediction value (AUC=0.96). Among the pool of all selected markers, the four T cell markers were exclusively selected as the highest predictive combination probably due to their linkage to the above mentioned metabolite markers. In a prospective validation set (N=24) 
GSE148944	67	2020/05/01	Expression profiling by array	1	1	1	1	GPL28285			array_ici_lung,broad_ici_lung,panel_ici_lung	Characterization of the immune profile of oral tongue squamous cell carcinomas with advancing disease	We investigated whether a unique immune response was instigated with the development of oral tongue squamous cell carcinomas (OTSCC), with/without nodal involvement, with/without recurrent metastatic disease, or within tumor involved nodes. 110 FFPE samples were collected from a retrospective cohort of 67 OTSCC patients and 10 non-cancerous tongue samples. Targets including CD4, CD8, FOXP3, PD-L1 and PD-1 were analyzed by immunohistochemistry. The Nanostring PanCancer Immune Profiling Panel was used for gene expression profiling. Data were externally validated in the TCGA head and neck (HNSCC), melanoma and lung squamous cell carcinoma (LSCC) cohorts. A 24-immune gene signature was identified that discriminated more aggressive OTSCC cases, and although not prognostic in HNSCC was associated with survival in other TCGA cohorts (improved survival for melanoma, p<0.001 and worse survival for LSCC, p=0.038). OTSCC exhibited concordant gene and IHC features characterized by a TH-2 biased, pro-inflammatory profile with upregulated B cell and neutrophil gene activity and increased CD4, FOXP3 and PD-L1 expression (p<0.001 for all by IHC). Compared to less advanced disease, nodal involvement and recurrent OTSCC did not induce a different immune response although recurrent disease was characterized by significantly higher PD-L1 expression (p=0.004 by SP263, p=0.013 by 22C3, p=0.004 for gene expression). Identification of a gene signature associated with different prognostic effects in 
GSE154286	133	2020/07/14	Expression profiling by array	1	1	1	1	GPL28856			array_ici_lung,broad_ici_lung,panel_ici_lung	Chemotherapy negatively impacts the tumor immune microenvironment in NSCLC: An analysis of pre- and post-treatment biopsies in the multi-center SAKK19/09 study	Background: Over the past few years, immune checkpoint inhibitors have changed the therapeutic landscape of non-small-cell lung cancer (NSCLC). Response to immune checkpoint inhibitors correlates with a pre-existing anti-tumoral immune response. Checkpoint inhibitors have been introduced as second line therapy and are only very recently used as monotherapy or in combination with chemotherapy as first line treatment of NSCLC. However, the effect of conventional first line platinum-based chemotherapy on the immune infiltrate in the tumor is largely unknown. Methods: We measured the gene expression of a custom set of 201 cancer- and immune-related genes in 100 NSCLC tumor biopsies collected before chemotherapy and 33 re-biopsies after platinum-based chemotherapy at the time point of progression. For 29 patients matched pre- and post-chemotherapy samples could be evaluated. Results: We identified a cluster of 47 co-expressed immune genes, including PDCD1 (PD1) and CD274 (PD-L1), along with three other co-expression clusters. Chemotherapy decreased the average gene expression of the immune cluster while no effect was observed on the other three cluster. Within this immune cluster, CTLA4, LAG3, TNFRSF18, CD80 and FOXP3 were found to be significantly decreased in patient-matched samples after chemotherapy. Conclusion: Our results suggest that conventional platinum-based chemotherapy negatively impacts the immune microenvironment at the time point of secondary progression.
GSE180347	144	2021/09/27	Expression profiling by array	1	1	1	1	GPL29738			array_ici_lung,broad_ici_lung,panel_ici_lung	Transcriptomic analysis of PD-L1 positive and negative hot lung adenocarcinomas identifies a different molecular immunogenic landscape	Lung cancer is a major global health problem, as it is the leading cause of cancer- related deaths worldwide. Non-small-cell lung cancer (NSCLC), the most common form, is a heterogeneous disease with adenocarcinoma and squamous cell carcinoma being the predominant subtypes. Immune-inhibiting interaction of Programmed cell death-ligand 1 (PD-L1) with programmed cell death-protein 1 (PD-1) causes checkpoint mediated immune evasion and is, accordingly, an important therapeutic target in cancer. In NSCLC, improved understanding of PD-1/PD-L1 checkpoint blockade-responsive biology is warranted. We aimed to identify the landscape of immune cell infiltration in primary lung adeno- carcinoma (LUAD) in the context of tumor PD-L1 expression and the extent of immune infiltration (“hot” vs. “cold” phenotype). Therefore, the study comprises LUAD cases (n=138) with “hot” and “cold” tumor immune phenotype and positive and negative tumor PD-L1 expression, respectively. Tumor samples were immunohistochemically analyzed for expression of PD-L1, CD4 and CD8 and further analyzed on transcriptomic level by Nanostring nCouter Pan Cancer Immune Profiling Panel. We detected significantly differentially expressed genes associated with PD-L1 positive and “hot” versus PD-L1 negative and “cold” phenotype. The presented study illustrates novel aspects of PD-L1 regulation, with potential biological relevance, as well as relevance for immunotherapy response stratification.
