gse	n_gsm_meta	platforms_meta	organisms	n_char_fields	response_keys	response_value_tokens	ici_tokens	has_response_annot	has_ici_annot	lung_sample_mention	cellline_mention	fetch_error	n_samples	pdat	gds_type	is_array_type	platforms	platform_titles	pubmed	title	priority
GSE198190	27	GPL32041	Homo sapiens	5				0	0	0	0	0	27	2022/06/20	Other	0	GPL32041			Over-expression of GUSB leads to primary resistance of anti-PD1 therapy in hepatocellular carcinoma	0
GSE206127	213	GPL21697	Homo sapiens	1				0	0	0	0	0	213	2025/06/14	Non-coding RNA profiling by high throughput sequencing	0	GPL21697			Machine Learning-based Exceptional Response Prediction of Nivolumab Monotherapy with Circulating MicroRNAs in Non-Small Cell Lung Cancer	0
GSE212525	50	GPL15520	Homo sapiens	6				0	0	0	0	0	50	2022/09/06	Expression profiling by high throughput sequencing	0	GPL15520			Sitravatinib Plus Nivolumab in Patients Undergoing Nephrectomy for Locally Advanced Clear Cell Renal Cell Carcinoma	0
GSE228540	29	GPL24676	Homo sapiens	2				0	0	0	0	0	29	2025/04/09	Non-coding RNA profiling by high throughput sequencing	0	GPL24676			Integrated analysis of messenger RNA and microRNA in patients with community-acquired pneumonia associated sepsis (miRNA part)	0
GSE228541	29	GPL24676;GPL28038	Homo sapiens	2				0	0	0	0	0	29	2025/04/09	Expression profiling by high throughput sequencing	0	GPL28038;GPL24676	 | 		Integrated analysis of messenger RNA and microRNA in patients with community-acquired pneumonia associated sepsis (mRNA part)	0
GSE237087	68	GPL21697;GPL24676	Homo sapiens	4				0	0	0	0	0	68	2024/02/28	Methylation profiling by high throughput sequencing	0	GPL24676;GPL21697	 | 		Cell-free DNA 5-hydroxymethylcytosine for immunotherapy response prediction in lung cancer	0
GSE242780	6	GPL24676	Homo sapiens	2				0	0	0	0	0	6	2024/08/31	Expression profiling by high throughput sequencing	0	GPL24676			Single-cell RNA sequencing analysis of peripheral blood mononuclear cells in PD-1-induced renal toxicity in patients with lung cancer	0
GSE247754	2	GPL24676	Homo sapiens	1				0	0	0	0	0	2	2025/06/16	Expression profiling by high throughput sequencing	0	GPL24676			Homeostatic Dysregulation of Systemic CD8+ T Cell Compartment in Lung Cancer Patients	0
GSE252421	6	GPL24676	Homo sapiens	3				0	0	0	0	0	6	2025/12/31	Expression profiling by high throughput sequencing	0	GPL24676			Disease type and Pathogenic Mechanism induced by PM2.5 in five Human Systems using omics and Human Disease Database [Sertoli]	0
GSE253962	151	GPL24676	Homo sapiens	3				0	0	0	0	0	151	2026/03/31	Other	0	GPL24676			Spatial Transcriptomics of human hepatocellular cancer	0
GSE260597	6	GPL24676	Homo sapiens	3				0	0	0	0	0	6	2024/03/04	Expression profiling by high throughput sequencing	0	GPL24676			Anti-tumor activity of a novelLAIR1antagonist in combination with anti-PD-1to treat collagen-rich solid tumors (human)	0
GSE267027	9	GPL28038	Homo sapiens	3				0	0	0	0	0	9	2026/02/05	Expression profiling by high throughput sequencing; Other	0	GPL28038			The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[P5]	0
GSE272174	9	GPL24676	Homo sapiens	4				0	0	0	0	0	9	2024/11/14	Expression profiling by high throughput sequencing	0	GPL24676			Characteristics of a CCL21-gene modified dendritic cell vaccine utilized for a clinical trial in non-small cell lung cancer	0
GSE273415	14	GPL24676	Homo sapiens	4				0	0	0	0	0	14	2024/07/30	Expression profiling by high throughput sequencing	0	GPL24676			Engineered cytokine/antibody fusion proteins improve delivery of IL-2 to pro-inflammatory cells and promote antitumor activity	0
GSE275259	6	GPL24676	Homo sapiens	2				0	0	0	0	0	6	2025/03/19	Expression profiling by high throughput sequencing	0	GPL24676			Immune profiles of heatstroke patients	0
GSE277852	8	GPL24676	Homo sapiens	2				0	0	0	0	0	8	2025/04/09	Expression profiling by high throughput sequencing	0	GPL24676			Immunotherapy alongside IL-15 promote intratumoral cytotoxic CD4+T cell activation against MHC-II-expressing tumors	0
GSE282437	69	GPL11154	Homo sapiens	3				0	0	0	0	0	69	2026/06/23	Other	0	GPL11154			PLA2G2D in tumour-draining lymph nodes regulates anti-tumour immunity	0
GSE287798	4	GPL18573	Homo sapiens	2				0	0	0	0	0	4	2026/04/05	Genome binding/occupancy profiling by high throughput sequencing	0	GPL18573			Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer [ATAC-seq]	0
GSE287799	6	GPL24676	Homo sapiens	2				0	0	0	0	0	6	2026/04/05	Expression profiling by high throughput sequencing	0	GPL24676			Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer [RNA-seq]	0
GSE287930	2	GPL24676	Homo sapiens	1				0	0	0	0	0	2	2026/04/06	Expression profiling by high throughput sequencing	0	GPL24676			Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer	0
GSE288083	4	GPL24676	Homo sapiens	2				0	0	0	0	0	4	2025/04/08	Expression profiling by high throughput sequencing	0	GPL24676			TIE-2 expressing monocytic myeloid-derived suppressor cells are involved in resistance to anti-PD-1 mediates by angiopoietin 2 in melanoma patients	0
GSE299082	9	GPL18573	Homo sapiens	3		PR		0	0	0	0	0	9	2025/09/05	Expression profiling by high throughput sequencing	0	GPL18573			PHASE IB STUDY OF AVELUMAB WITH RADIOTHERAPY IN PATIENTS WITH LEPTOMENINGEAL DISEASE	0
GSE299368	1	GPL33484	Homo sapiens	1				0	0	0	0	0	1	2026/03/31	Other	0	GPL33484			Spatial analysis reveals a novel inflammatory tumor transition state which promotes a macrophage-driven induction of sarcomatoid renal cell carcinoma	0
GSE301591	2	GPL24676	Homo sapiens	1				0	0	0	0	0	2	2025/07/08	Expression profiling by high throughput sequencing	0	GPL24676			TGF-βRII/IL-15 Immunotherapeutic complex targets exhausted CD8+ T cell subsets in lymph nodes and tumors [scRNA-Seq]	0
GSE312336	9	GPL16791	Homo sapiens	4				0	0	0	0	0	9	2026/02/05	Expression profiling by high throughput sequencing; Other	0	GPL16791			The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[renal cancer]	0
GSE171650	30	GPL16791	Homo sapiens	3		resistant		0	0	0	1	0	30	2021/04/08	Expression profiling by high throughput sequencing	0	GPL16791			PD-L1 alteration in lung cancer affects tumorigenicity lung tumors	-1
GSE179934	9	GPL11154	Homo sapiens	2				0	0	0	1	0	9	2021/08/01	Expression profiling by high throughput sequencing	0	GPL11154			The immune heterogeneity between pulmonary adenocarcinoma and squamous cell carcinoma: a comprehensive analysis based on lncRNA model	-1
GSE193049	7	GPL24676	Homo sapiens	1				0	0	0	1	0	7	2022/04/07	Expression profiling by high throughput sequencing	0	GPL24676			Bronchoalveolar lavage fluid reveals factors contributing to the efficacy of PD-1 blockade in lung cancer	-1
GSE252420	6	GPL24676	Homo sapiens	4				0	0	0	1	0	6	2024/12/08	Expression profiling by high throughput sequencing	0	GPL24676			Disease type and Pathogenic Mechanism induced by PM2.5 in five Human Systems using omics and Human Disease Database [EA.hy926]	-1
GSE252423	12	GPL24676	Homo sapiens	4				0	0	0	1	0	12	2025/12/31	Expression profiling by high throughput sequencing	0	GPL24676			Disease type and Pathogenic Mechanism induced by PM2.5 in five Human Systems using omics and Human Disease Database [IOSE+Nthy]	-1
GSE260575	12	GPL18573	Homo sapiens	5				0	0	0	1	0	12	2024/03/05	Expression profiling by high throughput sequencing	0	GPL18573			Bojungikki-Tang Enhances the Efficacy of Pembrolizumab Treatment in Human PBMC-Injected H460 Tumor-Bearing Mice	-1
GSE270890	12	GPL18573	Homo sapiens	4				0	0	0	1	0	12	2025/08/15	Expression profiling by high throughput sequencing; Third-party reanalysis	0	GPL18573			RNA-seq profiling of macrophage polarization in THP-1 cells co-cultured with GPNMB-knockdown TNBC spheroids	-1
GSE271377	12	GPL24676	Homo sapiens	5				0	0	0	1	0	12	2025/07/01	Expression profiling by high throughput sequencing	0	GPL24676			DCBLD2 promotes perivascular anti-tumor immune deprivation by educating SPP1+ pro-angiogenic macrophages	-1
GSE274588	57	GPL24676	Homo sapiens	4				0	0	0	1	0	57	2025/07/09	Expression profiling by high throughput sequencing; Other	0	GPL24676			Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [PBMC]	-1
GSE288117	12	GPL24676	Homo sapiens	2				0	0	0	1	0	12	2026/03/06	Expression profiling by high throughput sequencing	0	GPL24676			Effect of PA200 depletion on gene expression in lung cancer cell lines A549 and NCI-H1299	-1
GSE289043	23	GPL24676	Homo sapiens	4				0	0	0	1	0	23	2025/08/13	Expression profiling by high throughput sequencing	0	GPL24676			Activating NRF2^E79Q mutation alters the differentiation of human non-small cell lung cancer	-1
GSE297846	3	GPL30173	Homo sapiens	2				0	0	0	1	0	3	2025/07/17	Expression profiling by high throughput sequencing	0	GPL30173			Dasatinib Remodels the Tumor Microenvironment and Sensitizes Small Cell Lung Cancer to Immunotherapy [shYES1]	-1
GSE299634	6	GPL24676	Homo sapiens	1				0	0	0	1	0	6	2025/11/13	Expression profiling by high throughput sequencing	0	GPL24676			The chromatin remodeling factor BAP18 promotes non-small cell lung cancer progression via the recruitment of β-Catenin with the transcriptional coactivator complex ACTL6A-PAF1	-1
GSE309452	12	GPL24676	Homo sapiens	4				0	0	0	1	0	12	2026/07/23	Expression profiling by high throughput sequencing	0	GPL24676			EBV infection in epithelial malignancies induces resistance to the anti-tumor function of natural killer cells via CD73-mediated metabolism of AMP [cell line]	-1
GSE309453	18	GPL24676	Homo sapiens	6				0	0	0	1	0	18	2026/07/23	Expression profiling by high throughput sequencing	0	GPL24676			EBV infection in epithelial malignancies induces resistance to the anti-tumor function of natural killer cells via CD73-mediated metabolism of AMP [NK cells]	-1
GSE320009	18	GPL34284	Homo sapiens	5				0	0	0	1	0	18	2026/02/23	Expression profiling by high throughput sequencing	0	GPL34284			Synergistic role of riboflavin-auxotrophic Enterococcus for MR1 expression and in-tra-tumoral mucosal associated invariant T (MAIT) cell activation	-1
