gse	n_gsm_meta	platforms_meta	organisms	n_char_fields	response_keys	response_value_tokens	ici_tokens	has_response_annot	has_ici_annot	lung_sample_mention	cellline_mention	fetch_error	n_samples	pdat	gds_type	is_array_type	platforms	platform_titles	pubmed	title	priority
GSE303531	25	GPL18573	Homo sapiens	1				0	0	1	0	0	25	2026/03/13	Other	0	GPL18573			CHI3L1 contributes to an immune suppressed tumour microenvironment in highly invasive brain metastases	2
GSE305086	173	GPL570	Homo sapiens	2				0	0	0	0	0	173	2026/08/03	Expression profiling by array	1	GPL570			Blood gene expression under immunotherapy as potential biomarker for immune checkpoint blockade in non-small-cell lung cancer	2
GSE308147	6	GPL31217	Homo sapiens	2				0	0	1	0	0	6	2025/10/03	Other	0	GPL31217			Systematic benchmarking of imaging spatial transcriptomics platforms in FFPE tissues - MERSCOPE Data	2
GSE308148	8	GPL33762	Homo sapiens	3				0	0	1	0	0	8	2025/10/03	Other	0	GPL33762			Systematic benchmarking of imaging spatial transcriptomics platforms in FFPE tissues - Xenium Data	2
GSE308745	87	GPL16791;GPL24676;GPL28038	Homo sapiens	4				0	0	1	0	0	87	2026/02/05	Expression profiling by high throughput sequencing; Other	0	GPL16791;GPL28038;GPL24676	 |  | 		The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[PB cohort2]	2
GSE309446	32	GPL20301	Homo sapiens	2		PD		0	0	1	0	0	32	2025/12/17	Other	0	GPL20301			A phase II study of sitravatinib combined with tislelizumab plus docetaxel for acquired resistance to PD-(L)1 in patients with advanced/metastatic non-small cell lung cancer	2
GSE311200	41	GPL24676	Homo sapiens	4				0	0	1	0	0	41	2026/07/01	Expression profiling by high throughput sequencing	0	GPL24676			Comprehensive analysis of the correlation between circulating biomarkers and tumor-immune microenvironment in advanced or recurrence non-small cell lung cancer in various treatment options, i.e., immunotherapy, EGFR TKI, and chemotherapy	2
GSE315510	30	GPL24676	Homo sapiens	2				0	0	1	0	0	30	2026/03/25	Expression profiling by high throughput sequencing	0	GPL24676			Mitochondrial potential as a biomarker of T cell fitness and function in cancer immunotherapy	2
GSE329813	127	GPL24676	Homo sapiens	2				0	0	1	0	0	127	2026/06/29	Other	0	GPL24676			Spatial Transcriptomics Unveils Immune Microenvironment Heterogeneity and Response-related Subtypes in NSCLC Treated with Neoadjuvant Chemoimmunotherapy	2
GSE116118	4	GPL6480	Homo sapiens	2		resistant		0	0	0	1	0	4	2019/05/30	Expression profiling by array	1	GPL6480			Establishment and characterization of a new intrahepatic cholangiocarcinoma cell line resistant to gemcitabine	1
GSE121682	12	GPL25714	Homo sapiens	3				0	0	0	1	0	12	2018/12/11	Expression profiling by array	1	GPL25714			Immunotherapy Utilizing NK cells and ADCC Mediating Agents with Poly (ADP-ribose) polymerase (PARP) Inhibition	1
GSE129968	12	GPL11154	Homo sapiens	1				0	0	1	1	0	12	2020/02/01	Other	0	GPL11154			EIF5B drives integrated stress response-dependent translation of PD-L1 in lung cancer	1
GSE135976	4	GPL13497	Homo sapiens	2				0	0	0	1	0	4	2019/08/20	Expression profiling by array	1	GPL13497			MET regulates expression of co-stimulatory and co-inhibitory molecules in tumor cells and contributes to suppression of immune cell function	1
GSE136932	24	GPL13497	Homo sapiens	3				0	0	0	1	0	24	2019/12/17	Expression profiling by array	1	GPL13497			Effect of Pirfenidone on NSCLC [A549/H1975 0.75 mg/ml Pirf]	1
GSE136933	6	GPL13497	Homo sapiens	3				0	0	0	1	0	6	2019/12/17	Expression profiling by array	1	GPL13497			Effect of Pirfenidone on NSCLC [A549 1.5 mg/ml Pirf 6hrs]	1
