platform	gene	probe_id	matched_column	matched_value
GPL19965	CD8A	C1QBP	Alias	HABP1, gC1Q-R, gC1qR, p32, SF2p32
GPL19965	CD274	CD274	ID	CD274
GPL19965	CD8A	CD8A	ID	CD8A
GPL19965	CXCL9	CXCL9	ID	CXCL9
GPL19965	GZMB	GZMB	ID	GZMB
GPL19965	GZMB	GZMH	Alias	CTSGL2, CGL-2, CCP-X, CTLA1, CSP-C
GPL19965	HLA-DRA	HLA-DRA	ID	HLA-DRA
GPL19965	IFNG	IFNG	ID	IFNG
GPL19965	PDCD1	PDCD1	ID	PDCD1
GPL19965	STAT1	STAT1	ID	STAT1
GPL19965	CD8A	TIRAP	Alias	Mal, wyatt
GPL23126	TACSTD2	TC0100014340.hg.1	gene_assignment	NM_002353 // TACSTD2 // tumor-associated calcium signal transducer 2 // 1p32 // 4070 /// ENST00000371225 // TACSTD2 // tumor-associated calcium signal transduce
GPL23126	CD8A	TC0200008452.hg.1	gene_assignment	NM_002371 // MAL // mal, T-cell differentiation protein // 2q11.1 // 4118 /// NM_022438 // MAL // mal, T-cell differentiation protein // 2q11.1 // 4118 /// NM_0
GPL23126	CD8A	TC0200013323.hg.1	gene_assignment	NM_001145873 // CD8A // CD8a molecule // 2p12 // 925 /// NM_001768 // CD8A // CD8a molecule // 2p12 // 925 /// NM_171827 // CD8A // CD8a molecule // 2p12 // 925
GPL23126	CD8A	TC0200013861.hg.1	gene_assignment	NM_005434 // MALL // mal, T-cell differentiation protein-like // 2q13 // 7851 /// ENST00000272462 // MALL // mal, T-cell differentiation protein-like // 2q13 //
GPL23126	STAT1	TC0200015242.hg.1	gene_assignment	NM_007315 // STAT1 // signal transducer and activator of transcription 1 // 2q32.2 // 6772 /// NM_139266 // STAT1 // signal transducer and activator of transcri
GPL23126	PDCD1	TC0200016382.hg.1	gene_assignment	NM_005018 // PDCD1 // programmed cell death 1 // 2q37.3 // 5133 /// ENST00000334409 // PDCD1 // programmed cell death 1 // 2q37.3 // 5133 /// ENST00000343705 //
GPL23126	CXCL9	TC0400011052.hg.1	gene_assignment	NM_002416 // CXCL9 // chemokine (C-X-C motif) ligand 9 // 4q21 // 4283 /// ENST00000264888 // CXCL9 // chemokine (C-X-C motif) ligand 9 // 4q21 // 4283 /// BC06
GPL23126	HLA-DRA	TC0600007650.hg.1	gene_assignment	NM_019111 // HLA-DRA // major histocompatibility complex, class II, DR alpha // 6p21.3 // 3122 /// ENST00000374982 // HLA-DRA // major histocompatibility comple
GPL23126	CLDN4	TC0700007993.hg.1	gene_assignment	NM_001305 // CLDN4 // claudin 4 // 7q11.23 // 1364 /// ENST00000340958 // CLDN4 // claudin 4 // 7q11.23 // 1364 /// ENST00000431918 // CLDN4 // claudin 4 // 7q1
GPL23126	CD8A	TC0800008663.hg.1	gene_assignment	NM_052886 // MAL2 // mal, T-cell differentiation protein 2 (gene/pseudogene) // 8q23 // 114569 /// ENST00000522112 // MAL2 // mal, T-cell differentiation protei
GPL23126	CD274	TC0900006559.hg.1	gene_assignment	NM_001267706 // CD274 // CD274 molecule // 9p24 // 29126 /// NM_014143 // CD274 // CD274 molecule // 9p24 // 29126 /// NR_052005 // CD274 // CD274 molecule // 9
GPL23126	IFNG	TC1200011177.hg.1	gene_assignment	NM_000619 // IFNG // interferon, gamma // 12q14 // 3458 /// ENST00000229135 // IFNG // interferon, gamma // 12q14 // 3458 /// BC070256 // IFNG // interferon, ga
GPL23126	GZMB	TC1400008764.hg.1	gene_assignment	NM_004131 // GZMB // granzyme B // 14q11.2 // 3002 /// ENST00000216341 // GZMB // granzyme B // 14q11.2 // 3002 /// ENST00000382540 // GZMB // granzyme B // 14q
GPL570	CLDN4	1569421_at	Gene symbol	CLDN4
GPL570	STAT1	200887_s_at	Gene symbol	STAT1
GPL570	CLDN4	201428_at	Gene symbol	CLDN4
GPL570	TACSTD2	202285_s_at	Gene symbol	TACSTD2
GPL570	TACSTD2	202286_s_at	Gene symbol	TACSTD2
GPL570	TACSTD2	202287_s_at	Gene symbol	TACSTD2
GPL570	CXCL9	203915_at	Gene symbol	CXCL9
GPL570	CD8A	204777_s_at	Gene title	mal, T-cell differentiation protein
GPL570	CD8A	205758_at	Gene symbol	CD8A
GPL570	PDCD1	207634_at	Gene symbol	PDCD1
GPL570	HLA-DRA	208894_at	Gene symbol	HLA-DRA
GPL570	CD8A	209373_at	Gene title	mal, T-cell differentiation protein like
GPL570	STAT1	209969_s_at	Gene symbol	STAT1
GPL570	GZMB	210164_at	Gene symbol	GZMB
GPL570	IFNG	210354_at	Gene symbol	IFNG
GPL570	HLA-DRA	210982_s_at	Gene symbol	HLA-DRA
GPL570	CD274	223834_at	Gene symbol	CD274
GPL570	CD8A	224650_at	Gene title	mal, T-cell differentiation protein 2 (gene/pseudogene)
GPL570	TACSTD2	227128_s_at	Gene symbol	TACSTD2
GPL570	CD274	227458_at	Gene symbol	CD274
GPL570	STAT1	AFFX-HUMISGF3A/M97935_3_at	Gene symbol	STAT1
GPL570	STAT1	AFFX-HUMISGF3A/M97935_5_at	Gene symbol	STAT1
