sample	C4_IFN_MHCI	APM	IFN	JUNCTION	RAP1_PI3K_AKT	kd	ddp
shNC1	1.3241941020101162	0.9147351984106685	0.8760099222850113	0.6649451903881534	0.2845835145512538	shNC	noDDP
shNC2	1.1447654354499424	0.8007308654488168	0.690546163915477	0.5424670776388024	0.29223208132638373	shNC	noDDP
shNC3	1.08128805369454	0.9015490858712892	0.8283937343346301	0.4548150970193561	0.27503787892292736	shNC	noDDP
shNCDDP1	-0.523829286881132	-0.4713253639752844	-0.2174288364449384	-0.11188319312207222	-0.17902580674490148	shNC	DDP
shNCDDP2	-0.8720848926511727	-0.8886636362162768	-0.5572208305047057	-0.3801605697705349	-0.7706633848230516	shNC	DDP
shNCDDP3	-0.5971098128632589	-0.7642376372502045	-0.4156795651169419	-0.14057605821268132	-0.3486385000949248	shNC	DDP
sh1	-0.7373091384386824	-0.3192454376057217	-0.9475565884697849	-0.9031699198631942	-0.40641554169147204	shTACSTD2	noDDP
sh2	-0.8032115980389247	-0.2599338103472919	-0.7072262342479948	-0.6475382643950499	-0.29958759408864205	shTACSTD2	noDDP
sh3	-0.788452934914036	-0.31645551515092474	-0.7203101615600495	-0.6260688833409969	-0.21898233988781884	shTACSTD2	noDDP
shDDP1	0.3518051017833878	0.16636593918766363	0.3862469545188524	0.3710061313922498	0.31706473445314953	shTACSTD2	DDP
shDDP2	0.11853639036292503	0.10983809150559937	0.3705045043184485	0.40119442329909816	0.34684390721026376	shTACSTD2	DDP
shDDP3	0.3014085804862912	0.1266422201216711	0.41372093697199763	0.3749689689668677	0.7075510508668353	shTACSTD2	DDP
