n_in_set	n_present	n_tested	median_log2FC_set	median_log2FC_bg	delta_median	mw_U	mw_p	direction	n_up	n_down	contrast	set	n	binom_p_two_sided
6	6	6	-0.5714133202056344	-0.08639515377341977	-0.4850181664322146	12493.0	0.002880571732357581	down	0	6	KD_noDDP	C4_IFN_MHCI	6	0.03125
19	19	19	-0.4016755331913764	-0.08624360198141612	-0.31543193120996027	75162.5	0.00623666891434424	down	3	15	KD_noDDP	APM	19	0.004425048828125
55	54	54	-0.4445895968539956	-0.08541187216199031	-0.35917772469200526	180702.0	5.107364495318114e-09	down	2	50	KD_noDDP	IFN	54	1.6497914145929826e-13
27	26	26	-0.22897141224898787	-0.08639515377341977	-0.1425762584755681	112319.0	0.007284417263523957	down	4	22	KD_noDDP	JUNCTION	26	0.0005335211753845215
14	14	14	-0.12004624636774852	-0.08642305230699332	-0.0336231940607552	78508.0	0.5314646469249125	null	5	9	KD_noDDP	RAP1_PI3K_AKT	14	0.4239501953125
6	6	6	0.2781629190367092	0.02460201800443773	0.25356090103227147	45019.0	0.38750665767598436	null	5	1	KD_DDP	C4_IFN_MHCI	6	0.21875
19	19	19	0.3969093909708006	0.024107797182660873	0.3728015937881397	150246.0	0.03859626679493874	up	14	4	KD_DDP	APM	19	0.063568115234375
55	54	54	0.20210582409145156	0.023795492768206916	0.17831033132324464	432828.0	0.0001973415396515751	up	41	11	KD_DDP	IFN	54	0.00017512673440589485
27	26	26	0.033907873542050125	0.024606460794385887	0.009301412747664238	175354.0	0.44638491143408476	null	16	10	KD_DDP	JUNCTION	26	0.32693958282470703
14	14	14	0.24387475195645014	0.02424349869463782	0.21963125326181232	112396.0	0.05746617652505421	null	10	4	KD_DDP	RAP1_PI3K_AKT	14	0.1795654296875
6	6	6	-0.4370316579723478	0.0694642709074198	-0.5064959288797676	12873.0	0.0034457166602462463	down	0	6	DDP_in_NC	C4_IFN_MHCI	6	0.03125
19	19	19	-0.7483385068915771	0.06982726705845854	-0.8181657739500356	46462.0	4.842977670605521e-06	down	1	17	DDP_in_NC	APM	19	7.62939453125e-05
55	54	54	-0.4028598435820339	0.07061766893309485	-0.47347751251512876	193016.0	7.573117859962809e-08	down	10	43	DDP_in_NC	IFN	54	3.3856859533720747e-06
27	26	26	-0.1264061080357171	0.06927606129152863	-0.19568216932724575	111913.0	0.0068050634153009526	down	7	19	DDP_in_NC	JUNCTION	26	0.028959274291992188
14	14	14	-0.2607005547139384	0.06950782628608976	-0.33020838100002814	62142.0	0.06491179440865168	null	4	10	DDP_in_NC	RAP1_PI3K_AKT	14	0.1795654296875
6	6	6	0.23634048094930785	0.19015504048724274	0.0461854404620651	44711.0	0.39751349930923097	null	5	1	DDP_in_KD	C4_IFN_MHCI	6	0.21875
19	19	19	0.15330211832874308	0.19019664089916066	-0.03689452257041759	111203.5	0.6677163746396461	null	13	5	DDP_in_KD	APM	19	0.1670684814453125
55	54	54	0.33500876499080356	0.18872151737120646	0.1462872476195971	418741.5	0.0014329476735063834	up	50	3	DDP_in_KD	IFN	54	3.8029690507812575e-11
27	26	26	0.18862195215358407	0.18987078906769583	-0.0012488369141117617	184465.0	0.20788551083090534	null	24	2	DDP_in_KD	JUNCTION	26	1.049041748046875e-05
14	14	14	0.13130169430426425	0.19023824131107858	-0.05893654700681433	91043.0	0.7578096854748375	null	10	4	DDP_in_KD	RAP1_PI3K_AKT	14	0.1795654296875
