split	n_mal_high_cells	n_mal_low_cells	n_tnk_cells	n_samples_in_mal_groups	n_detected_lr	n_sig_lr	n_sig_outgoing	n_sig_incoming	cold_barrier_score	n_barrier_up_high	n_inhib_up_high	n_recruit_up_high	n_recruit_down_high	n_attack_in_down_high	score_sums_two_arms
tertile_post	2803	2803	33760	12	220	117	80	37	15	5	8	0	1	2	False
median_post	4203	4204	33760	12	218	105	69	36	14	5	6	0	1	2	False
tertile_nmpr	2305	2305	21223	8	204	93	69	24	15	5	10	0	1	1	False
tertile_mpr	498	498	12537	4	229	119	86	33	12	4	12	3	0	1	False
combo_mpr	2803	2803	33760	12	467	272	200	72	22	7	16	2	2	3	True
