sample	lineage	response	is_post	n
BD_immune01	B	NE	False	38
BD_immune01	Endothelial	NE	False	11
BD_immune01	Epithelial	NE	False	588
BD_immune01	Fibroblast	NE	False	24
BD_immune01	Mast	NE	False	47
BD_immune01	Myeloid	NE	False	1010
BD_immune01	NK	NE	False	192
BD_immune01	Neutrophil	NE	False	2013
BD_immune01	Plasma	NE	False	327
BD_immune01	T	NE	False	482
BD_immune01	Unassigned	NE	False	9
BD_immune02	B	NMPR	True	1898
BD_immune02	Endothelial	NMPR	True	6
BD_immune02	Epithelial	NMPR	True	107
BD_immune02	Fibroblast	NMPR	True	7
BD_immune02	Mast	NMPR	True	7
BD_immune02	Myeloid	NMPR	True	125
BD_immune02	NK	NMPR	True	103
BD_immune02	Neutrophil	NMPR	True	234
BD_immune02	Plasma	NMPR	True	53
BD_immune02	T	NMPR	True	2796
BD_immune02	Unassigned	NMPR	True	9
BD_immune03	B	MPR	True	850
BD_immune03	Endothelial	MPR	True	10
BD_immune03	Epithelial	MPR	True	804
BD_immune03	Fibroblast	MPR	True	27
BD_immune03	Mast	MPR	True	75
BD_immune03	Myeloid	MPR	True	611
BD_immune03	NK	MPR	True	368
BD_immune03	Neutrophil	MPR	True	122
BD_immune03	Plasma	MPR	True	1639
BD_immune03	T	MPR	True	4692
BD_immune03	Unassigned	MPR	True	61
BD_immune04	B	NMPR	True	438
BD_immune04	Endothelial	NMPR	True	11
BD_immune04	Epithelial	NMPR	True	145
BD_immune04	Fibroblast	NMPR	True	33
BD_immune04	Mast	NMPR	True	64
BD_immune04	Myeloid	NMPR	True	1340
BD_immune04	NK	NMPR	True	411
BD_immune04	Neutrophil	NMPR	True	581
BD_immune04	Plasma	NMPR	True	162
BD_immune04	T	NMPR	True	5205
BD_immune04	Unassigned	NMPR	True	8
BD_immune05	B	NMPR	False	202
BD_immune05	Endothelial	NMPR	False	4
BD_immune05	Epithelial	NMPR	False	1484
BD_immune05	Fibroblast	NMPR	False	21
BD_immune05	Mast	NMPR	False	9
BD_immune05	Myeloid	NMPR	False	229
BD_immune05	NK	NMPR	False	81
BD_immune05	Neutrophil	NMPR	False	75
BD_immune05	Plasma	NMPR	False	273
BD_immune05	T	NMPR	False	732
BD_immune05	Unassigned	NMPR	False	3
BD_immune06	B	MPR	True	87
BD_immune06	Endothelial	MPR	True	15
BD_immune06	Epithelial	MPR	True	64
BD_immune06	Fibroblast	MPR	True	4
BD_immune06	Mast	MPR	True	86
BD_immune06	Myeloid	MPR	True	881
BD_immune06	NK	MPR	True	349
BD_immune06	Neutrophil	MPR	True	558
BD_immune06	Plasma	MPR	True	29
BD_immune06	T	MPR	True	2575
BD_immune06	Unassigned	MPR	True	1
BD_immune07	B	NMPR	True	69
BD_immune07	Endothelial	NMPR	True	116
BD_immune07	Epithelial	NMPR	True	5121
BD_immune07	Fibroblast	NMPR	True	277
BD_immune07	Mast	NMPR	True	153
BD_immune07	Myeloid	NMPR	True	1789
BD_immune07	NK	NMPR	True	161
BD_immune07	Neutrophil	NMPR	True	23
BD_immune07	Plasma	NMPR	True	469
BD_immune07	T	NMPR	True	926
BD_immune07	Unassigned	NMPR	True	27
BD_immune08	B	NMPR	False	182
BD_immune08	Endothelial	NMPR	False	33
BD_immune08	Epithelial	NMPR	False	190
BD_immune08	Fibroblast	NMPR	False	471
BD_immune08	Mast	NMPR	False	199
BD_immune08	Myeloid	NMPR	False	630
BD_immune08	NK	NMPR	False	134
BD_immune08	Neutrophil	NMPR	False	184
BD_immune08	Plasma	NMPR	False	738
BD_immune08	T	NMPR	False	3040
BD_immune08	Unassigned	NMPR	False	24
BD_immune09	B	NMPR	True	135
BD_immune09	Endothelial	NMPR	True	3
BD_immune09	Epithelial	NMPR	True	271
