group	n_cells	n_samples	n_MPR_samples	n_NMPR_samples	mean_TACSTD2_log1p_cp10k
Mal_high	4203	12	4	8	2.5899312496185303
Mal_low	4204	12	4	8	1.0978487730026245
TNK	33760	12	4	8	0.02294337935745716
