group	n_cells	n_samples	n_MPR_samples	n_NMPR_samples	mean_TACSTD2_log1p_cp10k
Mal_high	2803	12	4	8	2.8273751735687256
Mal_low	2803	12	4	8	0.769356369972229
TNK	33760	12	4	8	0.02294337935745716
