group	n_cells	n_samples	n_MPR_samples	n_NMPR_samples	mean_TACSTD2_log1p_cp10k
Mal_high	2305	8	0	8	2.912555694580078
Mal_low	2305	8	0	8	1.0144532918930054
TNK	21223	8	0	8	0.03062942996621132
