group	n_cells	n_samples	n_MPR_samples	n_NMPR_samples	mean_TACSTD2_log1p_cp10k
Mal_high	498	4	4	0	2.0079593658447266
Mal_low	498	4	4	0	0.2181975245475769
TNK	12537	4	4	0	0.009932214394211769
