group	n_cells	n_samples	n_MPR_samples	n_NMPR_samples	mean_TACSTD2_log1p_cp10k
Mal_high_MPR	100	4	4	0	2.744534969329834
Mal_high_NMPR	2703	8	0	8	2.830439805984497
Mal_low_MPR	1060	4	4	0	0.7052775621414185
Mal_low_NMPR	1743	8	0	8	0.8083256483078003
TNK_MPR	12537	4	4	0	0.009932214394211769
TNK_NMPR	21223	8	0	8	0.03062942996621132
