dropped_donor	x	y	n	rho	p	full_rho	delta_rho	subset
T01	cldn4_mean	tnk_frac	16	-0.18529411764705883	0.492057050205944	-0.25980392156862747	0.07450980392156864	all_histology
T02	cldn4_mean	tnk_frac	16	-0.22647058823529412	0.39898292664128926	-0.25980392156862747	0.033333333333333354	all_histology
T07	cldn4_mean	tnk_frac	16	-0.2823529411764706	0.2893498290632738	-0.25980392156862747	-0.022549019607843113	all_histology
T09	cldn4_mean	tnk_frac	16	-0.2764705882352941	0.29994212849237334	-0.25980392156862747	-0.016666666666666607	all_histology
T11	cldn4_mean	tnk_frac	16	-0.2764705882352941	0.29994212849237334	-0.25980392156862747	-0.016666666666666607	all_histology
T12	cldn4_mean	tnk_frac	16	-0.3411764705882353	0.19593262486788887	-0.25980392156862747	-0.08137254901960783	all_histology
T13	cldn4_mean	tnk_frac	16	-0.1323529411764706	0.6251064291516133	-0.25980392156862747	0.12745098039215688	all_histology
T16	cldn4_mean	tnk_frac	16	-0.2352941176470588	0.3803558011886571	-0.25980392156862747	0.02450980392156868	all_histology
T17	cldn4_mean	tnk_frac	16	-0.27058823529411763	0.3107606271023349	-0.25980392156862747	-0.010784313725490158	all_histology
T18	cldn4_mean	tnk_frac	16	-0.2735294117647059	0.30532315630740503	-0.25980392156862747	-0.013725490196078438	all_histology
T22	cldn4_mean	tnk_frac	16	-0.25588235294117645	0.3387899080712459	-0.25980392156862747	0.003921568627451022	all_histology
T24	cldn4_mean	tnk_frac	16	-0.1411764705882353	0.6020026838819792	-0.25980392156862747	0.11862745098039218	all_histology
T25	cldn4_mean	tnk_frac	16	-0.2352941176470588	0.3803558011886571	-0.25980392156862747	0.02450980392156868	all_histology
T28	cldn4_mean	tnk_frac	16	-0.39999999999999997	0.12475042359840005	-0.25980392156862747	-0.1401960784313725	all_histology
T33	cldn4_mean	tnk_frac	16	-0.29411764705882354	0.26884655462289303	-0.25980392156862747	-0.03431372549019607	all_histology
T41	cldn4_mean	tnk_frac	16	-0.34705882352941175	0.18783442010629955	-0.25980392156862747	-0.08725490196078428	all_histology
T42	cldn4_mean	tnk_frac	16	-0.22941176470588234	0.39272049088162	-0.25980392156862747	0.03039215686274513	all_histology
T01	cldn4_mean	tnk_frac	11	-0.5909090909090909	0.055575604288774685	-0.6223776223776225	0.03146853146853157	adenocarcinoma
T02	cldn4_mean	tnk_frac	11	-0.6181818181818182	0.04264556980532674	-0.6223776223776225	0.004195804195804342	adenocarcinoma
T09	cldn4_mean	tnk_frac	11	-0.6363636363636364	0.03528698122006231	-0.6223776223776225	-0.013986013986013845	adenocarcinoma
T12	cldn4_mean	tnk_frac	11	-0.7818181818181819	0.004473162252783043	-0.6223776223776225	-0.15944055944055935	adenocarcinoma
T13	cldn4_mean	tnk_frac	11	-0.5090909090909091	0.10973723224165634	-0.6223776223776225	0.11328671328671336	adenocarcinoma
T16	cldn4_mean	tnk_frac	11	-0.5454545454545455	0.08265095734417503	-0.6223776223776225	0.07692307692307698	adenocarcinoma
T18	cldn4_mean	tnk_frac	11	-0.6454545454545455	0.03196279932801746	-0.6223776223776225	-0.023076923076922995	adenocarcinoma
T22	cldn4_mean	tnk_frac	11	-0.6545454545454547	0.028864598957001903	-0.6223776223776225	-0.032167832167832144	adenocarcinoma
T24	cldn4_mean	tnk_frac	11	-0.5727272727272729	0.06554305260101852	-0.6223776223776225	0.049650349650349646	adenocarcinoma
T25	cldn4_mean	tnk_frac	11	-0.5454545454545455	0.08265095734417503	-0.6223776223776225	0.07692307692307698	adenocarcinoma
T33	cldn4_mean	tnk_frac	11	-0.7000000000000001	0.016470978836514428	-0.6223776223776225	-0.07762237762237756	adenocarcinoma
T42	cldn4_mean	tnk_frac	11	-0.6272727272727273	0.03884525362035334	-0.6223776223776225	-0.004895104895104807	adenocarcinoma
T01	cldn4_pct	tnk_frac	11	-0.7000000000000001	0.016470978836514428	-0.7272727272727274	0.027272727272727337	adenocarcinoma
T02	cldn4_pct	tnk_frac	11	-0.7000000000000001	0.016470978836514428	-0.7272727272727274	0.027272727272727337	adenocarcinoma
T09	cldn4_pct	tnk_frac	11	-0.7000000000000001	0.016470978836514428	-0.7272727272727274	0.027272727272727337	adenocarcinoma
T12	cldn4_pct	tnk_frac	11	-0.8636363636363636	0.0006116938500931701	-0.7272727272727274	-0.13636363636363624	adenocarcinoma
T13	cldn4_pct	tnk_frac	11	-0.6636363636363638	0.0259841339187655	-0.7272727272727274	0.0636363636363636	adenocarcinoma
T16	cldn4_pct	tnk_frac	11	-0.7181818181818183	0.012799598068858454	-0.7272727272727274	0.00909090909090915	adenocarcinoma
T18	cldn4_pct	tnk_frac	11	-0.7636363636363637	0.006233059747904754	-0.7272727272727274	-0.036363636363636265	adenocarcinoma
T22	cldn4_pct	tnk_frac	11	-0.7363636363636363	0.009759535959916904	-0.7272727272727274	-0.009090909090908927	adenocarcinoma
T24	cldn4_pct	tnk_frac	11	-0.6454545454545455	0.03196279932801746	-0.7272727272727274	0.0818181818181819	adenocarcinoma
T25	cldn4_pct	tnk_frac	11	-0.6818181818181819	0.020842853610945084	-0.7272727272727274	0.045454545454545525	adenocarcinoma
T33	cldn4_pct	tnk_frac	11	-0.7727272727272727	0.005299487178643862	-0.7272727272727274	-0.0454545454545453	adenocarcinoma
T42	cldn4_pct	tnk_frac	11	-0.7363636363636363	0.009759535959916904	-0.7272727272727274	-0.009090909090908927	adenocarcinoma
