min_mal	label	n	rho	p
1	with T13	12	-0.6223776223776225	0.030675895061640146
1	without T13	11	-0.5090909090909091	0.10973723224165634
20	with T13	12	-0.6223776223776225	0.030675895061640146
20	without T13	11	-0.5090909090909091	0.10973723224165634
30	with T13	12	-0.6223776223776225	0.030675895061640146
30	without T13	11	-0.5090909090909091	0.10973723224165634
50	with T13	12	-0.6223776223776225	0.030675895061640146
50	without T13	11	-0.5090909090909091	0.10973723224165634
100	with T13	9	-0.39999999999999997	0.286105101908313
100	without T13	9	-0.39999999999999997	0.286105101908313
200	with T13	8	-0.28571428571428575	0.49272624501695717
200	without T13	8	-0.28571428571428575	0.49272624501695717
500	with T13	6	0.14285714285714288	0.7871720116618076
500	without T13	6	0.14285714285714288	0.7871720116618076
