compartment	subset	x	y	gate	n	rho	p	n_donors_present	n_fail_gate
RESRU	all_histology	cldn4_mean	tnk_frac	tumor_epi>=50, T/NK>=30	17	-0.25980392156862747	0.31391716151942506	20	3
RESRU	all_histology	cldn4_pct	tnk_frac	tumor_epi>=50, T/NK>=30	17	-0.42401960784313725	0.0898416849718557	20	3
RESRU	all_histology	cldn4_mean	cd8_frac	tumor_epi>=50, T/NK>=30	17	-0.29411764705882354	0.2518444167529263	20	3
RESRU	all_histology	tacstd2_mean	tnk_frac	tumor_epi>=50, T/NK>=30	17	-0.37009803921568635	0.14367547273095146	20	3
RESRU	adenocarcinoma	cldn4_mean	tnk_frac	tumor_epi>=50, T/NK>=30	12	-0.6223776223776225	0.030675895061640146	20	3
RESRU	adenocarcinoma	cldn4_pct	tnk_frac	tumor_epi>=50, T/NK>=30	12	-0.7272727272727274	0.0073550288578051294	20	3
RESRU	adenocarcinoma	cldn4_mean	cd8_frac	tumor_epi>=50, T/NK>=30	12	-0.4685314685314686	0.12445479118883407	20	3
RESRU	adenocarcinoma	tacstd2_mean	tnk_frac	tumor_epi>=50, T/NK>=30	12	-0.41958041958041964	0.1745190081300594	20	3
RESRU	squamous	cldn4_mean	tnk_frac	tumor_epi>=50, T/NK>=30	5	0.6	0.28475697986529386	20	3
RESRU	squamous	cldn4_pct	tnk_frac	tumor_epi>=50, T/NK>=30	5	0.09999999999999999	0.8728885715695384	20	3
RESRU	squamous	cldn4_mean	cd8_frac	tumor_epi>=50, T/NK>=30	5	0.6	0.28475697986529386	20	3
RESRU	squamous	tacstd2_mean	tnk_frac	tumor_epi>=50, T/NK>=30	5	-0.49999999999999994	0.3910022189557703	20	3
RESRT	all_histology	cldn4_mean	tnk_frac	tumor_epi>=50, T/NK>=30	13	0.09890109890109891	0.7478683035983906	22	9
RESRT	all_histology	cldn4_pct	tnk_frac	tumor_epi>=50, T/NK>=30	13	0.010989010989010988	0.971577682777073	22	9
RESRT	all_histology	cldn4_mean	cd8_frac	tumor_epi>=50, T/NK>=30	13	-0.15934065934065936	0.6030877531318971	22	9
RESRT	all_histology	tacstd2_mean	tnk_frac	tumor_epi>=50, T/NK>=30	13	0.2087912087912088	0.493621819356885	22	9
RESRT	adenocarcinoma	cldn4_mean	tnk_frac	tumor_epi>=50, T/NK>=30	9	0.11666666666666665	0.765007942926146	22	9
RESRT	adenocarcinoma	cldn4_pct	tnk_frac	tumor_epi>=50, T/NK>=30	9	0.03333333333333333	0.9321567355405039	22	9
RESRT	adenocarcinoma	cldn4_mean	cd8_frac	tumor_epi>=50, T/NK>=30	9	-0.08333333333333334	0.831214097710308	22	9
RESRT	adenocarcinoma	tacstd2_mean	tnk_frac	tumor_epi>=50, T/NK>=30	9	0.5166666666666667	0.15439012098622507	22	9
RESRT	squamous	cldn4_mean	tnk_frac	tumor_epi>=50, T/NK>=30	4	0.0	1.0	22	9
RESRT	squamous	cldn4_pct	tnk_frac	tumor_epi>=50, T/NK>=30	4	0.0	1.0	22	9
RESRT	squamous	cldn4_mean	cd8_frac	tumor_epi>=50, T/NK>=30	4	-0.39999999999999997	0.6	22	9
RESRT	squamous	tacstd2_mean	tnk_frac	tumor_epi>=50, T/NK>=30	4	-0.39999999999999997	0.6	22	9
INXBX	all_histology	cldn4_mean	tnk_frac	tumor_epi>=50, T/NK>=30	13	0.45604395604395603	0.11728306543614493	20	7
INXBX	all_histology	cldn4_pct	tnk_frac	tumor_epi>=50, T/NK>=30	13	0.46153846153846156	0.11237597055825145	20	7
INXBX	all_histology	cldn4_mean	cd8_frac	tumor_epi>=50, T/NK>=30	13	0.34065934065934067	0.2547064607541251	20	7
INXBX	all_histology	tacstd2_mean	tnk_frac	tumor_epi>=50, T/NK>=30	13	0.12637362637362637	0.6807854750709491	20	7
INXBX	adenocarcinoma	cldn4_mean	tnk_frac	tumor_epi>=50, T/NK>=30	9	0.15	0.7000942309691418	20	7
INXBX	adenocarcinoma	cldn4_pct	tnk_frac	tumor_epi>=50, T/NK>=30	9	0.13333333333333333	0.7323675052362973	20	7
INXBX	adenocarcinoma	cldn4_mean	cd8_frac	tumor_epi>=50, T/NK>=30	9	0.33333333333333337	0.38071318167686347	20	7
INXBX	adenocarcinoma	tacstd2_mean	tnk_frac	tumor_epi>=50, T/NK>=30	9	0.08333333333333334	0.831214097710308	20	7
INXBX	squamous	cldn4_mean	tnk_frac	tumor_epi>=50, T/NK>=30	4	-1.0	0.0	20	7
INXBX	squamous	cldn4_pct	tnk_frac	tumor_epi>=50, T/NK>=30	4	-1.0	0.0	20	7
INXBX	squamous	cldn4_mean	cd8_frac	tumor_epi>=50, T/NK>=30	4	-1.0	0.0	20	7
INXBX	squamous	tacstd2_mean	tnk_frac	tumor_epi>=50, T/NK>=30	4	-0.39999999999999997	0.6	20	7
