definition	histology	min_mal	min_tnk	x	y	n	rho	p	worst_loo_donor	worst_loo_rho	worst_loo_p	t13_in_set	rho_without_t13	p_without_t13	stable_inverse	fragile_to_t13
author_tumor	luad_incl_mucinous	50	30	cldn4_mean	tnk_frac	12	-0.6223776223776225	0.030675895061640146	T13	-0.5090909090909091	0.10973723224165634	True	-0.5090909090909091	0.10973723224165634	False	True
author_tumor	luad_incl_mucinous	50	30	cldn4_pct0	tnk_frac	12	-0.7272727272727274	0.0073550288578051294	T24	-0.6454545454545455	0.03196279932801746	True	-0.6636363636363638	0.0259841339187655	True	False
author_tumor	luad_incl_mucinous	50	30	cldn4_pct1	tnk_frac	12	-0.6643356643356644	0.01845271802844544	T13	-0.5636363636363637	0.07095173447637551	True	-0.5636363636363637	0.07095173447637551	False	True
author_tumor	luad_strict	50	30	cldn4_mean	tnk_frac	10	-0.7212121212121211	0.01857315508946023	T13	-0.6166666666666666	0.07692880993776312	True	-0.6166666666666666	0.07692880993776312	False	True
author_tumor	luad_strict	50	30	cldn4_pct0	tnk_frac	10	-0.7696969696969697	0.009221952722215994	T24	-0.6833333333333333	0.04244227208707231	True	-0.7166666666666667	0.02981803569584528	True	False
author_tumor	luad_strict	50	30	cldn4_pct1	tnk_frac	10	-0.7696969696969697	0.009221952722215994	T13	-0.6833333333333333	0.04244227208707231	True	-0.6833333333333333	0.04244227208707231	True	False
author_drop_normal_q75	luad_incl_mucinous	50	30	cldn4_mean	tnk_frac	11	-0.5818181818181819	0.06041989621564838	T13	-0.4424242424242424	0.20042268671194213	True	-0.4424242424242424	0.20042268671194213	False	False
author_drop_normal_q75	luad_incl_mucinous	50	30	cldn4_pct0	tnk_frac	11	-0.7272727272727273	0.011204967253592074	T13	-0.6363636363636362	0.04791172612997544	True	-0.6363636363636362	0.04791172612997544	True	False
author_drop_normal_q75	luad_incl_mucinous	50	30	cldn4_pct1	tnk_frac	11	-0.6727272727272727	0.023313039833185983	T13	-0.5636363636363636	0.0897240283170912	True	-0.5636363636363636	0.0897240283170912	False	True
author_drop_normal_q75	luad_strict	50	30	cldn4_mean	tnk_frac	9	-0.6	0.08762282904140249	T13	-0.4285714285714286	0.2894032248467901	True	-0.4285714285714286	0.2894032248467901	False	False
author_drop_normal_q75	luad_strict	50	30	cldn4_pct0	tnk_frac	9	-0.75	0.019942126131992536	T13	-0.6428571428571429	0.08555889101267325	True	-0.6428571428571429	0.08555889101267325	False	True
author_drop_normal_q75	luad_strict	50	30	cldn4_pct1	tnk_frac	9	-0.7166666666666667	0.02981803569584528	T13	-0.5952380952380953	0.11952980613879269	True	-0.5952380952380953	0.11952980613879269	False	True
author_and_normal_lt_0.25	luad_incl_mucinous	50	30	cldn4_mean	tnk_frac	8	-0.7142857142857144	0.046528232284167255	T24	-0.5714285714285715	0.18020198891152767	False			False	False
author_and_normal_lt_0.25	luad_incl_mucinous	50	30	cldn4_pct0	tnk_frac	8	-0.5476190476190477	0.16002564253889653	T24	-0.3214285714285715	0.48207203829967776	False			False	False
author_and_normal_lt_0.25	luad_incl_mucinous	50	30	cldn4_pct1	tnk_frac	8	-0.5476190476190477	0.16002564253889653	T24	-0.3214285714285715	0.48207203829967776	False			False	False
author_and_normal_lt_0.25	luad_strict	50	30	cldn4_mean	tnk_frac	6	-0.6	0.208	T24	-0.3	0.623837664781073	False			False	False
author_and_normal_lt_0.25	luad_strict	50	30	cldn4_pct0	tnk_frac	6	-0.5428571428571429	0.26570262390670546	T24	-0.19999999999999998	0.7470600781046621	False			False	False
author_and_normal_lt_0.25	luad_strict	50	30	cldn4_pct1	tnk_frac	6	-0.48571428571428577	0.3287230320699708	T24	-0.09999999999999999	0.8728885715695384	False			False	False
marker_epi	luad_incl_mucinous	50	30	cldn4_mean	tnk_frac	6	-0.6	0.208	T16	-0.3	0.623837664781073	False			False	False
marker_epi	luad_incl_mucinous	50	30	cldn4_pct0	tnk_frac	6	-0.9276336570439174	0.007665844187473178	T16	-0.8720815992723809	0.05385421772754213	False			False	False
marker_epi	luad_incl_mucinous	50	30	cldn4_pct1	tnk_frac	6	-0.7142857142857143	0.11078717201166179	T16	-0.49999999999999994	0.3910022189557703	False			False	False
marker_epi	luad_strict	50	30	cldn4_mean	tnk_frac	4	-0.7999999999999999	0.2000000000000001				False			False	False
marker_epi	luad_strict	50	30	cldn4_pct0	tnk_frac	4	-1.0	0.0				False			False	False
marker_epi	luad_strict	50	30	cldn4_pct1	tnk_frac	4	-0.7999999999999999	0.2000000000000001				False			False	False
marker_and_author	luad_incl_mucinous	50	30	cldn4_mean	tnk_frac	6	-0.6	0.208	T16	-0.3	0.623837664781073	False			False	False
marker_and_author	luad_incl_mucinous	50	30	cldn4_pct0	tnk_frac	6	-0.6	0.208	T16	-0.3	0.623837664781073	False			False	False
marker_and_author	luad_incl_mucinous	50	30	cldn4_pct1	tnk_frac	6	-0.7142857142857143	0.11078717201166179	T16	-0.49999999999999994	0.3910022189557703	False			False	False
marker_and_author	luad_strict	50	30	cldn4_mean	tnk_frac	4	-0.7999999999999999	0.2000000000000001				False			False	False
marker_and_author	luad_strict	50	30	cldn4_pct0	tnk_frac	4	-0.7999999999999999	0.2000000000000001				False			False	False
marker_and_author	luad_strict	50	30	cldn4_pct1	tnk_frac	4	-0.7999999999999999	0.2000000000000001				False			False	False
