gene	contrast	mean_KD	mean_CTRL	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
TACSTD2	KDpooled_vs_negctrl	8.72187	11.8837	-3.16182	-20.7999	-39.1089	2.1472e-12	3.85337e-08	0.0003996	6	9
CLDN4	KDpooled_vs_negctrl	11.0862	11.0944	-0.00814611	-0.0229492	-0.0414572	0.968065	0.989066	0.954645	6	9
CLDN1	KDpooled_vs_negctrl	10.2906	9.59484	0.695756	3.72246	7.08057	1.97937e-05	0.00408297	0.0003996	6	9
CLDN3	KDpooled_vs_negctrl	10.6266	10.395	0.231583	1.03132	1.85964	0.105039	0.389282	0.113487	6	9
CLDN7	KDpooled_vs_negctrl	13.1863	13.4046	-0.218322	-1.49281	-2.68735	0.031477	0.218948	0.0495504	6	9
EPCAM	KDpooled_vs_negctrl	16.0661	15.9161	0.15008	0.86756	1.59389	0.148194	0.455313	0.272128	6	9
OCLN	KDpooled_vs_negctrl	8.47784	8.43258	0.04526	0.132071	0.243255	0.813574	0.928483	0.688911	6	9
TJP1	KDpooled_vs_negctrl	11.8503	11.7013	0.148938	0.765879	1.41015	0.194113	0.512965	0.223776	6	9
TJP2	KDpooled_vs_negctrl	13.1645	13.5071	-0.342631	-1.80948	-3.28648	0.0121106	0.13852	0.0047952	6	9
CDH1	KDpooled_vs_negctrl	10.5098	10.5107	-0.000879444	-0.00248266	-0.00453892	0.99649	0.998164	0.954645	6	9
VIM	KDpooled_vs_negctrl	15.6352	15.4738	0.161403	0.453056	0.807047	0.448925	0.733268	0.223776	6	9
DSG2	KDpooled_vs_negctrl	9.07753	9.22304	-0.145509	-0.766118	-1.34849	0.228547	0.551945	0.388412	6	9
CD274	KDpooled_vs_negctrl	8.87428	8.92249	-0.0482111	-0.177754	-0.32596	0.75264	0.901298	0.954645	6	9
B2M	KDpooled_vs_negctrl	14.0811	14.2642	-0.183064	-0.7003	-1.22871	0.268664	0.593627	0.606993	6	9
HLA-A	KDpooled_vs_negctrl	13.4562	13.5703	-0.114073	-0.922964	-1.70839	0.122189	0.416631	0.144655	6	9
HLA-B	KDpooled_vs_negctrl	15.0732	15.1269	-0.0536656	-0.361237	-0.675881	0.514846	0.772531	0.606993	6	9
TAP1	KDpooled_vs_negctrl	12.7005	12.5613	0.139271	1.25908	2.30641	0.0495787	0.272965	0.0879121	6	9
PSMB9	KDpooled_vs_negctrl	12.5229	12.5997	-0.0768272	-0.236851	-0.412123	0.696727	0.872231	1	6	9
STAT1	KDpooled_vs_negctrl	10.543	10.1085	0.434507	3.47146	6.32799	0.000257636	0.0166541	0.0003996	6	9
STAT2	KDpooled_vs_negctrl	7.92005	7.91418	0.00587278	0.0432894	0.0776495	0.940368	0.979446	0.863936	6	9
IRF7	KDpooled_vs_negctrl	12.3309	11.5758	0.755149	1.59462	2.81428	0.0315036	0.218964	0.0175824	6	9
IRF9	KDpooled_vs_negctrl	7.98186	7.95864	0.0232194	0.188492	0.360293	0.725192	0.887379	0.775624	6	9
ISG15	KDpooled_vs_negctrl	13.9172	13.566	0.351257	0.812208	1.63289	0.127094	0.424397	0.0495504	6	9
IFIT1	KDpooled_vs_negctrl	7.22146	7.36036	-0.138903	-0.61128	-1.13126	0.28761	0.610244	0.455944	6	9
IFIT3	KDpooled_vs_negctrl	7.12747	6.98266	0.144812	0.92086	1.61772	0.160228	0.470999	0.223776	6	9
MX1	KDpooled_vs_negctrl	10.7269	10.4603	0.266653	1.14314	1.99343	0.0997514	0.379886	0.144655	6	9
MX2	KDpooled_vs_negctrl	9.43252	9.19868	0.233843	1.65458	3.06829	0.0133456	0.143242	0.0175824	6	9
OAS1	KDpooled_vs_negctrl	7.49435	7.14478	0.349569	3.06421	5.62818	0.000433128	0.0217534	0.0003996	6	9
OAS2	KDpooled_vs_negctrl	8.08475	7.97837	0.10638	0.346017	0.624474	0.551866	0.796573	0.388412	6	9
OASL	KDpooled_vs_negctrl	8.37067	8.14234	0.228329	0.990173	1.81246	0.107267	0.39256	0.0663337	6	9
CXCL9	KDpooled_vs_negctrl	6.63657	6.65373	-0.017165	-0.213428	-0.407189	0.691477	0.869775	0.528671	6	9
IDO1	KDpooled_vs_negctrl	6.57485	6.61122	-0.0363694	-0.331868	-0.608014	0.559813	0.802347	0.688911	6	9
GBP1	KDpooled_vs_negctrl	7.65363	7.64342	0.0102133	0.0881632	0.155014	0.882194	0.955996	0.327672	6	9
GBP2	KDpooled_vs_negctrl	7.21927	6.91615	0.303112	1.36821	2.40765	0.0549473	0.28595	0.0879121	6	9
NFKBIA	KDpooled_vs_negctrl	13.3035	13.155	0.148517	0.764514	1.38464	0.206903	0.527507	0.223776	6	9
IL6	KDpooled_vs_negctrl	8.07165	8.11949	-0.0478417	-0.327723	-0.641174	0.532738	0.785388	0.954645	6	9
