array_1	array_2	pearson_r	pearson_p	spearman_rho	spearman_p	n_genes
GSM558700	GSM558701	-0.176765	9.37052e-99	-0.213566	2.666e-144	14017
GSM558700	GSM558702	0.196782	5.47275e-119	0.230362	1.6104e-163	13622
GSM558701	GSM558702	-0.159873	8.95838e-79	-0.188566	2.18428e-109	13640
