Feature_name	baseMean	log2FoldChange	stat	pvalue	padj
TACSTD2	1767.9	0.213791	1.43934	0.150055	0.349249
CLDN4	1044.33	-0.127686	-0.900324	0.367948	0.599811
CLDN3	224.278	0.221798	1.43204	0.152131	0.35222
CLDN7	769.67	-0.215094	-1.84721	0.0647161	0.202286
CLDN1	2341.02	2.39399	8.12894	4.33067e-16	7.20687e-14
EPCAM	510.156	0.0389809	0.361769	0.717525	0.857086
OCLN	4.32331	0.0115216	0.0310127	0.975259	0.989208
TJP1	132.519	0.286658	2.0746	0.0380235	0.142273
TJP2	17.6892	0.193688	0.645764	0.518432	0.725518
DSG2	102.991	-1.44944	-5.88666	3.94078e-09	1.94137e-07
DSP	1648.13	-0.613853	-5.70016	1.19693e-08	5.33768e-07
JUP	685.343	0.026383	0.210825	0.833024	0.920292
CDH1	408.716	0.0962038	0.52391	0.600341	0.784713
VIM	2.02522	0.234593	0.678727	0.497311	0.708827
CD274	1.08304	0.33208	1.19205	0.233243	
B2M	7206.79	-0.0807151	-0.43565	0.663091	0.824693
HLA-A	45.5534	1.11796	4.93344	8.0793e-07	2.40196e-05
HLA-B	1630.79	0.223201	1.97424	0.0483546	0.166044
TAP1	188.463	0.396301	2.16408	0.0304583	0.121247
PSMB9	32.8618	0.936609	3.62973	0.000283721	0.00351792
NLRC5	1.79683	0.0404487	0.113952	0.909276	0.956049
STAT1	237.468	0.853711	4.43392	9.25333e-06	0.00020354
STAT2	32.1019	0.344495	1.43235	0.152044	0.352138
IRF7	4.70666	0.183804	0.49451	0.620946	0.79735
ISG15	27.9287	2.2291	6.14311	8.09209e-10	4.63969e-08
IFIT1	103.05	1.24271	3.65144	0.000260778	0.00328889
IFIT3	4.9418	1.13921	2.7577	0.005821	0.036875
MX1	134.983	1.55362	4.58858	4.46268e-06	0.000109726
OAS1	22.049	1.68776	4.62147	3.81034e-06	9.54053e-05
CXCL10	0.30004	0.0852662	0.434498	0.663927	
CXCL11	0.13132	0.0130409	0.0868441	0.930795	
GBP1	22.8577	2.1464	5.73578	9.70625e-09	4.44468e-07
GBP2	13.595	1.3887	3.93411	8.35062e-05	0.0013053
NFKBIA	820.335	-0.0869484	-0.52843	0.597201	0.782653
