gse	path	status	bytes	sha256
GSE50927	series/GSE50nnn/GSE50927/suppl/GSE50927_Cldn4lungWTvsKOgenes.csv.gz	ok	696921	cdb39face842db67fbbe2c8a7a50e0ef65129187955c2a6c6574c91d2ba4a51d
GSE50927	series/GSE50nnn/GSE50927/suppl/GSE50927_VILIwtGenes.csv.gz	ok	711938	616742ae9f1ca35a35fa493b8ede119a8e9f11564209878036c8960c15b0ecea
GSE50927	series/GSE50nnn/GSE50927/suppl/GSE50927_VILIwtkohiGenes.csv.gz	ok	668560	6262fb2d4d491b41dcb0ce261c4b85851d40ecd764aed0105347055641bec6b5
GSE50927	series/GSE50nnn/GSE50927/suppl/GSE50927_VILIwtkoloGenes.csv.gz	ok	652406	8c4f7bf81856a7aba014713a9abd8b75810fa999e6fd5e1047b557258afd7a9d
GSE50927	series/GSE50nnn/GSE50927/soft/GSE50927_family.soft.gz	ok	2455	348191ace4056fea218c8eb4dae2d6c02efb563c8248c742be7036a5c186d70d
GSE334497	series/GSE334nnn/GSE334497/suppl/GSE334497_normalized_counts.csv.gz	ok	1286976	f92d31d7d2c4bfd3fb645acde08bd643feb6bb2caca21ba4e6043eebd111f9aa
GSE334497	series/GSE334nnn/GSE334497/soft/GSE334497_family.soft.gz	ok	2596	8d4064db89f1136cccd6f80d03430eebfbb2b35dd8ae8517d923c3824ee61447
GSE289287	series/GSE289nnn/GSE289287/suppl/GSE289287_DESeq2-Trop2KO_tumors_vs_WT.tsv.gz	ok	1985042	d2ae7d779b0788e09289d6eecd41a0ec985229c7aa072003948ea50125b0cece
GSE289287	series/GSE289nnn/GSE289287/suppl/GSE289287_DESeq2-DSG2KO_tumors_vs_WT.tsv.gz	ok	2398220	e3b5ea7942b79b62f2c8c1a55d50200d5708838ab0b65153e09fa98e1a35dd23
GSE289287	series/GSE289nnn/GSE289287/suppl/GSE289287_DESeq2-DSG2KO_cells_vs_DSG2WT.tsv.gz	ok	1996255	e5a3fedfa9acc3a8782f3de7ee76c0e071384e5f937e1bc5fb5893ebc443377f
GSE289287	series/GSE289nnn/GSE289287/soft/GSE289287_family.soft.gz	ok	5008	1fd1fefbe2b7db707bfa9f1581ad597f4b9280bbc6d64a96537faa68fc3e4741
GSE207704	series/GSE207nnn/GSE207704/suppl/GSE207704_CLDN4_RNAseq.txt.gz	ok	1075881	6a795b50f5378e77abd4160c6fdef74387bfc758c74269b67c8307b5e5645004
GSE207704	series/GSE207nnn/GSE207704/soft/GSE207704_family.soft.gz	ok	2654	82be372c010335d2c0c41570b450a5b3449ab79a22f265518a6e550ec0cc978d
GSE22493	series/GSE22nnn/GSE22493/matrix/GSE22493_series_matrix.txt.gz	ok	299299	34b32b588ee4b50f2f22b0b6188b0e0dcfa283503720cf95ffbf86b9ed59b7b3
GSE22493	series/GSE22nnn/GSE22493/soft/GSE22493_family.soft.gz	ok	1226292	c18417ce5cd75a224cfe258395aef4e916a4ee26e02a8f2f66e1a1a6edd0c986
GSE15212	series/GSE15nnn/GSE15212/matrix/GSE15212_series_matrix.txt.gz	ok	7801314	ff9c782dcd69d068ebc860ac128d4ceff69b9790f66704a1a5bd6d08e12aa9d1
GSE15212	series/GSE15nnn/GSE15212/soft/GSE15212_family.soft.gz	ok	20042048	e874f1fd76df1b69b83627f6761537b0edfb59d7254ab8698a6f88f86e40321b
