query	accession	title	organism	release_date	gene_mentioned
CLDN4 knockdown	E-GEOD-22493	Comparisons of the global gene profile between CLDN4-overexpressing and CLDN4-silencing ovarian cancer cells.		2010-12-15	True
CLDN4 knockdown	E-GEOD-55261	3C-seq of HT29 cells with CCAT1-L knockdown or scramble knockdown		2014-02-22	False
CLDN4 knockdown	E-MTAB-7199	RNAseq analysis of IKKbeta knockdown EDC4 knockdown irradiated and untreated		2018-10-29	False
CLDN4 knockdown	E-MTAB-419	Knockdown of PAPGEF3-antisense transcript		2010-11-03	False
CLDN4 knockdown	E-MTAB-1966	fly brm knockdown RNA-seq		2014-05-08	False
CLDN4 knockdown	E-GEOD-26856	Gene expression profile of H1.5 knockdown and SIRT1 knockdown IMR90 cells versus control cells		2012-09-18	False
CLDN4 knockdown	E-GEOD-34512	PBEF Knockdown in HMVEC-LBI		2013-01-01	False
CLDN4 knockdown	E-MTAB-2207	setdb2 knockdown microarray		2014-06-20	False
CLDN4 knockdown	E-GEOD-67594	EIF3B knockdown		2015-04-07	False
CLDN4 knockdown	E-GEOD-52508	Knockdown of EI24 in ZR-75-1 cells		2013-11-20	False
CLDN4 knockdown	E-MTAB-7791	mRNA-seq for HCT116 Parental and ARID1A knockdown cells, mRNA-seq for DLD1 Parental, ARID1A knockdown and ARID1A knockout cells, mRNA-seq for COLO320DM Parental and ARID1A knockdown and ARID1A knockout cells		2019-06-11	False
CLDN4 knockdown	E-MTAB-10235	Ribo-seq of iPSC-derived neurons with TDP-43 knockdown		2022-02-28	False
CLDN4 knockdown	E-GEOD-50927	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury		2014-11-04	True
CLDN4 knockdown	E-GEOD-53240	Knockdown of BmSoxE gene in silkworm BmN4-SID1 cells		2014-06-28	False
CLDN4 knockdown	E-GEOD-54625	Polysomes from DENR knockdown cells		2014-06-30	False
CLDN4 knockdown	E-GEOD-22795	PRDM14 Knockdown in human embryonic stem cells		2010-10-20	False
CLDN4 knockdown	E-GEOD-75060	Knockdown of Polyhomeotic in Drosophila Kc cells		2015-11-20	False
CLDN4 knockdown	E-MTAB-16073	RNA-seq of HSPA8 knockdown in MDA-MB-468 cells		2025-11-13	False
CLDN4 knockdown	E-MTAB-1967	fly brm knockdown MNase-seq		2014-05-08	False
CLDN4 knockdown	E-GEOD-29778	HuR (ELAVL1) RIP-chip and knockdown exon array		2011-08-18	False
CLDN4 knockdown	E-GEOD-66172	Effects of Firre knockdown on mouse gene expression		2015-03-05	False
CLDN4 knockdown	E-GEOD-66719	SF3B1 Degron knockdown RNA-seq		2015-03-11	False
CLDN4 knockdown	E-GEOD-46904	Gene expression profiles of EZH2 knockdown		2013-10-28	False
CLDN4 knockdown	E-GEOD-38333	Genome-wide effects of Pbcas4 knockdown		2012-05-30	False
CLDN4 knockdown	E-GEOD-37684	Expression analysis of genes responding to ARID1A knockdown		2012-05-01	False
CLDN4 knockdown	E-GEOD-65233	The effect of THADA knockdown on Huh7 cells		2015-08-01	False
CLDN4 knockdown	E-MTAB-6564	RNA-Seq of control, RNPS1 knockdown and rescue in HeLa cells		2018-11-01	False
CLDN4 knockdown	E-GEOD-57740	Effect of CHADL knockdown in ATDC cells		2014-07-31	False
CLDN4 knockdown	E-GEOD-63231	MCT4 knockdown in pancreatic cancer cells		2014-12-17	False
CLDN4 knockdown	E-GEOD-68869	Knockdown of CUL3 and PTEN in A549 lung adenocarcinoma cells		2015-05-15	False
CLDN4 knockdown	E-GEOD-7102	siRNA knockdown of Sp3 in human		2008-04-07	False
CLDN4 knockdown	E-GEOD-38786	Id2a knockdown in zebrafish retina		2012-08-27	False
CLDN4 knockdown	E-GEOD-21135	OCT4 Knockdown in human embryonic stem cells		2010-04-13	False
CLDN4 knockdown	E-GEOD-43180	Effects of FSH knockdown on gene expression		2013-02-06	False
CLDN4 knockdown	E-MTAB-15911	RNA-seq of SNRPB2 knockdown in MDA-MB-231 cells		2026-01-06	False
CLDN4 knockdown	E-GEOD-66404	The effect of FOXO3 knockdown and PDHA1 knockdown on PDAC cell line Panc-1		2016-09-01	False
CLDN4 knockdown	E-GEOD-2327	siRNA profiling of human HUVEC cells after WTAP knockdown		2008-06-12	False
CLDN4 knockdown	E-MTAB-7393	mRNA-seq of HCT116 USP22 knockdown cells		2019-10-26	False
CLDN4 knockdown	E-MTAB-8247	mRNA-seq of MCF10A USP22 knockdown cells		2019-12-06	False
CLDN4 knockdown	E-GEOD-45953	PHF6 knockdown in rat cortical neurons		2013-08-01	False
CLDN4 knockdown	E-GEOD-58797	H2A.Z knockdown RNAseq		2014-09-09	False
CLDN4 knockdown	E-GEOD-54157	Expression changes induced by PTPN1 knockdown in KM-H2 cells		2014-01-17	False
CLDN4 knockdown	E-MTAB-1833	Transcription profiling : Stable knockdown CUX1 knockdown in LOUCY cells lines		2013-11-05	False
CLDN4 knockdown	E-GEOD-10241	A Global Genomic View of MIF Knockdown Cell		2009-11-02	False
CLDN4 knockdown	E-GEOD-56102	siRNA-mediated knockdown of VAMP7 in NTERA2/D1 cells		2014-06-01	False
CLDN4 knockdown	E-GEOD-28546	Molecular characterization of immortalization of human MSCs by a combination of p53 knockdown and TERT overexpression		2011-04-13	False
CLDN4 knockdown	E-GEOD-26716	Analysis of gene expression in QKI knockdown CG-4 cells		2011-01-20	False
CLDN4 knockdown	E-GEOD-24345	UC San Diego_Friedmann_Kang_Human fibroblast knockdown		2010-09-25	False
CLDN4 knockdown	E-MTAB-6008	Transcriptome profiling of radiation-transformed breast cells after TRPS1 siRNA knockdown.		2017-10-01	False
CLDN4 knockdown	E-GEOD-72367	ATAC-sequencing in control and Stag2 knockdown cells		2015-09-16	False
CLDN4 knockout	E-GEOD-50927	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury		2014-11-04	True
CLDN4 knockout	E-MTAB-109	Transcription profiling of yeast transcription factor knockout compendium		2010-03-22	False
CLDN4 knockout	E-GEOD-58373	Gene expression profile of Tfh cells and aged CD4 T cells from wild type, miR-155 knockout, miR-146a knockout and double knockout mice		2014-12-09	False
CLDN4 knockout	E-MTAB-11124	Heart RNA-seq of control mice and mice with titin PEVK domain knockout, Rbm20 RNA recognition motif knockout, or double knockout		2023-11-30	False
CLDN4 knockout	E-GEOD-69681	Gene expression analysis of rel knockout and dcpA knockout strains of Mycobacterium smegmatis MC2 155		2015-06-10	False
CLDN4 knockout	E-GEOD-51217	TALEN-based knockout of mir-141 and mir-200c in SK-BR-3 cells		2013-09-27	False
CLDN4 knockout	E-GEOD-42991	Gene expression profiles of Tet1 knockout (T1KO), Tet2 knockout (T2KO) and Tet1/Tet2 double knockout (DKO) mouse embryonic stem cells.		2013-02-01	False
CLDN4 knockout	E-GEOD-52551	M. tuberculosis Rv3263 Knockout		2013-11-21	False
CLDN4 knockout	E-GEOD-24816	Transcriptional changes in Sohlh1 knockout and Sohlh2 knockout mouse newborn ovaries		2010-10-22	False
CLDN4 knockout	E-MTAB-13425	Comparative RNA-seq Analysis of Slc38a8 (SNAT8) knockout mouse: Evaluating the Impact of the gene knockout on biological pathways		2024-12-31	False
CLDN4 knockout	E-GEOD-37076	Lamin and Lamin B receptor knockout		2013-01-28	False
CLDN4 knockout	E-MTAB-2147	Transcription profiling of wild type, gis1 knockout, rph1 knockout, gis1rph1 double knockout, rph1-H235A mutant and gis1 knockout/rph1-H235A mutant yeast at different growth phases		2014-08-27	False
CLDN4 knockout	E-GEOD-57043	Dicer knockout NSCLC RNAseq and miRseq		2014-04-25	False
CLDN4 knockout	E-GEOD-66862	Eed conditional knockout in chondrocytes		2015-11-01	False
CLDN4 knockout	E-GEOD-55394	mCasz1_conditional knockout		2015-05-15	False
CLDN4 knockout	E-GEOD-39813	Gene expression changes in testes from Abcg8 knockout mice compared to wild-type mice or to Abcg8 knockout mice where plant sterol entry was blocked by ezetimibe		2012-08-01	False
CLDN4 knockout	E-GEOD-72248	Expression data from the aortas of ApoE knockout, ApoE/Caspase-1 double knockout, and wild-type mice		2015-08-21	False
CLDN4 knockout	E-GEOD-6310	Brain BRCA1 conditional knockout		2011-09-07	False
CLDN4 knockout	E-GEOD-47349	Expression data of gene knockout Plasmodium falciparum clones		2013-05-25	False
CLDN4 knockout	E-GEOD-10848	Transcription profiling of mouse caveolin-3 knockout hearts		2009-03-15	False
CLDN4 knockout	E-GEOD-5841	Differential gene expression in mouse skNAC knockout heart at E11.5		2010-11-19	False
CLDN4 knockout	E-GEOD-55080	Prdm16 Knockout Brown Adipose Tissue		2014-04-09	False
CLDN4 knockout	E-GEOD-46646	IQGAP2 knockout model of hepatocellular carcinoma		2013-12-13	False
CLDN4 knockout	E-MTAB-3662	Pilot KOMP knockout mouse strains		2015-12-28	False
