contrast	set_name	n_genes_in_set	n_genes_measured	n_samples_a	n_samples_b	group_a	group_b	sample_score_a	sample_score_b	sample_delta	sample_t	sample_p	sample_cohens_d	comp_median_t_in_set	comp_median_t_background	comp_mannwhitney_p	comp_n_genes_tested	comp_median_log2FC_in_set	sample_q_BH	comp_q_BH
siRNA1_vs_negctrl	TIGHT_JUNCTION_CORE	36	31	3	9	TACSTD2_KD	control	-0.0660912	0.041308	-0.107399	-0.825534	0.48849	-0.642643	-0.394681	0.0122568	0.348337	31	-0.0337722	0.738438	0.713674
siRNA1_vs_negctrl	CLAUDIN_FAMILY	22	17	3	9	TACSTD2_KD	control	0.206764	-0.0523917	0.259156	1.39875	0.287382	1.09746	0.184345	0.0116724	0.514749	17	0.0222567	0.574763	0.713674
siRNA1_vs_negctrl	DESMOSOME_ADHERENS	17	14	3	9	TACSTD2_KD	control	-0.278135	0.0523109	-0.330446	-1.59156	0.2335	-1.20647	-0.3333	0.0120846	0.227539	14	-0.04966	0.533714	0.606771
siRNA1_vs_negctrl	IFN_ALPHA_TYPE1	40	36	3	9	TACSTD2_KD	control	0.220774	-0.18288	0.403654	3.87054	0.0119147	2.35924	0.540238	0.0107204	0.103579	36	0.0599061	0.0953175	0.55242
siRNA1_vs_negctrl	IFN_GAMMA_TYPE2	31	28	3	9	TACSTD2_KD	control	0.0684105	0.0179774	0.0504331	0.153772	0.891152	0.121901	-0.102458	0.011744	0.736632	28	-0.0137094	0.895734	0.841865
siRNA1_vs_negctrl	ANTIGEN_PRESENTATION_MHC1	19	19	3	9	TACSTD2_KD	control	-0.415358	0.122921	-0.538279	-1.82403	0.166775	-1.27364	-0.872258	0.0124585	0.0276986	19	-0.0669733	0.479984	0.221589
siRNA1_vs_negctrl	T_CELL_CYTOTOXICITY	26	23	3	9	TACSTD2_KD	control	0.600142	-0.142589	0.742732	5.23132	0.0113207	3.55903	0.328347	0.0106704	0.0102813	23	0.0710222	0.0953175	0.1645
siRNA1_vs_negctrl	T_CELL_INFILTRATION_BROAD	24	20	3	9	TACSTD2_KD	control	0.14826	0.0169793	0.13128	0.302567	0.785485	0.223733	-0.0998012	0.0120846	0.847385	20	-0.0113228	0.895734	0.903877
siRNA1_vs_negctrl	ICI_CHECKPOINT_GENES	18	15	3	9	TACSTD2_KD	control	0.271726	-0.033306	0.305032	2.36459	0.043683	1.28125	0.554836	0.0117031	0.517067	15	0.0374367	0.232976	0.713674
siRNA1_vs_negctrl	TIS_18GENE_AYERS	18	16	3	9	TACSTD2_KD	control	0.271138	-0.0391931	0.310331	0.778384	0.507676	0.593309	0.332155	0.0116878	0.535255	16	0.0512378	0.738438	0.713674
siRNA1_vs_negctrl	IFNG_6GENE_AYERS	6	4	3	9	TACSTD2_KD	control	0.35875	-0.0917767	0.450526	0.932473	0.427161	0.67325	0.186585	0.0116878	0.618006	4	0.0216728	0.738438	0.760622
siRNA1_vs_negctrl	CHEMOKINE_T_RECRUITMENT	12	10	3	9	TACSTD2_KD	control	-0.223827	-0.00151781	-0.222309	-0.566699	0.621378	-0.434072	-0.383887	0.0120846	0.214492	10	-0.0373544	0.828504	0.606771
siRNA1_vs_negctrl	EMT_CORE	20	20	3	9	TACSTD2_KD	control	0.177053	-0.113642	0.290696	2.31182	0.0892577	1.52471	0.129705	0.011744	0.514796	20	0.0248111	0.357031	0.713674
siRNA1_vs_negctrl	EPITHELIAL_IDENTITY	16	13	3	9	TACSTD2_KD	control	-0.31692	-0.0291555	-0.287765	-1.89117	0.179994	-1.43643	-0.214925	0.0122568	0.17081	13	-0.0624389	0.479984	0.606771
siRNA1_vs_negctrl	NFKB_INFLAMMATORY	20	17	3	9	TACSTD2_KD	control	0.00937294	0.0743916	-0.0650186	-0.147732	0.895734	-0.118796	-0.104228	0.0122568	0.496307	17	-0.0117711	0.895734	0.713674
siRNA1_vs_negctrl	TARGET_GENES	6	6	3	9	TACSTD2_KD	control	0.0333965	-0.0286065	0.062003	0.423263	0.694758	0.274455	0.0565368	0.011744	0.995249	6	0.02395	0.855086	0.995249
