contrast	accession	perturbed_gene	n	CLDN4_log2FC	CLDN4_p	TACSTD2_log2FC	TACSTD2_p	other_gene_tested	other_present
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	5 KO vs 5 WT	-0.817228	0.252919	-3.82117	0.00107924	CLDN4	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	4 KO vs 3 WT	0.28444	0.129174	-3.26327	1.62271e-65	CLDN4	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	6 KD vs 9 neg-ctrl	-0.00814611	0.968065	-3.16182	2.1472e-12	CLDN4	True
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	2 lines, replicates collapsed	-0.894218		-0.815725		TACSTD2	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	1 KO vs 1 WT	-6.0613	1.7663e-29	-0.144934	0.485961	TACSTD2	True
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	3 arrays	-1.22505				TACSTD2	False
