Feature_name	baseMean	log2FC_KO_vs_WT	lfcSE	deseq2_stat	p_deseq2	q_deseq2_BH	n_KO	n_WT
TACSTD2	1165.09	-3.26327	0.190231	-17.0948	1.62271e-65	1.94564e-61	4	3
LDHB	92.1442	-4.30956	0.355941	-10.0235	1.20171e-23	7.20427e-20	4	3
SSR2	695.277	-0.684958	0.104053	-6.57665	4.81154e-11	9.61505e-08	4	3
SRSF5	1016.92	0.837875	0.127765	6.53314	6.44043e-11	1.10315e-07	4	3
CROCC	34.7991	1.99166	0.300783	6.33578	2.36149e-10	3.24158e-07	4	3
TMCO1	636.093	-0.686374	0.113338	-6.05031	1.44566e-09	1.73335e-06	4	3
GOLGA6L9	40.2797	1.73238	0.28813	5.81491	6.06666e-09	6.0616e-06	4	3
SH3GLB2	196.332	1.23724	0.214277	5.78837	7.10734e-09	6.18575e-06	4	3
ENGASE	50.6262	1.81645	0.30457	5.78566	7.22273e-09	6.18575e-06	4	3
ARRDC1	127.13	1.03222	0.177683	5.75569	8.62874e-09	6.89724e-06	4	3
MT-CO2	1330.37	-0.932059	0.163972	-5.68036	1.3441e-08	1.00724e-05	4	3
NPDC1	281.751	0.97355	0.171344	5.63848	1.71555e-08	1.20996e-05	4	3
GOLGA8B	106.907	1.51781	0.269291	5.62548	1.84993e-08	1.22104e-05	4	3
CCDC130	144.27	1.14271	0.202149	5.61772	1.93492e-08	1.22104e-05	4	3
FMO4	28.1208	-1.7593	0.313719	-5.57041	2.54141e-08	1.45102e-05	4	3
HDAC6	152.898	0.965691	0.172829	5.5405	3.0161e-08	1.64377e-05	4	3
PCF11	173.676	1.00435	0.182246	5.49121	3.992e-08	1.9696e-05	4	3
PIF1	63.556	1.60137	0.285688	5.49029	4.01273e-08	1.9696e-05	4	3
ZMAT1	113.811	1.16578	0.208818	5.4862	4.10676e-08	1.9696e-05	4	3
PTGES2	99.606	1.02149	0.190683	5.34899	8.84477e-08	3.92773e-05	4	3
GABRD	25.3591	-1.65524	0.309063	-5.33742	9.42786e-08	4.03715e-05	4	3
NDUFS2	1021.74	-0.678381	0.127503	-5.31507	1.06615e-07	4.26105e-05	4	3
TBCD	175.026	1.00818	0.189412	5.29101	1.21643e-07	4.64343e-05	4	3
UBXN8	48.6498	-1.23512	0.236341	-5.21808	1.80787e-07	6.5686e-05	4	3
RGL3	70.5023	1.32167	0.25071	5.20838	1.90496e-07	6.65673e-05	4	3
PABPC1L	86.5514	1.68131	0.319708	5.20469	1.94317e-07	6.65673e-05	4	3
SLC29A2	164.698	1.02887	0.19754	5.19403	2.05784e-07	6.85377e-05	4	3
FAM219B	110.367	0.993408	0.189915	5.17337	2.29909e-07	7.45029e-05	4	3
MT-ATP8	22790.5	-1.00167	0.193648	-5.16227	2.43979e-07	7.5008e-05	4	3
ANK2	31.7987	-1.85654	0.356914	-5.14855	2.62506e-07	7.86163e-05	4	3
MT-ND4L	1269.53	-0.924774	0.179788	-5.14408	2.6883e-07	7.86163e-05	4	3
IFI44L	100.807	1.64801	0.340884	5.07547	3.86542e-07	0.000107782	4	3
PPP2R3B	25.0232	1.60917	0.305918	5.06084	4.17424e-07	0.000113748	4	3
MRPS21	87.4619	-1.38278	0.270951	-5.04996	4.41907e-07	0.000117744	4	3
ZNF655	33.2278	1.50045	0.293968	5.02248	5.10096e-07	0.00012982	4	3
POMT2	37.2622	1.37934	0.267642	5.02137	5.1304e-07	0.00012982	4	3
RPL30	3238.5	-0.649536	0.129643	-5.01889	5.19712e-07	0.00012982	4	3
MED27	370.314	0.74641	0.148863	5.01361	5.34172e-07	0.000130709	4	3
TOR1AIP2	399.997	-0.655303	0.131317	-4.97973	6.36738e-07	0.00015269	4	3
STXBP6	21.8129	-1.70052	0.337784	-4.96311	6.9375e-07	0.000163099	4	3
MT-ND1	2084.73	-0.736744	0.149461	-4.93046	8.2036e-07	0.000186055	4	3
HEXA	33.039	1.55381	0.310899	4.92997	8.22427e-07	0.000186055	4	3
PNPLA7	42.8493	1.43028	0.28454	4.90976	9.11881e-07	0.000195611	4	3
SNX27	131.156	-0.925018	0.188392	-4.90939	9.13614e-07	0.000195611	4	3
HAUS5	51.598	1.29131	0.260514	4.88668	1.02549e-06	0.000215712	4	3
CLASRP	109.381	0.954455	0.194656	4.86647	1.1361e-06	0.000234859	4	3
LIG1	128.917	0.932823	0.191033	4.86138	1.16572e-06	0.000236897	4	3
DGAT2	75.6136	-1.31636	0.273165	-4.81903	1.44255e-06	0.000284891	4	3
ATP5E	1004.27	-0.440507	0.0918986	-4.79055	1.66322e-06	0.000321646	4	3
CREBZF	433.786	1.14944	0.242508	4.74354	2.10013e-06	0.000387392	4	3
RGL2	54.8297	1.11558	0.232916	4.7016	2.58134e-06	0.000468943	4	3
ESPN	38.255	1.26986	0.265774	4.67534	2.93467e-06	0.000525175	4	3
TNFRSF14	31.4781	1.44084	0.300976	4.66943	3.0203e-06	0.00053255	4	3
CDSN	26.6829	-1.93295	0.406998	-4.65863	3.18315e-06	0.000544014	4	3
RHPN1	44.6477	1.38617	0.289923	4.65705	3.2078e-06	0.000544014	4	3
EWSR1	288.993	0.756681	0.162594	4.65617	3.22143e-06	0.000544014	4	3
MAGEA1	56.4282	-1.6387	0.353157	-4.64062	3.47359e-06	0.000570525	4	3
HEXDC	32.4323	1.43718	0.304107	4.60211	4.18224e-06	0.000677636	4	3
