contrast	set_name	n_genes_measured	median_stat_in_set	median_stat_background	mannwhitney_p	auc	q_BH	selfcontained_wilcoxon_p	median_log2ratio_in_set	selfcontained_q_BH	inference_unit
CLDN4_KD_vs_CLDN4_OE_control	TIGHT_JUNCTION_CORE	28	-0.0622417	-0.0269	0.799356	0.513881	0.852646	0.973185	-0.0622417	0.973185	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	CLAUDIN_FAMILY	16	-0.220233	-0.0267	0.339215	0.430987	0.805205	0.14386	-0.220233	0.57276	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	DESMOSOME_ADHERENS	14	-0.337783	-0.0265333	0.0549268	0.351837	0.363577	0.0579834	-0.337783	0.463867	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	IFN_ALPHA_TYPE1	26	-0.0583	-0.027	0.566211	0.467495	0.805205	0.408243	-0.0583	0.840909	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	IFN_GAMMA_TYPE2	25	-0.1574	-0.0268	0.603401	0.469979	0.805205	0.560171	-0.1574	0.840909	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	ANTIGEN_PRESENTATION_MHC1	10	-0.202847	-0.0269	0.641993	0.457541	0.805205	0.556641	-0.202847	0.840909	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	T_CELL_CYTOTOXICITY	21	-0.5747	-0.0265333	0.0681707	0.385024	0.363577	0.178988	-0.5747	0.57276	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	T_CELL_INFILTRATION_BROAD	18	-0.32095	-0.0266	0.0971681	0.387066	0.388672	0.0384903	-0.32095	0.463867	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	ICI_CHECKPOINT_GENES	8	-0.134025	-0.027	0.423496	0.418285	0.805205	0.460938	-0.134025	0.840909	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	TIS_18GENE_AYERS	7	-0.0841	-0.02695	0.59818	0.442478	0.805205	0.578125	-0.0841	0.840909	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	IFNG_6GENE_AYERS	3	0.22275	-0.027075	0.704554	0.563215	0.805205	0.75	0.22275	0.873884	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	CHEMOKINE_T_RECRUITMENT	8	0.1484	-0.02715	0.546499	0.561567	0.805205	0.742188	0.1484	0.873884	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	EMT_CORE	16	0.01685	-0.02715	0.901805	0.508911	0.901805	0.93988	0.01685	0.973185	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	EPITHELIAL_IDENTITY	11	-0.0162667	-0.027075	0.698058	0.466218	0.805205	0.764648	-0.0162667	0.873884	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	NFKB_INFLAMMATORY	19	-0.109967	-0.0268	0.331948	0.435704	0.805205	0.275341	-0.109967	0.734243	genes; 3 arrays only, see array_agreement file
CLDN4_KD_vs_CLDN4_OE_control	TARGET_GENES	4	-0.776817	-0.0267	0.0445008	0.209922	0.363577	0.125	-0.776817	0.57276	genes; 3 arrays only, see array_agreement file
