Marker.Symbol	contrast	logFC_meaning	n_per_group	logFC	logCPM	submitter_edgeR_PValue	submitter_edgeR_FDR
Cldn4	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-10.1621	6.1226	1.33054e-98	2.88795e-94
H2-K2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	3.74401	5.62268	2.96539e-34	2.14546e-30
Rprl1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.5571	7.58902	2.17829e-29	1.182e-25
Ccl2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	3.00053	5.2278	8.75582e-28	3.55069e-24
Lif	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.56299	5.99825	9.8153e-28	3.55069e-24
Gm11127	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	4.71606	4.15722	9.796e-27	3.03746e-23
Gm8909	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	3.38635	4.60416	2.81503e-26	7.63753e-23
Arc	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.52644	5.23708	6.70611e-23	1.61729e-19
Cxcl2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.99155	5.13357	2.47952e-21	5.38179e-18
Egr1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.13449	10.8255	1.78983e-20	3.30042e-17
Ccl3	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.32193	5.26456	1.82469e-20	3.30042e-17
Fosb	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.19921	7.99825	3.71519e-19	6.20293e-16
Junb	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.91207	9.15429	5.63055e-19	8.72937e-16
Plau	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.53725	4.79465	5.65248e-18	8.17913e-15
Igj	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.53776	7.43388	2.23758e-17	3.03542e-14
Chi3l1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.66998	8.02045	2.51629e-17	3.21271e-14
Fos	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.93026	9.16283	9.48208e-17	1.14338e-13
Cxcl1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.61401	5.57372	1.44919e-16	1.58269e-13
Gm13889	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.14801	6.56565	1.45836e-16	1.58269e-13
Ier2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.66695	8.31559	2.22404e-16	2.2987e-13
Sfn	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.72507	6.46737	3.11458e-16	3.07282e-13
Egr3	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.89942	5.5501	5.65232e-16	5.33407e-13
Nr4a1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.5575	9.28918	5.79649e-15	5.2422e-12
