gene	contrast	mean_KD	mean_CTRL	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
CKMT1A	siRNA4_vs_negctrl	11.4128	10.2454	1.16742	19.477	36.2398	6.58988e-11	1.18262e-06	0.00909091	3	9
RP3-402G11.5	siRNA4_vs_negctrl	10.907	11.4963	-0.589269	-10.668	-21.3069	1.25222e-09	7.72929e-06	0.00909091	3	9
KCTD5	siRNA4_vs_negctrl	10.8732	12.0901	-1.21695	-11.8855	-22.5418	1.67837e-09	7.72929e-06	0.00909091	3	9
GRB2	siRNA4_vs_negctrl	13.9229	13.2829	0.639996	11.2376	21.5428	1.72279e-09	7.72929e-06	0.00909091	3	9
CPLX1	siRNA4_vs_negctrl	9.04235	7.47282	1.56953	18.6652	33.2766	2.78974e-09	8.34329e-06	0.00909091	3	9
KREMEN2	siRNA4_vs_negctrl	12.1368	11.499	0.63771	11.4739	21.6331	3.15785e-09	8.34329e-06	0.00909091	3	9
WASF3	siRNA4_vs_negctrl	11.7646	10.3174	1.44723	11.5236	21.5843	4.37261e-09	8.34329e-06	0.00909091	3	9
EPHA10	siRNA4_vs_negctrl	9.18247	8.31582	0.866648	9.7092	18.8266	4.65019e-09	8.34329e-06	0.00909091	3	9
MAP4K5	siRNA4_vs_negctrl	10.5347	9.99844	0.536303	9.38772	18.9646	4.8917e-09	8.34329e-06	0.00909091	3	9
PREP	siRNA4_vs_negctrl	11.5368	12.0058	-0.46899	-9.24083	-18.3222	5.09108e-09	8.34329e-06	0.00909091	3	9
MAPK11	siRNA4_vs_negctrl	11.1588	10.6143	0.544506	9.62196	18.6522	5.11402e-09	8.34329e-06	0.00909091	3	9
JDP2	siRNA4_vs_negctrl	13.4377	12.4632	0.974503	10.0945	19.2164	6.38093e-09	9.54268e-06	0.00909091	3	9
MTDH	siRNA4_vs_negctrl	10.8878	11.6901	-0.802354	-8.00269	-15.7365	2.22413e-08	3.07033e-05	0.00909091	3	9
STMN3	siRNA4_vs_negctrl	15.1371	14.2019	0.935211	8.44778	17.4747	2.62579e-08	3.36589e-05	0.00909091	3	9
INHBA	siRNA4_vs_negctrl	9.3224	8.20587	1.11653	14.3372	25.2483	4.44128e-08	5.31355e-05	0.00909091	3	9
FAM152A	siRNA4_vs_negctrl	12.8151	11.8377	0.977441	10.4634	18.9995	6.23438e-08	6.99263e-05	0.00909091	3	9
DISP2	siRNA4_vs_negctrl	12.3476	10.9937	1.35395	14.514	25.2974	8.13202e-08	8.58455e-05	0.016044	3	9
LOC400236	siRNA4_vs_negctrl	10.235	9.77217	0.462814	8.0809	17.0436	9.817e-08	9.77092e-05	0.00909091	3	9
FKBP4	siRNA4_vs_negctrl	13.66	14.0253	-0.365274	-7.01176	-14.3773	1.03448e-07	9.77092e-05	0.00909091	3	9
OXA1L	siRNA4_vs_negctrl	11.6747	11.9442	-0.269469	-6.53769	-12.8023	1.63373e-07	0.000146595	0.00909091	3	9
OLFM1	siRNA4_vs_negctrl	10.556	9.58615	0.969881	6.5565	13.5756	2.51175e-07	0.000214647	0.00909091	3	9
RND3	siRNA4_vs_negctrl	11.3569	10.7648	0.592069	7.00611	14.7356	2.7025e-07	0.00022045	0.00909091	3	9
INPP5A	siRNA4_vs_negctrl	10.2945	9.47969	0.814797	6.80549	12.8701	3.01869e-07	0.000235537	0.00909091	3	9
METTL3	siRNA4_vs_negctrl	10.7461	11.1674	-0.421309	-6.18214	-12.67	3.1667e-07	0.00023679	0.00909091	3	9
FAM21A	siRNA4_vs_negctrl	11.7318	11.301	0.430794	6.17312	11.9389	3.61124e-07	0.000256054	0.00909091	3	9
LRP12	siRNA4_vs_negctrl	9.32503	8.79363	0.531401	5.91069	11.9152	3.70968e-07	0.000256054	0.00909091	3	9
NDUFAB1	siRNA4_vs_negctrl	14.1268	14.4395	-0.312722	-6.47125	-13.5491	4.24124e-07	0.00027445	0.00909091	3	9
WDR8	siRNA4_vs_negctrl	11.3343	11.7219	-0.387549	-5.80555	-11.4829	4.41992e-07	0.00027445	0.00909091	3	9
NCOR2	siRNA4_vs_negctrl	15.0049	14.6738	0.331177	8.32167	15.0592	4.43499e-07	0.00027445	0.00909091	3	9
CLDN1	siRNA4_vs_negctrl	10.3845	9.59484	0.789706	5.74746	11.6069	4.87166e-07	0.00028717	0.00909091	3	9
ARRDC4	siRNA4_vs_negctrl	10.4337	9.78249	0.651222	6.28575	13.14	5.06699e-07	0.00028717	0.00909091	3	9
PNKD	siRNA4_vs_negctrl	13.7234	14.0867	-0.363307	-5.97389	-12.3301	5.1206e-07	0.00028717	0.00909091	3	9
TTC7B	siRNA4_vs_negctrl	11.2716	10.9391	0.332439	5.85602	11.3129	6.03169e-07	0.000328014	0.00909091	3	9
CLN5	siRNA4_vs_negctrl	9.93983	9.41772	0.52211	5.80379	11.2116	6.55367e-07	0.000345918	0.00909091	3	9
PPAP2B	siRNA4_vs_negctrl	10.2423	9.71523	0.527041	7.0867	13.0223	7.3262e-07	0.000375646	0.00909091	3	9
C12orf23	siRNA4_vs_negctrl	12.2087	11.687	0.521772	5.99786	11.3914	7.94692e-07	0.000396154	0.00909091	3	9
LOC348262	siRNA4_vs_negctrl	13.5126	13.2828	0.229823	6.55928	12.1869	8.46632e-07	0.000402133	0.00909091	3	9
SIRPA	siRNA4_vs_negctrl	10.1831	9.86996	0.313142	6.64379	12.3115	8.51502e-07	0.000402133	0.00909091	3	9
EPB41L4B	siRNA4_vs_negctrl	10.8304	10.2223	0.608008	5.38082	10.8597	8.85633e-07	0.000407527	0.00909091	3	9
SLC38A9	siRNA4_vs_negctrl	11.1478	10.801	0.34681	5.81673	12.1626	9.70627e-07	0.000429467	0.00909091	3	9
FAS	siRNA4_vs_negctrl	9.32261	8.67337	0.64924	5.29912	10.5648	9.89994e-07	0.000429467	0.00909091	3	9
LAMP2	siRNA4_vs_negctrl	11.8623	11.3467	0.515606	5.45372	11.2006	1.0051e-06	0.000429467	0.00909091	3	9
RNF149	siRNA4_vs_negctrl	13.6383	13.1743	0.463928	5.62965	10.7435	1.19951e-06	0.000500616	0.00909091	3	9
KCNG1	siRNA4_vs_negctrl	11.4	10.3436	1.05638	5.55471	10.62	1.2812e-06	0.000520728	0.00909091	3	9
NCSTN	siRNA4_vs_negctrl	12.7331	12.5296	0.203461	6.01643	12.7558	1.30574e-06	0.000520728	0.00909091	3	9
LOC729082	siRNA4_vs_negctrl	12.6245	11.7724	0.852088	7.69756	13.7752	1.39642e-06	0.000544787	0.00909091	3	9
RELB	siRNA4_vs_negctrl	13.935	13.2698	0.665152	5.12557	10.3972	1.43646e-06	0.000548483	0.00909091	3	9
COX7A2L	siRNA4_vs_negctrl	13.8453	14.278	-0.432764	-7.45276	-13.3819	1.49886e-06	0.000560385	0.00909091	3	9
