contrast	set_name	n_genes_in_set	n_genes_measured	n_samples_a	n_samples_b	group_a	group_b	sample_score_a	sample_score_b	sample_delta	sample_t	sample_p	sample_cohens_d	comp_median_t_in_set	comp_median_t_background	comp_mannwhitney_p	comp_n_genes_tested	comp_median_log2FC_in_set	sample_q_BH	comp_q_BH
KDpooled_vs_negctrl	TIGHT_JUNCTION_CORE	36	31	6	9	TACSTD2_KD	control	-0.0126841	0.041308	-0.0539921	-0.782773	0.45876	-0.433065	-0.292283	-0.0330688	0.557189	31	-0.01379	0.815574	0.966923
KDpooled_vs_negctrl	CLAUDIN_FAMILY	22	17	6	9	TACSTD2_KD	control	0.108044	-0.0523917	0.160436	1.36206	0.220891	0.766955	0.330514	-0.0335011	0.496722	17	0.0126872	0.698015	0.966923
KDpooled_vs_negctrl	DESMOSOME_ADHERENS	17	14	6	9	TACSTD2_KD	control	-0.157356	0.0523109	-0.209667	-1.11281	0.307771	-0.627409	-0.439728	-0.0333689	0.265619	14	-0.0409947	0.698015	0.84998
KDpooled_vs_negctrl	IFN_ALPHA_TYPE1	40	36	6	9	TACSTD2_KD	control	0.289784	-0.18288	0.472664	5.76989	6.57829e-05	2.89744	0.648304	-0.0350636	0.00189973	36	0.0617025	0.00105253	0.0303958
KDpooled_vs_negctrl	IFN_GAMMA_TYPE2	31	28	6	9	TACSTD2_KD	control	0.244448	0.0179774	0.22647	1.07913	0.323268	0.611777	0.099301	-0.033554	0.246802	28	0.00770667	0.698015	0.84998
KDpooled_vs_negctrl	ANTIGEN_PRESENTATION_MHC1	19	19	6	9	TACSTD2_KD	control	0.134906	0.122921	0.0119848	0.0359155	0.972396	0.020029	-0.412123	-0.0330688	0.979534	19	-0.0382872	0.972396	0.979534
KDpooled_vs_negctrl	T_CELL_CYTOTOXICITY	26	23	6	9	TACSTD2_KD	control	0.195471	-0.142589	0.33806	1.6804	0.141908	0.944628	0.334002	-0.0342086	0.0729341	23	0.104071	0.698015	0.57493
KDpooled_vs_negctrl	T_CELL_INFILTRATION_BROAD	24	20	6	9	TACSTD2_KD	control	-0.0973917	0.0169793	-0.114371	-0.426685	0.679706	-0.23036	-0.414364	-0.0327604	0.345516	20	-0.0288636	0.880871	0.921376
KDpooled_vs_negctrl	ICI_CHECKPOINT_GENES	18	15	6	9	TACSTD2_KD	control	0.0553463	-0.033306	0.0886523	0.555017	0.589888	0.291646	-0.206438	-0.0330688	0.877479	15	-0.0190561	0.858019	0.979534
KDpooled_vs_negctrl	TIS_18GENE_AYERS	18	16	6	9	TACSTD2_KD	control	0.0165921	-0.0391931	0.0557852	0.219344	0.832442	0.121265	-0.2388	-0.0331528	0.938833	16	-0.0181106	0.951362	0.979534
KDpooled_vs_negctrl	IFNG_6GENE_AYERS	6	4	6	9	TACSTD2_KD	control	0.191873	-0.0917767	0.28365	0.979517	0.349008	0.517529	-0.367265	-0.0331528	0.785625	4	-0.0247656	0.698015	0.966923
KDpooled_vs_negctrl	CHEMOKINE_T_RECRUITMENT	12	10	6	9	TACSTD2_KD	control	-0.0213595	-0.00151781	-0.0198417	-0.081169	0.937532	-0.044933	-0.212075	-0.0333689	0.772246	10	-0.00952194	0.972396	0.966923
KDpooled_vs_negctrl	EMT_CORE	20	20	6	9	TACSTD2_KD	control	0.224095	-0.113642	0.337737	2.85647	0.0185362	1.53746	0.762447	-0.0339727	0.107799	20	0.131044	0.14829	0.57493
KDpooled_vs_negctrl	EPITHELIAL_IDENTITY	16	13	6	9	TACSTD2_KD	control	-0.157767	-0.0291555	-0.128612	-1.14198	0.292751	-0.637092	-0.00453892	-0.0335011	0.771982	13	-0.000879444	0.698015	0.966923
KDpooled_vs_negctrl	NFKB_INFLAMMATORY	20	17	6	9	TACSTD2_KD	control	0.223892	0.0743916	0.1495	0.626918	0.555552	0.357268	0.23776	-0.0337368	0.433062	17	0.0154606	0.858019	0.966923
KDpooled_vs_negctrl	TARGET_GENES	6	6	6	9	TACSTD2_KD	control	0.0103129	-0.0286065	0.0389193	0.372302	0.715708	0.189438	0.776218	-0.0333689	0.775858	6	0.0709669	0.880871	0.966923
