gene_short_name	T47D_WT	T47D_KO	MCF7_WT	MCF7_KO	log2FC_T47D_KO_vs_WT	log2FC_MCF7_KO_vs_WT	log2FC_mean_bothlines	same_direction_both_lines
CLDN4	42.5059	20.4365	85.8545	50.8495	-1.03851	-0.749921	-0.894218	True
TACSTD2	59.6053	38.5188	59.9174	29.539	-0.623323	-1.00813	-0.815725	True
EPCAM	163.921	207.956	153.335	163.841	0.342348	0.0953087	0.218828	True
CLDN3	37.3609	23.195	39.6463	41.321	-0.676126	0.0589605	-0.308583	False
CLDN7	81.4915	64.7143	103.99	108.116	-0.330286	0.0558718	-0.137207	False
OCLN	47.3019	40.8157	38.2245	34.2426	-0.210378	-0.156541	-0.183459	True
TJP2	14.6594	13.5493	12.8386	11.3265	-0.109714	-0.173584	-0.141649	True
DSG2	11.2735	15.7509	5.4439	8.65803	0.464976	0.623627	0.544302	True
CDH1	62.5235	68.7655	108.16	91.2655	0.136247	-0.243797	-0.0537751	False
VIM	5.23721	9.47733	2.76985	0.887725	0.798304	-1.2365	-0.219099	False
STAT1	24.152	25.9968	34.9779	33.6943	0.104113	-0.0531648	0.0254743	False
STAT2	6.72633	6.80434	8.83472	7.18218	0.0154908	-0.281091	-0.1328	False
ISG15	50.6308	13.1474	40.0522	43.1148	-1.90557	0.105038	-0.900264	False
IFIT1	1.03426	1.00283	1.42341	0.402981	-0.0298612	-1.0909	-0.56038	True
OAS1	1.96057	1.10937	0.839395	0.136714	-0.612497	-1.07286	-0.84268	True
GBP2	4.31222	3.61122	7.38002	4.04543	-0.227136	-0.793783	-0.510459	True
NFKBIA	30.1439	24.1576	56.2763	38.3607	-0.313568	-0.546977	-0.430272	True
