cell_line	gene	FPKM_WT	FPKM_KO	log2FC_KO_vs_WT	pct_of_WT	n_replicates_in_GEO	p_value
T47D	CLDN4	42.5059	20.4365	-1.03851	48.0792	2	not computable: replicates collapsed in the only open processed file
MCF7	CLDN4	85.8545	50.8495	-0.749921	59.2275	2	not computable: replicates collapsed in the only open processed file
