gene	contrast	mean_log2ratio_KD_over_control	n_arrays_with_value	t_stat_vs_zero	p_onesample_t	q_onesample_BH	n_biological_replicates	caveat	log2ratio_GSM558700	log2ratio_GSM558701	log2ratio_GSM558702
CLDN4	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.22505	2				3	reference arm is CLDN4-overexpressing, not parental		-1.737	-0.7131
CLDN1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.661133	3	-1.34174	0.311726	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.3959	0.275	-0.8625
CLDN3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.8925	3	-12.432	0.00640804	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.7859	-0.8625	-1.0291
CLDN7	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.265333	3	-0.630302	0.592911	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.5059	-0.3585	-0.9434
OCLN	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.0444833	3	-0.244887	0.829378	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.1349	0.30545	-0.304
TJP1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.903367	3	-5.92279	0.0273429	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.1726	-0.89295	-0.64455
TJP2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.85395	2				3	reference arm is CLDN4-overexpressing, not parental	0.84	2.8679	
CDH1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.0499667	3	0.0980466	0.930837	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.42975	0.6792	-0.95905
VIM	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.528967	3	-8.97459	0.0121891	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.5187	-0.6358	-0.4324
DSG2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.3416	3	-0.321475	0.778338	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.2141	-2.3959	1.157
B2M	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.1704	3	-0.684589	0.564288	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.5564	2.2296	-3.1844
TAP1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.340317	3	-0.251574	0.82486	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.90295	2.3537	-1.4717
PSMB9	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.89987	3	3.07566	0.0914433	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.93805	3.05225	1.7093
STAT1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.22275	3	0.775489	0.51919	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.350867	0.536767	0.48235
STAT2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.474217	3	-2.22854	0.155661	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.70405	-0.0491	-0.6695
IRF7	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.272867	3	1.29656	0.32422	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.1419	0.5423	0.4182
IFIT1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.0257	3	-4.07031	0.0553919	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.8365	-1.1203	-2.1203
MX1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.3584	2				3	reference arm is CLDN4-overexpressing, not parental	-0.074		0.7908
OAS1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.227467	3	0.494889	0.669701	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.7398	-0.6897	0.6323
CXCL10	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	3.0254	2				3	reference arm is CLDN4-overexpressing, not parental		6.5048	-0.454
GBP1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.27963	3	-2.30629	0.14751	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.8365	-0.3585	-3.6439
NFKBIA	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.3738	3	0.537125	0.644942	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.304	1.7655	-0.3401
IL6	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.23225	3	-0.309859	0.785974	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.2176	1.2388	-0.71795
